event_id,case_id,camera_id,location_id,timestamp,detection_type,plate_number,description
CASE001-CCTV0001,CASE001,CAM0061,LOC0137,2026-05-29T04:59:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE002-CCTV0002,CASE002,CAM0020,LOC0038,2026-04-18T21:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE002-CCTV0003,CASE002,CAM0020,LOC0038,2026-04-19T20:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE002-CCTV0004,CASE002,CAM0009,LOC0020,2026-04-10T23:17:00,vehicle,GU-66-QG-0101,Vehicle plate captured by ANPR camera.
CASE002-CCTV0005,CASE002,CAM0007,LOC0016,2026-04-21T23:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE002-CCTV0006,CASE002,CAM0042,LOC0089,2026-04-22T23:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE004-CCTV0007,CASE004,CAM0089,LOC0198,2026-07-18T18:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE005-CCTV0008,CASE005,CAM0008,LOC0019,2026-04-12T03:48:00,vehicle,LU-78-YM-0273,Vehicle plate captured by ANPR camera.
CASE005-CCTV0009,CASE005,CAM0008,LOC0019,2026-04-11T03:48:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE005-CCTV0010,CASE005,CAM0053,LOC0123,2026-04-06T07:48:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE006-CCTV0011,CASE006,CAM0125,LOC0279,2025-10-24T03:22:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE007-CCTV0012,CASE007,CAM0102,LOC0226,2026-05-30T21:03:00,vehicle,RA-20-TO-0064,Vehicle plate captured by ANPR camera.
CASE008-CCTV0013,CASE008,CAM0059,LOC0134,2025-08-11T01:17:00,vehicle,BE-77-PY-0116,Vehicle plate captured by ANPR camera.
CASE008-CCTV0014,CASE008,CAM0059,LOC0134,2025-08-12T02:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE009-CCTV0015,CASE009,CAM0037,LOC0076,2026-07-10T12:03:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE010-CCTV0016,CASE010,CAM0032,LOC0067,2025-10-07T03:38:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE011-CCTV0017,CASE011,CAM0034,LOC0071,2025-09-25T03:12:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE012-CCTV0018,CASE012,CAM0014,LOC0028,2026-05-20T10:40:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE014-CCTV0019,CASE014,CAM0032,LOC0067,2026-02-11T17:41:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE014-CCTV0020,CASE014,CAM0103,LOC0227,2026-02-10T17:41:00,vehicle,DE-11-CE-0058,Vehicle plate captured by ANPR camera.
CASE016-CCTV0021,CASE016,CAM0012,LOC0026,2025-11-10T07:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE017-CCTV0022,CASE017,CAM0070,LOC0153,2026-01-01T02:16:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE019-CCTV0023,CASE019,CAM0088,LOC0192,2025-07-25T12:19:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE020-CCTV0024,CASE020,CAM0017,LOC0033,2025-12-03T15:54:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE020-CCTV0025,CASE020,CAM0082,LOC0177,2025-12-05T15:54:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE021-CCTV0026,CASE021,CAM0043,LOC0090,2026-01-26T21:59:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE022-CCTV0027,CASE022,CAM0114,LOC0246,2025-08-29T20:54:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE023-CCTV0028,CASE023,CAM0069,LOC0152,2025-06-24T22:43:00,vehicle,KA-59-BW-0245,Vehicle plate captured by ANPR camera.
CASE024-CCTV0029,CASE024,CAM0087,LOC0188,2025-07-10T22:50:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE026-CCTV0030,CASE026,CAM0118,LOC0257,2026-05-26T04:37:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE028-CCTV0031,CASE028,CAM0069,LOC0152,2025-09-06T11:56:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE029-CCTV0032,CASE029,CAM0100,LOC0224,2025-09-17T17:21:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE029-CCTV0033,CASE029,CAM0075,LOC0165,2025-09-13T19:21:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE030-CCTV0034,CASE030,CAM0126,LOC0280,2025-06-15T16:26:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE030-CCTV0035,CASE030,CAM0025,LOC0052,2025-06-10T20:26:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE033-CCTV0036,CASE033,CAM0081,LOC0176,2025-06-30T22:23:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE033-CCTV0037,CASE033,CAM0009,LOC0020,2025-06-26T02:23:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE036-CCTV0038,CASE036,CAM0027,LOC0054,2025-07-22T20:04:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE036-CCTV0039,CASE036,CAM0036,LOC0075,2025-07-26T20:04:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE039-CCTV0040,CASE039,CAM0028,LOC0056,2025-12-23T07:22:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE041-CCTV0041,CASE041,CAM0117,LOC0255,2025-06-04T11:25:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE041-CCTV0042,CASE041,CAM0117,LOC0255,2025-06-05T09:25:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE041-CCTV0043,CASE041,CAM0012,LOC0026,2025-06-01T14:25:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE042-CCTV0044,CASE042,CAM0046,LOC0099,2025-07-29T21:53:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE044-CCTV0045,CASE044,CAM0068,LOC0151,2026-01-14T05:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE044-CCTV0046,CASE044,CAM0114,LOC0246,2026-01-14T06:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE045-CCTV0047,CASE045,CAM0083,LOC0179,2025-11-25T15:01:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
