camera_id,location_id,camera_type,city
CAM0001,LOC0002,ANPR,Ahmedabad
CAM0002,LOC0004,ANPR,Mumbai
CAM0003,LOC0005,ANPR,Amritsar
CAM0004,LOC0011,ANPR,Bengaluru
CAM0005,LOC0013,ANPR,Chennai
CAM0006,LOC0014,ANPR,Delhi
CAM0007,LOC0016,ANPR,Bhopal
CAM0008,LOC0019,ANPR,Faridabad
CAM0009,LOC0020,ANPR,Chandigarh
CAM0010,LOC0021,ANPR,Mumbai
CAM0011,LOC0024,ANPR,Ludhiana
CAM0012,LOC0026,ANPR,Hyderabad
CAM0013,LOC0027,ANPR,Indore
CAM0014,LOC0028,ANPR,Kanpur
CAM0015,LOC0030,ANPR,Bhopal
CAM0016,LOC0031,CCTV,Hyderabad
CAM0017,LOC0033,CCTV,Patna
CAM0018,LOC0035,CCTV,Gurugram
CAM0019,LOC0037,ANPR,Chennai
CAM0020,LOC0038,CCTV,Hyderabad
CAM0021,LOC0039,ANPR,Chennai
CAM0022,LOC0045,ANPR,Dehradun
CAM0023,LOC0047,ANPR,Kanpur
CAM0024,LOC0051,ANPR,Gurugram
CAM0025,LOC0052,CCTV,Agra
CAM0026,LOC0053,CCTV,Bengaluru
CAM0027,LOC0054,ANPR,Chennai
CAM0028,LOC0056,CCTV,Kanpur
CAM0029,LOC0057,CCTV,Gurugram
CAM0030,LOC0059,ANPR,Patna
CAM0031,LOC0064,ANPR,Ludhiana
CAM0032,LOC0067,ANPR,Lucknow
CAM0033,LOC0068,ANPR,Kanpur
CAM0034,LOC0071,CCTV,Indore
CAM0035,LOC0074,CCTV,Amritsar
CAM0036,LOC0075,ANPR,Chennai
CAM0037,LOC0076,ANPR,Delhi
CAM0038,LOC0079,ANPR,Faridabad
CAM0039,LOC0080,CCTV,Delhi
CAM0040,LOC0084,ANPR,Ghaziabad
CAM0041,LOC0087,CCTV,Ludhiana
CAM0042,LOC0089,ANPR,Pune
CAM0043,LOC0090,CCTV,Lucknow
CAM0044,LOC0093,CCTV,Kolkata
CAM0045,LOC0094,ANPR,Bhopal
CAM0046,LOC0099,CCTV,Dehradun
CAM0047,LOC0105,ANPR,Kolkata
CAM0048,LOC0109,CCTV,Faridabad
CAM0049,LOC0113,ANPR,Ghaziabad
