cdr_id,case_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,call_type,tower_location_id
CDR0001,CASE001,PH1140,PH0601,2026-06-04T20:59:00,880,sms,LOC0283
CDR0002,CASE001,PH1140,PH0601,2026-06-07T01:59:00,18,voice,LOC0065
CDR0003,CASE001,PH1140,PH0601,2026-06-09T12:59:00,198,voice,LOC0103
CDR0004,CASE001,PH1140,PH0601,2026-06-07T23:59:00,812,voice,LOC0040
CDR0005,CASE001,PH0601,PH0621,2026-06-03T10:59:00,474,sms,LOC0083
CDR0006,CASE001,PH0601,PH0621,2026-06-01T14:59:00,779,voice,LOC0217
CDR0007,CASE001,PH0601,PH0621,2026-06-08T08:59:00,677,voice,LOC0267
CDR0008,CASE001,PH0601,PH0621,2026-06-04T14:59:00,674,sms,LOC0119
CDR0009,CASE001,PH0601,PH0621,2026-06-01T22:59:00,665,sms,LOC0250
CDR0010,CASE001,PH0621,PH0730,2026-06-07T19:59:00,485,sms,LOC0089
CDR0011,CASE001,PH0621,PH0729,2026-06-02T08:59:00,704,voice,LOC0105
CDR0012,CASE001,PH0621,PH0729,2026-06-06T08:59:00,770,sms,LOC0034
CDR0013,CASE001,PH0621,PH0730,2026-06-05T03:59:00,538,voice,LOC0279
CDR0014,CASE001,PH0621,PH0730,2026-06-05T08:59:00,781,voice,LOC0088
CDR0015,CASE001,PH0621,PH0730,2026-06-10T05:59:00,775,voice,LOC0005
CDR0016,CASE001,PH0730,PH0162,2026-06-05T19:59:00,539,voice,LOC0219
CDR0017,CASE001,PH0730,PH0162,2026-06-09T14:59:00,392,sms,LOC0084
CDR0018,CASE001,PH0730,PH0162,2026-06-06T21:59:00,296,sms,LOC0175
CDR0019,CASE001,PH0162,PH1028,2026-06-07T23:59:00,636,voice,LOC0139
CDR0020,CASE001,PH0162,PH1028,2026-06-03T21:59:00,322,sms,LOC0029
CDR0021,CASE001,PH0162,PH1029,2026-06-05T22:59:00,30,voice,LOC0053
CDR0022,CASE001,PH0162,PH1029,2026-06-05T08:59:00,891,sms,LOC0144
CDR0023,CASE001,PH0162,PH1029,2026-06-04T20:59:00,867,sms,LOC0074
CDR0024,CASE001,PH1029,PH0709,2026-06-07T00:59:00,92,sms,LOC0215
CDR0025,CASE001,PH1028,PH0709,2026-06-08T04:59:00,554,voice,LOC0226
CDR0026,CASE001,PH0709,PH0226,2026-06-01T11:59:00,435,voice,LOC0209
CDR0027,CASE001,PH0709,PH0226,2026-06-01T06:59:00,609,voice,LOC0296
CDR0028,CASE001,PH0709,PH0226,2026-06-08T02:59:00,137,voice,LOC0084
CDR0029,CASE001,PH0226,PH1059,2026-06-02T13:59:00,36,voice,LOC0132
CDR0030,CASE001,PH0226,PH1059,2026-06-10T09:59:00,67,sms,LOC0284
CDR0031,CASE001,PH0226,PH1059,2026-06-07T21:59:00,695,sms,LOC0128
CDR0032,CASE001,PH0226,PH1059,2026-06-02T18:59:00,142,voice,LOC0096
CDR0033,CASE001,PH1059,PH0544,2026-06-08T08:59:00,21,voice,LOC0136
CDR0034,CASE001,PH1059,PH0544,2026-06-03T02:59:00,397,sms,LOC0284
CDR0035,CASE001,PH0544,PH0185,2026-06-10T04:59:00,825,voice,LOC0213
CDR0036,CASE001,PH0544,PH0185,2026-06-08T22:59:00,589,sms,LOC0014
CDR0037,CASE001,PH0185,PH0022,2026-06-01T22:59:00,236,voice,LOC0089
CDR0038,CASE001,PH0185,PH0022,2026-06-11T00:59:00,535,voice,LOC0108
CDR0039,CASE001,PH0185,PH0022,2026-06-07T10:59:00,543,voice,LOC0195
CDR0040,CASE001,PH0185,PH0022,2026-06-02T14:59:00,639,voice,LOC0069
CDR0041,CASE001,PH0185,PH0022,2026-06-06T16:59:00,480,voice,LOC0053
CDR0042,CASE001,PH0185,PH0022,2026-06-07T09:59:00,837,sms,LOC0132
CDR0043,CASE001,PH0022,PH0743,2026-06-08T13:59:00,734,voice,LOC0286
CDR0044,CASE001,PH0022,PH0743,2026-06-07T22:59:00,580,voice,LOC0169
CDR0045,CASE001,PH0022,PH0743,2026-06-07T15:59:00,855,voice,LOC0087
CDR0046,CASE001,PH0743,PH0867,2026-06-08T14:59:00,356,voice,LOC0201
CDR0047,CASE001,PH0743,PH0867,2026-06-08T03:59:00,89,voice,LOC0023
CDR0048,CASE001,PH0743,PH0867,2026-06-04T13:59:00,737,voice,LOC0120
CDR0049,CASE001,PH0743,PH0867,2026-06-05T00:59:00,528,sms,LOC0044
CDR0050,CASE001,PH0743,PH0867,2026-06-09T04:59:00,333,sms,LOC0288
CDR0051,CASE001,PH0867,PH0121,2026-06-02T03:59:00,786,voice,LOC0018
CDR0052,CASE001,PH0867,PH0121,2026-06-08T15:59:00,755,voice,LOC0199
CDR0053,CASE001,PH0867,PH0121,2026-06-08T08:59:00,466,voice,LOC0204
CDR0054,CASE001,PH0121,PH0088,2026-06-09T05:59:00,438,voice,LOC0280
CDR0055,CASE001,PH0121,PH0088,2026-06-02T14:59:00,551,voice,LOC0243
CDR0056,CASE001,PH0121,PH0088,2026-06-01T17:59:00,521,voice,LOC0033
CDR0057,CASE001,PH0121,PH0088,2026-06-03T17:59:00,214,voice,LOC0048
CDR0058,CASE001,PH0121,PH0088,2026-06-07T12:59:00,18,voice,LOC0025
CDR0059,CASE001,PH0121,PH0088,2026-06-02T04:59:00,688,voice,LOC0029
CDR0060,CASE001,PH0088,PH0311,2026-06-02T11:59:00,258,sms,LOC0066
CDR0061,CASE001,PH0088,PH0311,2026-06-06T13:59:00,327,voice,LOC0104
CDR0062,CASE001,PH0088,PH0311,2026-06-10T19:59:00,729,voice,LOC0107
CDR0063,CASE001,PH0311,PH0570,2026-06-07T12:59:00,66,sms,LOC0228
CDR0064,CASE001,PH0311,PH0570,2026-06-08T04:59:00,608,voice,LOC0057
CDR0065,CASE001,PH0311,PH0570,2026-06-09T18:59:00,748,sms,LOC0272
CDR0066,CASE001,PH0311,PH0570,2026-06-01T16:59:00,151,sms,LOC0218
CDR0067,CASE001,PH0311,PH0570,2026-06-02T08:59:00,603,voice,LOC0238
CDR0068,CASE001,PH0570,PH0954,2026-06-10T13:59:00,116,voice,LOC0037
CDR0069,CASE001,PH0570,PH0954,2026-06-03T16:59:00,300,voice,LOC0011
CDR0070,CASE001,PH0954,PH1139,2026-06-05T14:59:00,723,voice,LOC0049
CDR0071,CASE001,PH0954,PH1139,2026-06-08T12:59:00,196,sms,LOC0265
CDR0072,CASE001,PH1139,PH0016,2026-06-06T03:59:00,271,voice,LOC0247
CDR0073,CASE001,PH1139,PH0016,2026-06-08T23:59:00,766,sms,LOC0045
CDR0074,CASE001,PH1139,PH0016,2026-06-08T07:59:00,281,voice,LOC0113
CDR0075,CASE001,PH1139,PH0016,2026-06-07T17:59:00,464,sms,LOC0244
CDR0076,CASE001,PH1139,PH0016,2026-06-02T11:59:00,470,voice,LOC0004
CDR0077,CASE001,PH0016,PH0310,2026-06-02T08:59:00,692,sms,LOC0023
CDR0078,CASE001,PH0016,PH0310,2026-06-10T23:59:00,674,sms,LOC0286
CDR0079,CASE001,PH0016,PH0310,2026-06-02T01:59:00,794,sms,LOC0079
CDR0080,CASE001,PH0016,PH0310,2026-06-04T21:59:00,200,sms,LOC0195
CDR0081,CASE001,PH0310,PH1007,2026-06-04T21:59:00,116,sms,LOC0190
CDR0082,CASE001,PH0310,PH1007,2026-06-07T08:59:00,20,voice,LOC0179
CDR0083,CASE001,PH0310,PH1007,2026-06-04T06:59:00,572,sms,LOC0015
CDR0084,CASE001,PH0310,PH1007,2026-06-03T09:59:00,739,voice,LOC0259
CDR0085,CASE001,PH0310,PH1007,2026-06-02T02:59:00,575,voice,LOC0299
CDR0086,CASE001,PH0310,PH1007,2026-06-08T15:59:00,748,voice,LOC0209
CDR0087,CASE001,PH1007,PH0393,2026-06-02T06:59:00,215,voice,LOC0274
CDR0088,CASE001,PH1007,PH0394,2026-06-09T15:59:00,270,voice,LOC0099
CDR0089,CASE001,PH1007,PH0393,2026-06-09T15:59:00,472,sms,LOC0140
CDR0090,CASE001,PH0394,PH0194,2026-06-05T18:59:00,111,voice,LOC0230
CDR0091,CASE001,PH0393,PH0194,2026-06-01T05:59:00,446,voice,LOC0150
CDR0092,CASE001,PH0394,PH0194,2026-06-02T20:59:00,482,voice,LOC0016
CDR0093,CASE001,PH0394,PH0194,2026-06-09T08:59:00,594,voice,LOC0122
CDR0094,CASE001,PH0394,PH0194,2026-06-09T09:59:00,874,voice,LOC0285
CDR0095,CASE001,PH0194,PH0588,2026-06-05T01:59:00,262,sms,LOC0269
CDR0096,CASE001,PH0194,PH0587,2026-06-09T09:59:00,234,voice,LOC0182
CDR0097,CASE001,PH0194,PH0588,2026-06-10T21:59:00,185,voice,LOC0178
CDR0098,CASE001,PH0194,PH0587,2026-06-03T21:59:00,700,voice,LOC0211
CDR0099,CASE001,PH0194,PH0587,2026-06-05T22:59:00,275,voice,LOC0078
CDR0100,CASE001,PH0194,PH0588,2026-06-01T09:59:00,379,voice,LOC0080
CDR0101,CASE001,PH0588,PH0135,2026-06-10T05:59:00,635,voice,LOC0002
CDR0102,CASE001,PH0587,PH0135,2026-06-06T06:59:00,585,sms,LOC0018
