device_id,imei,make,model
DEV0001,35100000000001,Xiaomi,Model-30
DEV0002,35100000000002,Xiaomi,Model-1
DEV0003,35100000000003,Oppo,Model-26
DEV0004,35100000000004,Realme,Model-26
DEV0005,35100000000005,Realme,Model-23
DEV0006,35100000000006,Realme,Model-18
DEV0007,35100000000007,Vivo,Model-40
DEV0008,35100000000008,Xiaomi,Model-22
DEV0009,35100000000009,Vivo,Model-5
DEV0010,35100000000010,Vivo,Model-17
DEV0011,35100000000011,Nokia,Model-33
DEV0012,35100000000012,OnePlus,Model-11
DEV0013,35100000000013,Oppo,Model-23
DEV0014,35100000000014,OnePlus,Model-26
DEV0015,35100000000015,Apple,Model-25
DEV0016,35100000000016,Realme,Model-30
DEV0017,35100000000017,Oppo,Model-21
DEV0018,35100000000018,Xiaomi,Model-13
DEV0019,35100000000019,Samsung,Model-21
DEV0020,35100000000020,Apple,Model-17
DEV0021,35100000000021,Motorola,Model-7
DEV0022,35100000000022,Vivo,Model-27
DEV0023,35100000000023,Nokia,Model-37
DEV0024,35100000000024,Xiaomi,Model-12
DEV0025,35100000000025,Vivo,Model-38
DEV0026,35100000000026,Xiaomi,Model-6
DEV0027,35100000000027,Motorola,Model-33
DEV0028,35100000000028,Nokia,Model-5
DEV0029,35100000000029,Apple,Model-15
DEV0030,35100000000030,OnePlus,Model-3
DEV0031,35100000000031,Xiaomi,Model-20
DEV0032,35100000000032,Motorola,Model-6
DEV0033,35100000000033,Motorola,Model-2
DEV0034,35100000000034,Xiaomi,Model-40
DEV0035,35100000000035,Realme,Model-22
DEV0036,35100000000036,Apple,Model-1
DEV0037,35100000000037,Realme,Model-2
DEV0038,35100000000038,Samsung,Model-22
DEV0039,35100000000039,Oppo,Model-33
DEV0040,35100000000040,Vivo,Model-33
DEV0041,35100000000041,Nokia,Model-31
DEV0042,35100000000042,Apple,Model-14
DEV0043,35100000000043,Nokia,Model-30
DEV0044,35100000000044,Realme,Model-31
DEV0045,35100000000045,Vivo,Model-16
DEV0046,35100000000046,Samsung,Model-31
DEV0047,35100000000047,Vivo,Model-38
DEV0048,35100000000048,Motorola,Model-10
DEV0049,35100000000049,OnePlus,Model-24
DEV0050,35100000000050,OnePlus,Model-7
DEV0051,35100000000051,Xiaomi,Model-20
DEV0052,35100000000052,Apple,Model-28
DEV0053,35100000000053,Realme,Model-17
DEV0054,35100000000054,Apple,Model-9
DEV0055,35100000000055,Vivo,Model-39
DEV0056,35100000000056,Nokia,Model-18
DEV0057,35100000000057,Oppo,Model-16
DEV0058,35100000000058,Motorola,Model-27
DEV0059,35100000000059,Motorola,Model-2
DEV0060,35100000000060,OnePlus,Model-30
DEV0061,35100000000061,Realme,Model-19
DEV0062,35100000000062,Realme,Model-10
DEV0063,35100000000063,Nokia,Model-38
DEV0064,35100000000064,Vivo,Model-14
DEV0065,35100000000065,Vivo,Model-23
DEV0066,35100000000066,OnePlus,Model-40
DEV0067,35100000000067,Nokia,Model-17
DEV0068,35100000000068,Vivo,Model-18
DEV0069,35100000000069,OnePlus,Model-7
DEV0070,35100000000070,Xiaomi,Model-15
DEV0071,35100000000071,Vivo,Model-27
DEV0072,35100000000072,Xiaomi,Model-1
DEV0073,35100000000073,Apple,Model-3
DEV0074,35100000000074,Realme,Model-1
DEV0075,35100000000075,Nokia,Model-38
DEV0076,35100000000076,OnePlus,Model-20
DEV0077,35100000000077,Vivo,Model-35
DEV0078,35100000000078,Nokia,Model-8
DEV0079,35100000000079,Xiaomi,Model-35
DEV0080,35100000000080,Nokia,Model-17
DEV0081,35100000000081,Xiaomi,Model-13
DEV0082,35100000000082,Nokia,Model-34
DEV0083,35100000000083,Oppo,Model-13
DEV0084,35100000000084,Realme,Model-6
DEV0085,35100000000085,Realme,Model-22
DEV0086,35100000000086,Nokia,Model-25
DEV0087,35100000000087,Realme,Model-4
DEV0088,35100000000088,Realme,Model-1
DEV0089,35100000000089,Apple,Model-33
DEV0090,35100000000090,Oppo,Model-13
DEV0091,35100000000091,Realme,Model-19
DEV0092,35100000000092,Xiaomi,Model-14
DEV0093,35100000000093,Apple,Model-13
DEV0094,35100000000094,OnePlus,Model-5
DEV0095,35100000000095,Oppo,Model-13
DEV0096,35100000000096,Xiaomi,Model-12
DEV0097,35100000000097,Apple,Model-37
DEV0098,35100000000098,Realme,Model-34
DEV0099,35100000000099,Realme,Model-32
DEV0100,35100000000100,Xiaomi,Model-25
DEV0101,35100000000101,OnePlus,Model-33
DEV0102,35100000000102,Motorola,Model-4
DEV0103,35100000000103,Apple,Model-10
DEV0104,35100000000104,Realme,Model-30
DEV0105,35100000000105,Apple,Model-13
DEV0106,35100000000106,Xiaomi,Model-14
DEV0107,35100000000107,Vivo,Model-34
DEV0108,35100000000108,Xiaomi,Model-15
DEV0109,35100000000109,OnePlus,Model-37
DEV0110,35100000000110,Apple,Model-2
DEV0111,35100000000111,Realme,Model-25
DEV0112,35100000000112,Vivo,Model-29
DEV0113,35100000000113,Samsung,Model-13
DEV0114,35100000000114,Nokia,Model-11
DEV0115,35100000000115,OnePlus,Model-17
DEV0116,35100000000116,Xiaomi,Model-17
DEV0117,35100000000117,Samsung,Model-28
DEV0118,35100000000118,Realme,Model-39
DEV0119,35100000000119,Vivo,Model-18
DEV0120,35100000000120,Nokia,Model-31
DEV0121,35100000000121,Vivo,Model-9
DEV0122,35100000000122,Realme,Model-10
DEV0123,35100000000123,Samsung,Model-4
DEV0124,35100000000124,Samsung,Model-11
DEV0125,35100000000125,Motorola,Model-33
DEV0126,35100000000126,Xiaomi,Model-34
DEV0127,35100000000127,Realme,Model-17
DEV0128,35100000000128,Apple,Model-12
DEV0129,35100000000129,Apple,Model-24
DEV0130,35100000000130,OnePlus,Model-21
DEV0131,35100000000131,Realme,Model-20
DEV0132,35100000000132,Apple,Model-24
DEV0133,35100000000133,Samsung,Model-5
DEV0134,35100000000134,Oppo,Model-17
DEV0135,35100000000135,Apple,Model-30
DEV0136,35100000000136,Apple,Model-3
DEV0137,35100000000137,Oppo,Model-11
DEV0138,35100000000138,Nokia,Model-33
DEV0139,35100000000139,OnePlus,Model-39
DEV0140,35100000000140,Apple,Model-27
DEV0141,35100000000141,Oppo,Model-32
DEV0142,35100000000142,Apple,Model-18
DEV0143,35100000000143,Oppo,Model-22
DEV0144,35100000000144,Xiaomi,Model-6
DEV0145,35100000000145,Samsung,Model-6
DEV0146,35100000000146,Xiaomi,Model-29
DEV0147,35100000000147,Apple,Model-6
DEV0148,35100000000148,Motorola,Model-13
DEV0149,35100000000149,Apple,Model-31
DEV0150,35100000000150,Samsung,Model-5
DEV0151,35100000000151,Motorola,Model-12
DEV0152,35100000000152,Vivo,Model-39
DEV0153,35100000000153,Vivo,Model-26
DEV0154,35100000000154,Vivo,Model-20
DEV0155,35100000000155,Nokia,Model-5
DEV0156,35100000000156,Oppo,Model-35
DEV0157,35100000000157,Motorola,Model-28
DEV0158,35100000000158,Oppo,Model-26
DEV0159,35100000000159,Nokia,Model-17
DEV0160,35100000000160,Samsung,Model-9
DEV0161,35100000000161,Apple,Model-23
DEV0162,35100000000162,Xiaomi,Model-24
DEV0163,35100000000163,Samsung,Model-33
DEV0164,35100000000164,Nokia,Model-9
DEV0165,35100000000165,Samsung,Model-7
DEV0166,35100000000166,Xiaomi,Model-34
DEV0167,35100000000167,Motorola,Model-9
DEV0168,35100000000168,Realme,Model-34
DEV0169,35100000000169,OnePlus,Model-32
DEV0170,35100000000170,Xiaomi,Model-32
DEV0171,35100000000171,Xiaomi,Model-24
DEV0172,35100000000172,Samsung,Model-25
DEV0173,35100000000173,Motorola,Model-1
DEV0174,35100000000174,Apple,Model-11
DEV0175,35100000000175,Oppo,Model-29
DEV0176,35100000000176,Oppo,Model-9
DEV0177,35100000000177,Apple,Model-39
DEV0178,35100000000178,Motorola,Model-13
DEV0179,35100000000179,Apple,Model-12
DEV0180,35100000000180,Motorola,Model-36
DEV0181,35100000000181,Nokia,Model-8
DEV0182,35100000000182,Samsung,Model-30
DEV0183,35100000000183,Motorola,Model-30
DEV0184,35100000000184,Motorola,Model-13
DEV0185,35100000000185,Nokia,Model-25
DEV0186,35100000000186,Nokia,Model-32
DEV0187,35100000000187,Nokia,Model-21
DEV0188,35100000000188,Oppo,Model-2
DEV0189,35100000000189,Motorola,Model-3
DEV0190,35100000000190,Realme,Model-11
DEV0191,35100000000191,Motorola,Model-26
DEV0192,35100000000192,OnePlus,Model-16
DEV0193,35100000000193,Samsung,Model-26
DEV0194,35100000000194,Apple,Model-31
DEV0195,35100000000195,Apple,Model-25
DEV0196,35100000000196,Xiaomi,Model-33
DEV0197,35100000000197,Samsung,Model-32
DEV0198,35100000000198,OnePlus,Model-36
DEV0199,35100000000199,Samsung,Model-34
DEV0200,35100000000200,Samsung,Model-25
DEV0201,35100000000201,Xiaomi,Model-36
DEV0202,35100000000202,Xiaomi,Model-19
DEV0203,35100000000203,Motorola,Model-9
DEV0204,35100000000204,Oppo,Model-10
DEV0205,35100000000205,Vivo,Model-10
DEV0206,35100000000206,OnePlus,Model-29
DEV0207,35100000000207,Vivo,Model-36
DEV0208,35100000000208,Xiaomi,Model-15
DEV0209,35100000000209,Oppo,Model-13
DEV0210,35100000000210,Samsung,Model-21
DEV0211,35100000000211,Vivo,Model-2
DEV0212,35100000000212,Nokia,Model-26
DEV0213,35100000000213,Oppo,Model-24
DEV0214,35100000000214,Nokia,Model-34
DEV0215,35100000000215,Vivo,Model-21
DEV0216,35100000000216,Nokia,Model-39
DEV0217,35100000000217,Realme,Model-28
DEV0218,35100000000218,Oppo,Model-34
DEV0219,35100000000219,Nokia,Model-34
DEV0220,35100000000220,Vivo,Model-2
DEV0221,35100000000221,Apple,Model-29
DEV0222,35100000000222,Realme,Model-26
DEV0223,35100000000223,Realme,Model-12
DEV0224,35100000000224,Vivo,Model-19
DEV0225,35100000000225,Realme,Model-9
DEV0226,35100000000226,Oppo,Model-16
DEV0227,35100000000227,Samsung,Model-20
DEV0228,35100000000228,OnePlus,Model-7
DEV0229,35100000000229,Samsung,Model-10
DEV0230,35100000000230,OnePlus,Model-24
DEV0231,35100000000231,Xiaomi,Model-3
DEV0232,35100000000232,Apple,Model-5
DEV0233,35100000000233,Samsung,Model-36
DEV0234,35100000000234,Realme,Model-28
DEV0235,35100000000235,Nokia,Model-20
DEV0236,35100000000236,OnePlus,Model-21
DEV0237,35100000000237,Motorola,Model-35
DEV0238,35100000000238,Oppo,Model-32
DEV0239,35100000000239,Nokia,Model-3
DEV0240,35100000000240,Vivo,Model-6
DEV0241,35100000000241,Oppo,Model-31
DEV0242,35100000000242,Apple,Model-16
DEV0243,35100000000243,Apple,Model-38
DEV0244,35100000000244,Vivo,Model-24
DEV0245,35100000000245,Vivo,Model-37
DEV0246,35100000000246,Nokia,Model-37
DEV0247,35100000000247,Realme,Model-7
DEV0248,35100000000248,Nokia,Model-21
DEV0249,35100000000249,Motorola,Model-26
DEV0250,35100000000250,Xiaomi,Model-27
DEV0251,35100000000251,Realme,Model-33
DEV0252,35100000000252,Apple,Model-26
DEV0253,35100000000253,OnePlus,Model-2
DEV0254,35100000000254,Oppo,Model-1
DEV0255,35100000000255,Xiaomi,Model-5
DEV0256,35100000000256,Xiaomi,Model-13
DEV0257,35100000000257,Realme,Model-28
DEV0258,35100000000258,Realme,Model-33
DEV0259,35100000000259,Xiaomi,Model-3
DEV0260,35100000000260,Nokia,Model-35
DEV0261,35100000000261,Oppo,Model-5
DEV0262,35100000000262,Realme,Model-21
DEV0263,35100000000263,Xiaomi,Model-34
DEV0264,35100000000264,Xiaomi,Model-23
DEV0265,35100000000265,Apple,Model-32
DEV0266,35100000000266,Oppo,Model-16
DEV0267,35100000000267,Oppo,Model-18
DEV0268,35100000000268,Oppo,Model-29
DEV0269,35100000000269,Vivo,Model-27
DEV0270,35100000000270,Samsung,Model-20
DEV0271,35100000000271,OnePlus,Model-40
DEV0272,35100000000272,Samsung,Model-16
DEV0273,35100000000273,OnePlus,Model-27
DEV0274,35100000000274,Oppo,Model-15
DEV0275,35100000000275,Motorola,Model-22
DEV0276,35100000000276,Realme,Model-12
DEV0277,35100000000277,Vivo,Model-13
DEV0278,35100000000278,Apple,Model-4
DEV0279,35100000000279,OnePlus,Model-8
DEV0280,35100000000280,Realme,Model-31
DEV0281,35100000000281,Oppo,Model-33
DEV0282,35100000000282,OnePlus,Model-16
DEV0283,35100000000283,Xiaomi,Model-34
DEV0284,35100000000284,Vivo,Model-4
DEV0285,35100000000285,Apple,Model-25
DEV0286,35100000000286,Motorola,Model-20
DEV0287,35100000000287,Oppo,Model-25
DEV0288,35100000000288,Apple,Model-36
DEV0289,35100000000289,Motorola,Model-18
DEV0290,35100000000290,Nokia,Model-36
DEV0291,35100000000291,Motorola,Model-2
DEV0292,35100000000292,Apple,Model-39
DEV0293,35100000000293,Apple,Model-36
DEV0294,35100000000294,OnePlus,Model-17
DEV0295,35100000000295,Motorola,Model-3
DEV0296,35100000000296,Xiaomi,Model-35
DEV0297,35100000000297,Motorola,Model-5
DEV0298,35100000000298,Samsung,Model-10
DEV0299,35100000000299,Motorola,Model-18
DEV0300,35100000000300,Realme,Model-26
DEV0301,35100000000301,Oppo,Model-37
DEV0302,35100000000302,Nokia,Model-3
DEV0303,35100000000303,OnePlus,Model-21
DEV0304,35100000000304,OnePlus,Model-33
DEV0305,35100000000305,Nokia,Model-5
DEV0306,35100000000306,Vivo,Model-29
DEV0307,35100000000307,Nokia,Model-6
DEV0308,35100000000308,Apple,Model-20
DEV0309,35100000000309,OnePlus,Model-34
DEV0310,35100000000310,Nokia,Model-39
DEV0311,35100000000311,Realme,Model-17
DEV0312,35100000000312,Oppo,Model-21
DEV0313,35100000000313,Realme,Model-24
DEV0314,35100000000314,Oppo,Model-18
DEV0315,35100000000315,OnePlus,Model-8
DEV0316,35100000000316,OnePlus,Model-27
DEV0317,35100000000317,Oppo,Model-12
DEV0318,35100000000318,Apple,Model-26
DEV0319,35100000000319,OnePlus,Model-40
DEV0320,35100000000320,Realme,Model-14
DEV0321,35100000000321,Nokia,Model-33
DEV0322,35100000000322,Nokia,Model-17
DEV0323,35100000000323,Realme,Model-6
DEV0324,35100000000324,Nokia,Model-39
DEV0325,35100000000325,Xiaomi,Model-26
DEV0326,35100000000326,OnePlus,Model-16
DEV0327,35100000000327,Motorola,Model-24
DEV0328,35100000000328,Realme,Model-37
DEV0329,35100000000329,Samsung,Model-35
DEV0330,35100000000330,Xiaomi,Model-16
DEV0331,35100000000331,Realme,Model-7
DEV0332,35100000000332,Apple,Model-2
DEV0333,35100000000333,Nokia,Model-22
DEV0334,35100000000334,Vivo,Model-28
DEV0335,35100000000335,Vivo,Model-40
DEV0336,35100000000336,Vivo,Model-30
DEV0337,35100000000337,Oppo,Model-34
DEV0338,35100000000338,Nokia,Model-23
DEV0339,35100000000339,Realme,Model-10
DEV0340,35100000000340,Apple,Model-18
DEV0341,35100000000341,Realme,Model-19
DEV0342,35100000000342,Motorola,Model-25
DEV0343,35100000000343,Samsung,Model-5
DEV0344,35100000000344,Xiaomi,Model-28
DEV0345,35100000000345,Vivo,Model-34
DEV0346,35100000000346,Samsung,Model-4
DEV0347,35100000000347,Motorola,Model-19
DEV0348,35100000000348,Vivo,Model-36
DEV0349,35100000000349,Vivo,Model-36
DEV0350,35100000000350,Motorola,Model-36
