evidence_id,case_id,source_table,record_id,sequence_index,content_sha256,previous_hash,block_hash
fir:FIR0001,CASE001,fir,FIR0001,1,27b9086c9520dedcf4b5bd19016b8b277106fd9c17c38a16d7a0371dc2261630,0000000000000000000000000000000000000000000000000000000000000000,488707680d9fc87cc786d8f0cc2807d62f8960a357d1284db4290cb8c4cef1ff
cdr:CDR0001,CASE001,cdr,CDR0001,2,1793cb60ed9cea3921a75ba847e08fad1010fddf2dfbc6f9b44f35d608cfc5c4,488707680d9fc87cc786d8f0cc2807d62f8960a357d1284db4290cb8c4cef1ff,b779896bf1415466c199af93f4d038f1d6e3e3d643c9915258413766641958d1
cdr:CDR0002,CASE001,cdr,CDR0002,3,b0578dff6946a57caf267daff349b3801dc7a3d65065b2fb3b6aa2f5922f3ee2,b779896bf1415466c199af93f4d038f1d6e3e3d643c9915258413766641958d1,250b293363bee73315d5dc199de8a7493930b300fd714cb5286cf01fd80b7718
cdr:CDR0003,CASE001,cdr,CDR0003,4,d822aebeaba5c5d258a3613ece24f09b6be90935b506bf2b29978d27df230672,250b293363bee73315d5dc199de8a7493930b300fd714cb5286cf01fd80b7718,e5efd751135203dfe4750241274be5b04fd0f652bf540ca52c4fd95041ce2789
cdr:CDR0004,CASE001,cdr,CDR0004,5,731d50b722439ecf2962fddb31ae75770ecaf35fa9224c16e987eae4d65e82b7,e5efd751135203dfe4750241274be5b04fd0f652bf540ca52c4fd95041ce2789,9115421d01618d8941f65e1fbbff9e513125289c31958143e8df22801d9a6dd9
cdr:CDR0005,CASE001,cdr,CDR0005,6,ed21d817571c87fa30e0315371fe05c09cd69368f7492309967592a88b5729de,9115421d01618d8941f65e1fbbff9e513125289c31958143e8df22801d9a6dd9,3e3e5e06f3dc1be0271fdc01fb098ac29ba70363caa94704c7ff71c1e800f35f
cdr:CDR0006,CASE001,cdr,CDR0006,7,52f8c98d8a57ee3f8a166ff16e9feda53f88734708b32157288becb1813728d2,3e3e5e06f3dc1be0271fdc01fb098ac29ba70363caa94704c7ff71c1e800f35f,e12e140ff7dad895b28281790bd7913e1b4d9790c0ed997903a5e0b63d172f02
cdr:CDR0007,CASE001,cdr,CDR0007,8,b6bbd7bcf60404cdcd13470d73600682b40ace6b9027d6e577a88e81287b841d,e12e140ff7dad895b28281790bd7913e1b4d9790c0ed997903a5e0b63d172f02,c1b9bb6ae330b8d5b89e14fe1127d7b4d135f02dab3350d5d9758d3db0b1c53d
cdr:CDR0008,CASE001,cdr,CDR0008,9,41368c6f2b1305bc561a0aa5d5b2e80f5594e6cb68fdcb59ccef2ef4e3eb1c40,c1b9bb6ae330b8d5b89e14fe1127d7b4d135f02dab3350d5d9758d3db0b1c53d,c644835ce6763418af89136cade20825bd1d2fe06b8d977c4400b5766bcd4e02
cdr:CDR0009,CASE001,cdr,CDR0009,10,65ccc3b33ff92c7148fe14168e94fe674781c842bf0312a4aae27c03da74f27b,c644835ce6763418af89136cade20825bd1d2fe06b8d977c4400b5766bcd4e02,7551f838940a4b57466b7c5cfbb2a9bd259ccb438c253055ea8ab5a718edd3f4
cdr:CDR0010,CASE001,cdr,CDR0010,11,b057e18f5c8cc7444f9d0357a08767b10f5bad462ffc8e79445a603ba377e15a,7551f838940a4b57466b7c5cfbb2a9bd259ccb438c253055ea8ab5a718edd3f4,1df8f8cf8a087084b6ecfc3cb761243b7cc141b9eeebaffc908249d206be1638
cdr:CDR0011,CASE001,cdr,CDR0011,12,b36bf6ba633f593d8cb747626bb9f65abbdd73dd40f22f942c5e7d23777d8855,1df8f8cf8a087084b6ecfc3cb761243b7cc141b9eeebaffc908249d206be1638,364dd8ad28e2c212ccf607b056a6fbcbc6461ca6632d0cf168180a157783352d
cdr:CDR0012,CASE001,cdr,CDR0012,13,2ea7b5c6360ac1b43f5b66e7d4616743c073cbc059771d56bdf41685c6399397,364dd8ad28e2c212ccf607b056a6fbcbc6461ca6632d0cf168180a157783352d,83d3a10c7f247dd8913dd3ebb023590002c24feee6c5ab032310eab9cbdfb9cc
cdr:CDR0013,CASE001,cdr,CDR0013,14,9a84d3d55ce451a3b4ffefda1c54098120f22ef8fa4f0cc0bb363d387e449220,83d3a10c7f247dd8913dd3ebb023590002c24feee6c5ab032310eab9cbdfb9cc,7d882d634c34621327447265681ad38648ec0eb06e39a6cde29b7918ac9944db
cdr:CDR0014,CASE001,cdr,CDR0014,15,409787753ece5a529b4fdb45d481f74f70482ec226f65d2741abf6f84a0921fe,7d882d634c34621327447265681ad38648ec0eb06e39a6cde29b7918ac9944db,929e7a23c5654b8ef76ee5c5e5c09a81c70cc91c5b78c643432db0bbaff1386e
cdr:CDR0015,CASE001,cdr,CDR0015,16,197a060d7f90faa79ecb95d3aaf25470db6212f8674eac04206ee1be6f271abe,929e7a23c5654b8ef76ee5c5e5c09a81c70cc91c5b78c643432db0bbaff1386e,7ee29d1c95d44260ddff5461786802b03f4702b9934f998211b66a500aae6bbb
cdr:CDR0016,CASE001,cdr,CDR0016,17,0078604a0d313d64e1ebee03da8501aa87c933e6f3e96ae6e3d158c142524e81,7ee29d1c95d44260ddff5461786802b03f4702b9934f998211b66a500aae6bbb,0d6ed46b78b9ef7f1b6efa3b63a7fabcf57c1241a5167c2b05ce0e3915e9c49a
cdr:CDR0017,CASE001,cdr,CDR0017,18,fcd9c34713f166faeae523bcb138f22e6c7de7ca0ef5edc9c581032ac2a72984,0d6ed46b78b9ef7f1b6efa3b63a7fabcf57c1241a5167c2b05ce0e3915e9c49a,3c14d1fe89ea6e5e9fabdd202ac3d5b56f1c113ffd8538553c259c8f6886f513
cdr:CDR0018,CASE001,cdr,CDR0018,19,87bac6e304674dae1d62414396c11046cfe2b95eb94f903d7a7808e8718d3efc,3c14d1fe89ea6e5e9fabdd202ac3d5b56f1c113ffd8538553c259c8f6886f513,cdea88fd804808216bb0ad60f8968ada6fa867cd03c1396331eb346b5e79f1bd
cdr:CDR0019,CASE001,cdr,CDR0019,20,a1050341cba9704fa2829fd9c3235a8ad0223c09b8db5993d679bca0263d823f,cdea88fd804808216bb0ad60f8968ada6fa867cd03c1396331eb346b5e79f1bd,830638400cc02a4150331ef63fc90a84d1ecb71c3eaa5063ae8230cf098a9a15
cdr:CDR0020,CASE001,cdr,CDR0020,21,45b89c8f31be1e1a11154593bef5f9ba19f9284ddc2501d3c2d8cd9c0134a0c7,830638400cc02a4150331ef63fc90a84d1ecb71c3eaa5063ae8230cf098a9a15,397ce9d37b261dfd3beddbf44453643b0cbe8d9d729d66966fe074f25332f3bd
cdr:CDR0021,CASE001,cdr,CDR0021,22,b5e13f5247c9b60f997e7e7d30ff4f4334784f31cb8518bd142c7cef946dbfcd,397ce9d37b261dfd3beddbf44453643b0cbe8d9d729d66966fe074f25332f3bd,2a410837d0aeacfd08847bc47b443fa8508bcc23e94507771528f1a3b2cb13e8
cdr:CDR0022,CASE001,cdr,CDR0022,23,04cf870c3cc17aba4c6a68fee07e9ee5b0ebc572fcee8b87403e284d4f02190c,2a410837d0aeacfd08847bc47b443fa8508bcc23e94507771528f1a3b2cb13e8,ca24bed2c64a017efae9df7c0257c81ba891e5249bb1d36eda65bb6000c35e02
cdr:CDR0023,CASE001,cdr,CDR0023,24,0d19683e6bab10503016b037fb7df50394daa8ca90bc07da4e51a07cc95d24a6,ca24bed2c64a017efae9df7c0257c81ba891e5249bb1d36eda65bb6000c35e02,80ff13dd834ca8b4e9db36d5894c4b8f5833182bc403ca49a0694a7eff882462
