evidence_id,case_id,source_table,record_id,evidence_type,collected_date,custodian
fir:FIR0001,CASE001,fir,FIR0001,structured,,System
cdr:CDR0001,CASE001,cdr,CDR0001,structured,,System
cdr:CDR0002,CASE001,cdr,CDR0002,structured,,System
cdr:CDR0003,CASE001,cdr,CDR0003,structured,,System
cdr:CDR0004,CASE001,cdr,CDR0004,structured,,System
cdr:CDR0005,CASE001,cdr,CDR0005,structured,,System
cdr:CDR0006,CASE001,cdr,CDR0006,structured,,System
cdr:CDR0007,CASE001,cdr,CDR0007,structured,,System
cdr:CDR0008,CASE001,cdr,CDR0008,structured,,System
cdr:CDR0009,CASE001,cdr,CDR0009,structured,,System
cdr:CDR0010,CASE001,cdr,CDR0010,structured,,System
cdr:CDR0011,CASE001,cdr,CDR0011,structured,,System
cdr:CDR0012,CASE001,cdr,CDR0012,structured,,System
cdr:CDR0013,CASE001,cdr,CDR0013,structured,,System
cdr:CDR0014,CASE001,cdr,CDR0014,structured,,System
cdr:CDR0015,CASE001,cdr,CDR0015,structured,,System
cdr:CDR0016,CASE001,cdr,CDR0016,structured,,System
cdr:CDR0017,CASE001,cdr,CDR0017,structured,,System
cdr:CDR0018,CASE001,cdr,CDR0018,structured,,System
cdr:CDR0019,CASE001,cdr,CDR0019,structured,,System
cdr:CDR0020,CASE001,cdr,CDR0020,structured,,System
cdr:CDR0021,CASE001,cdr,CDR0021,structured,,System
cdr:CDR0022,CASE001,cdr,CDR0022,structured,,System
cdr:CDR0023,CASE001,cdr,CDR0023,structured,,System
cdr:CDR0024,CASE001,cdr,CDR0024,structured,,System
cdr:CDR0025,CASE001,cdr,CDR0025,structured,,System
cdr:CDR0026,CASE001,cdr,CDR0026,structured,,System
cdr:CDR0027,CASE001,cdr,CDR0027,structured,,System
cdr:CDR0028,CASE001,cdr,CDR0028,structured,,System
cdr:CDR0029,CASE001,cdr,CDR0029,structured,,System
cdr:CDR0030,CASE001,cdr,CDR0030,structured,,System
cdr:CDR0031,CASE001,cdr,CDR0031,structured,,System
cdr:CDR0032,CASE001,cdr,CDR0032,structured,,System
cdr:CDR0033,CASE001,cdr,CDR0033,structured,,System
cdr:CDR0034,CASE001,cdr,CDR0034,structured,,System
cdr:CDR0035,CASE001,cdr,CDR0035,structured,,System
cdr:CDR0036,CASE001,cdr,CDR0036,structured,,System
cdr:CDR0037,CASE001,cdr,CDR0037,structured,,System
cdr:CDR0038,CASE001,cdr,CDR0038,structured,,System
cdr:CDR0039,CASE001,cdr,CDR0039,structured,,System
cdr:CDR0040,CASE001,cdr,CDR0040,structured,,System
cdr:CDR0041,CASE001,cdr,CDR0041,structured,,System
cdr:CDR0042,CASE001,cdr,CDR0042,structured,,System
cdr:CDR0043,CASE001,cdr,CDR0043,structured,,System
cdr:CDR0044,CASE001,cdr,CDR0044,structured,,System
cdr:CDR0045,CASE001,cdr,CDR0045,structured,,System
cdr:CDR0046,CASE001,cdr,CDR0046,structured,,System
cdr:CDR0047,CASE001,cdr,CDR0047,structured,,System
cdr:CDR0048,CASE001,cdr,CDR0048,structured,,System
cdr:CDR0049,CASE001,cdr,CDR0049,structured,,System
cdr:CDR0050,CASE001,cdr,CDR0050,structured,,System
cdr:CDR0051,CASE001,cdr,CDR0051,structured,,System
cdr:CDR0052,CASE001,cdr,CDR0052,structured,,System
cdr:CDR0053,CASE001,cdr,CDR0053,structured,,System
cdr:CDR0054,CASE001,cdr,CDR0054,structured,,System
cdr:CDR0055,CASE001,cdr,CDR0055,structured,,System
cdr:CDR0056,CASE001,cdr,CDR0056,structured,,System
cdr:CDR0057,CASE001,cdr,CDR0057,structured,,System
cdr:CDR0058,CASE001,cdr,CDR0058,structured,,System
cdr:CDR0059,CASE001,cdr,CDR0059,structured,,System
cdr:CDR0060,CASE001,cdr,CDR0060,structured,,System
cdr:CDR0061,CASE001,cdr,CDR0061,structured,,System
cdr:CDR0062,CASE001,cdr,CDR0062,structured,,System
cdr:CDR0063,CASE001,cdr,CDR0063,structured,,System
cdr:CDR0064,CASE001,cdr,CDR0064,structured,,System
cdr:CDR0065,CASE001,cdr,CDR0065,structured,,System
cdr:CDR0066,CASE001,cdr,CDR0066,structured,,System
cdr:CDR0067,CASE001,cdr,CDR0067,structured,,System
cdr:CDR0068,CASE001,cdr,CDR0068,structured,,System
cdr:CDR0069,CASE001,cdr,CDR0069,structured,,System
cdr:CDR0070,CASE001,cdr,CDR0070,structured,,System
cdr:CDR0071,CASE001,cdr,CDR0071,structured,,System
cdr:CDR0072,CASE001,cdr,CDR0072,structured,,System
cdr:CDR0073,CASE001,cdr,CDR0073,structured,,System
cdr:CDR0074,CASE001,cdr,CDR0074,structured,,System
cdr:CDR0075,CASE001,cdr,CDR0075,structured,,System
cdr:CDR0076,CASE001,cdr,CDR0076,structured,,System
cdr:CDR0077,CASE001,cdr,CDR0077,structured,,System
cdr:CDR0078,CASE001,cdr,CDR0078,structured,,System
cdr:CDR0079,CASE001,cdr,CDR0079,structured,,System
cdr:CDR0080,CASE001,cdr,CDR0080,structured,,System
cdr:CDR0081,CASE001,cdr,CDR0081,structured,,System
cdr:CDR0082,CASE001,cdr,CDR0082,structured,,System
cdr:CDR0083,CASE001,cdr,CDR0083,structured,,System
cdr:CDR0084,CASE001,cdr,CDR0084,structured,,System
cdr:CDR0085,CASE001,cdr,CDR0085,structured,,System
cdr:CDR0086,CASE001,cdr,CDR0086,structured,,System
cdr:CDR0087,CASE001,cdr,CDR0087,structured,,System
cdr:CDR0088,CASE001,cdr,CDR0088,structured,,System
cdr:CDR0089,CASE001,cdr,CDR0089,structured,,System
cdr:CDR0090,CASE001,cdr,CDR0090,structured,,System
cdr:CDR0091,CASE001,cdr,CDR0091,structured,,System
cdr:CDR0092,CASE001,cdr,CDR0092,structured,,System
cdr:CDR0093,CASE001,cdr,CDR0093,structured,,System
cdr:CDR0094,CASE001,cdr,CDR0094,structured,,System
cdr:CDR0095,CASE001,cdr,CDR0095,structured,,System
cdr:CDR0096,CASE001,cdr,CDR0096,structured,,System
cdr:CDR0097,CASE001,cdr,CDR0097,structured,,System
cdr:CDR0098,CASE001,cdr,CDR0098,structured,,System
cdr:CDR0099,CASE001,cdr,CDR0099,structured,,System
cdr:CDR0100,CASE001,cdr,CDR0100,structured,,System
cdr:CDR0101,CASE001,cdr,CDR0101,structured,,System
cdr:CDR0102,CASE001,cdr,CDR0102,structured,,System
cdr:CDR0103,CASE001,cdr,CDR0103,structured,,System
cdr:CDR0104,CASE001,cdr,CDR0104,structured,,System
cdr:CDR0105,CASE001,cdr,CDR0105,structured,,System
cdr:CDR0106,CASE001,cdr,CDR0106,structured,,System
cdr:CDR0107,CASE001,cdr,CDR0107,structured,,System
cdr:CDR0108,CASE001,cdr,CDR0108,structured,,System
cdr:CDR0109,CASE001,cdr,CDR0109,structured,,System
cdr:CDR0110,CASE001,cdr,CDR0110,structured,,System
cdr:CDR0111,CASE001,cdr,CDR0111,structured,,System
cdr:CDR0112,CASE001,cdr,CDR0112,structured,,System
cdr:CDR0113,CASE001,cdr,CDR0113,structured,,System
cdr:CDR0114,CASE001,cdr,CDR0114,structured,,System
cdr:CDR0115,CASE001,cdr,CDR0115,structured,,System
cdr:CDR0116,CASE001,cdr,CDR0116,structured,,System
cdr:CDR0117,CASE001,cdr,CDR0117,structured,,System
cdr:CDR0118,CASE001,cdr,CDR0118,structured,,System
cdr:CDR0119,CASE001,cdr,CDR0119,structured,,System
cdr:CDR0120,CASE001,cdr,CDR0120,structured,,System
cdr:CDR0121,CASE001,cdr,CDR0121,structured,,System
cdr:CDR0122,CASE001,cdr,CDR0122,structured,,System
cdr:CDR0123,CASE001,cdr,CDR0123,structured,,System
cdr:CDR0124,CASE001,cdr,CDR0124,structured,,System
cdr:CDR0125,CASE001,cdr,CDR0125,structured,,System
cdr:CDR0126,CASE001,cdr,CDR0126,structured,,System
cdr:CDR0127,CASE001,cdr,CDR0127,structured,,System
cdr:CDR0128,CASE001,cdr,CDR0128,structured,,System
cdr:CDR0129,CASE001,cdr,CDR0129,structured,,System
cdr:CDR0130,CASE001,cdr,CDR0130,structured,,System
cdr:CDR0131,CASE001,cdr,CDR0131,structured,,System
cdr:CDR0132,CASE001,cdr,CDR0132,structured,,System
cdr:CDR0133,CASE001,cdr,CDR0133,structured,,System
cdr:CDR0134,CASE001,cdr,CDR0134,structured,,System
cdr:CDR0135,CASE001,cdr,CDR0135,structured,,System
cdr:CDR0136,CASE001,cdr,CDR0136,structured,,System
cdr:CDR0137,CASE001,cdr,CDR0137,structured,,System
cdr:CDR0138,CASE001,cdr,CDR0138,structured,,System
cdr:CDR0139,CASE001,cdr,CDR0139,structured,,System
cdr:CDR0140,CASE001,cdr,CDR0140,structured,,System
cdr:CDR0141,CASE001,cdr,CDR0141,structured,,System
cdr:CDR0142,CASE001,cdr,CDR0142,structured,,System
cdr:CDR0143,CASE001,cdr,CDR0143,structured,,System
cdr:CDR0144,CASE001,cdr,CDR0144,structured,,System
cdr:CDR0145,CASE001,cdr,CDR0145,structured,,System
cdr:CDR0146,CASE001,cdr,CDR0146,structured,,System
cdr:CDR0147,CASE001,cdr,CDR0147,structured,,System
cdr:CDR0148,CASE001,cdr,CDR0148,structured,,System
cdr:CDR0149,CASE001,cdr,CDR0149,structured,,System
cdr:CDR0150,CASE001,cdr,CDR0150,structured,,System
cdr:CDR0151,CASE001,cdr,CDR0151,structured,,System
cdr:CDR0152,CASE001,cdr,CDR0152,structured,,System
cdr:CDR0153,CASE001,cdr,CDR0153,structured,,System
cdr:CDR0154,CASE001,cdr,CDR0154,structured,,System
cdr:CDR0155,CASE001,cdr,CDR0155,structured,,System
cdr:CDR0156,CASE001,cdr,CDR0156,structured,,System
cdr:CDR0157,CASE001,cdr,CDR0157,structured,,System
cdr:CDR0158,CASE001,cdr,CDR0158,structured,,System
cdr:CDR0159,CASE001,cdr,CDR0159,structured,,System
cdr:CDR0160,CASE001,cdr,CDR0160,structured,,System
cdr:CDR0161,CASE001,cdr,CDR0161,structured,,System
cdr:CDR0162,CASE001,cdr,CDR0162,structured,,System
cdr:CDR0163,CASE001,cdr,CDR0163,structured,,System
cdr:CDR0164,CASE001,cdr,CDR0164,structured,,System
cdr:CDR0165,CASE001,cdr,CDR0165,structured,,System
cdr:CDR0166,CASE001,cdr,CDR0166,structured,,System
cdr:CDR0167,CASE001,cdr,CDR0167,structured,,System
cdr:CDR0168,CASE001,cdr,CDR0168,structured,,System
cdr:CDR0169,CASE001,cdr,CDR0169,structured,,System
cdr:CDR0170,CASE001,cdr,CDR0170,structured,,System
cdr:CDR0171,CASE001,cdr,CDR0171,structured,,System
cdr:CDR0172,CASE001,cdr,CDR0172,structured,,System
cdr:CDR0173,CASE001,cdr,CDR0173,structured,,System
cdr:CDR0174,CASE001,cdr,CDR0174,structured,,System
cdr:CDR0175,CASE001,cdr,CDR0175,structured,,System
cdr:CDR0176,CASE001,cdr,CDR0176,structured,,System
cdr:CDR0177,CASE001,cdr,CDR0177,structured,,System
cdr:CDR0178,CASE001,cdr,CDR0178,structured,,System
cdr:CDR0179,CASE001,cdr,CDR0179,structured,,System
cdr:CDR0180,CASE001,cdr,CDR0180,structured,,System
cdr:CDR0181,CASE001,cdr,CDR0181,structured,,System
cdr:CDR0182,CASE001,cdr,CDR0182,structured,,System
cdr:CDR0183,CASE001,cdr,CDR0183,structured,,System
cdr:CDR0184,CASE001,cdr,CDR0184,structured,,System
cdr:CDR0185,CASE001,cdr,CDR0185,structured,,System
cdr:CDR0186,CASE001,cdr,CDR0186,structured,,System
cdr:CDR0187,CASE001,cdr,CDR0187,structured,,System
cdr:CDR0188,CASE001,cdr,CDR0188,structured,,System
cdr:CDR0189,CASE001,cdr,CDR0189,structured,,System
cdr:CDR0190,CASE001,cdr,CDR0190,structured,,System
cdr:CDR0191,CASE001,cdr,CDR0191,structured,,System
cdr:CDR0192,CASE001,cdr,CDR0192,structured,,System
cdr:CDR0193,CASE001,cdr,CDR0193,structured,,System
cdr:CDR0194,CASE001,cdr,CDR0194,structured,,System
cdr:CDR0195,CASE001,cdr,CDR0195,structured,,System
cdr:CDR0196,CASE001,cdr,CDR0196,structured,,System
cdr:CDR0197,CASE001,cdr,CDR0197,structured,,System
cdr:CDR0198,CASE001,cdr,CDR0198,structured,,System
cdr:CDR0199,CASE001,cdr,CDR0199,structured,,System
cdr:CDR0200,CASE001,cdr,CDR0200,structured,,System
cdr:CDR0201,CASE001,cdr,CDR0201,structured,,System
cdr:CDR0202,CASE001,cdr,CDR0202,structured,,System
cdr:CDR0203,CASE001,cdr,CDR0203,structured,,System
cdr:CDR0204,CASE001,cdr,CDR0204,structured,,System
cdr:CDR0205,CASE001,cdr,CDR0205,structured,,System
cdr:CDR0206,CASE001,cdr,CDR0206,structured,,System
cdr:CDR0207,CASE001,cdr,CDR0207,structured,,System
cdr:CDR0208,CASE001,cdr,CDR0208,structured,,System
cdr:CDR0209,CASE001,cdr,CDR0209,structured,,System
cdr:CDR0210,CASE001,cdr,CDR0210,structured,,System
cdr:CDR0211,CASE001,cdr,CDR0211,structured,,System
cdr:CDR0212,CASE001,cdr,CDR0212,structured,,System
cdr:CDR0213,CASE001,cdr,CDR0213,structured,,System
cdr:CDR0214,CASE001,cdr,CDR0214,structured,,System
cdr:CDR0215,CASE001,cdr,CDR0215,structured,,System
cdr:CDR0216,CASE001,cdr,CDR0216,structured,,System
cdr:CDR0217,CASE001,cdr,CDR0217,structured,,System
cdr:CDR0218,CASE001,cdr,CDR0218,structured,,System
cdr:CDR0219,CASE001,cdr,CDR0219,structured,,System
cdr:CDR0220,CASE001,cdr,CDR0220,structured,,System
cdr:CDR0221,CASE001,cdr,CDR0221,structured,,System
cdr:CDR0222,CASE001,cdr,CDR0222,structured,,System
cdr:CDR0223,CASE001,cdr,CDR0223,structured,,System
cdr:CDR0224,CASE001,cdr,CDR0224,structured,,System
cdr:CDR0225,CASE001,cdr,CDR0225,structured,,System
cdr:CDR0226,CASE001,cdr,CDR0226,structured,,System
cdr:CDR0227,CASE001,cdr,CDR0227,structured,,System
cdr:CDR0228,CASE001,cdr,CDR0228,structured,,System
cdr:CDR0229,CASE001,cdr,CDR0229,structured,,System
cdr:CDR0230,CASE001,cdr,CDR0230,structured,,System
cdr:CDR0231,CASE001,cdr,CDR0231,structured,,System
cdr:CDR0232,CASE001,cdr,CDR0232,structured,,System
cdr:CDR0233,CASE001,cdr,CDR0233,structured,,System
transactions:TX0001,CASE001,transactions,TX0001,structured,,System
transactions:TX0002,CASE001,transactions,TX0002,structured,,System
transactions:TX0003,CASE001,transactions,TX0003,structured,,System
transactions:TX0004,CASE001,transactions,TX0004,structured,,System
transactions:TX0005,CASE001,transactions,TX0005,structured,,System
transactions:TX0006,CASE001,transactions,TX0006,structured,,System
transactions:TX0007,CASE001,transactions,TX0007,structured,,System
transactions:TX0008,CASE001,transactions,TX0008,structured,,System
transactions:TX0009,CASE001,transactions,TX0009,structured,,System
transactions:TX0010,CASE001,transactions,TX0010,structured,,System
transactions:TX0011,CASE001,transactions,TX0011,structured,,System
transactions:TX0012,CASE001,transactions,TX0012,structured,,System
transactions:TX0013,CASE001,transactions,TX0013,structured,,System
transactions:TX0014,CASE001,transactions,TX0014,structured,,System
transactions:TX0015,CASE001,transactions,TX0015,structured,,System
transactions:TX0016,CASE001,transactions,TX0016,structured,,System
transactions:TX0017,CASE001,transactions,TX0017,structured,,System
transactions:TX0018,CASE001,transactions,TX0018,structured,,System
transactions:TX0019,CASE001,transactions,TX0019,structured,,System
transactions:TX0020,CASE001,transactions,TX0020,structured,,System
transactions:TX0021,CASE001,transactions,TX0021,structured,,System
transactions:TX0022,CASE001,transactions,TX0022,structured,,System
transactions:TX0023,CASE001,transactions,TX0023,structured,,System
transactions:TX0024,CASE001,transactions,TX0024,structured,,System
transactions:TX0025,CASE001,transactions,TX0025,structured,,System
transactions:TX0026,CASE001,transactions,TX0026,structured,,System
transactions:TX0027,CASE001,transactions,TX0027,structured,,System
transactions:TX0028,CASE001,transactions,TX0028,structured,,System
transactions:TX0029,CASE001,transactions,TX0029,structured,,System
transactions:TX0030,CASE001,transactions,TX0030,structured,,System
transactions:TX0031,CASE001,transactions,TX0031,structured,,System
transactions:TX0032,CASE001,transactions,TX0032,structured,,System
transactions:TX0033,CASE001,transactions,TX0033,structured,,System
transactions:TX0034,CASE001,transactions,TX0034,structured,,System
transactions:TX0035,CASE001,transactions,TX0035,structured,,System
transactions:TX0036,CASE001,transactions,TX0036,structured,,System
transactions:TX0037,CASE001,transactions,TX0037,structured,,System
transactions:TX0038,CASE001,transactions,TX0038,structured,,System
transactions:TX0039,CASE001,transactions,TX0039,structured,,System
transactions:TX0040,CASE001,transactions,TX0040,structured,,System
transactions:TX0041,CASE001,transactions,TX0041,structured,,System
transactions:TX0042,CASE001,transactions,TX0042,structured,,System
transactions:TX0043,CASE001,transactions,TX0043,structured,,System
transactions:TX0044,CASE001,transactions,TX0044,structured,,System
transactions:TX0045,CASE001,transactions,TX0045,structured,,System
transactions:TX0046,CASE001,transactions,TX0046,structured,,System
transactions:TX0047,CASE001,transactions,TX0047,structured,,System
transactions:TX0048,CASE001,transactions,TX0048,structured,,System
transactions:TX0049,CASE001,transactions,TX0049,structured,,System
transactions:TX4785,CASE001,transactions,TX4785,structured,,System
transactions:TX4786,CASE001,transactions,TX4786,structured,,System
transactions:TX4787,CASE001,transactions,TX4787,structured,,System
transactions:TX4788,CASE001,transactions,TX4788,structured,,System
transactions:TX4789,CASE001,transactions,TX4789,structured,,System
location_events:CASE001-LE0001,CASE001,location_events,CASE001-LE0001,structured,,System
location_events:CASE001-LE0002,CASE001,location_events,CASE001-LE0002,structured,,System
location_events:CASE001-LE0003,CASE001,location_events,CASE001-LE0003,structured,,System
location_events:CASE001-LE0004,CASE001,location_events,CASE001-LE0004,structured,,System
location_events:CASE001-LE0005,CASE001,location_events,CASE001-LE0005,structured,,System
documents:FIR_FIR0001,CASE001,documents,FIR_FIR0001,document,,System
documents:WITNESS_CASE001_1,CASE001,documents,WITNESS_CASE001_1,document,,System
fir:FIR0002,CASE002,fir,FIR0002,structured,,System
cdr:CDR0234,CASE002,cdr,CDR0234,structured,,System
cdr:CDR0235,CASE002,cdr,CDR0235,structured,,System
cdr:CDR0236,CASE002,cdr,CDR0236,structured,,System
cdr:CDR0237,CASE002,cdr,CDR0237,structured,,System
cdr:CDR0238,CASE002,cdr,CDR0238,structured,,System
cdr:CDR0239,CASE002,cdr,CDR0239,structured,,System
cdr:CDR0240,CASE002,cdr,CDR0240,structured,,System
cdr:CDR0241,CASE002,cdr,CDR0241,structured,,System
cdr:CDR0242,CASE002,cdr,CDR0242,structured,,System
cdr:CDR0243,CASE002,cdr,CDR0243,structured,,System
cdr:CDR0244,CASE002,cdr,CDR0244,structured,,System
cdr:CDR0245,CASE002,cdr,CDR0245,structured,,System
cdr:CDR0246,CASE002,cdr,CDR0246,structured,,System
cdr:CDR0247,CASE002,cdr,CDR0247,structured,,System
cdr:CDR0248,CASE002,cdr,CDR0248,structured,,System
cdr:CDR0249,CASE002,cdr,CDR0249,structured,,System
cdr:CDR0250,CASE002,cdr,CDR0250,structured,,System
cdr:CDR0251,CASE002,cdr,CDR0251,structured,,System
cdr:CDR0252,CASE002,cdr,CDR0252,structured,,System
cdr:CDR0253,CASE002,cdr,CDR0253,structured,,System
cdr:CDR0254,CASE002,cdr,CDR0254,structured,,System
cdr:CDR0255,CASE002,cdr,CDR0255,structured,,System
cdr:CDR0256,CASE002,cdr,CDR0256,structured,,System
cdr:CDR0257,CASE002,cdr,CDR0257,structured,,System
cdr:CDR0258,CASE002,cdr,CDR0258,structured,,System
cdr:CDR0259,CASE002,cdr,CDR0259,structured,,System
cdr:CDR0260,CASE002,cdr,CDR0260,structured,,System
cdr:CDR0261,CASE002,cdr,CDR0261,structured,,System
cdr:CDR0262,CASE002,cdr,CDR0262,structured,,System
cdr:CDR0263,CASE002,cdr,CDR0263,structured,,System
cdr:CDR0264,CASE002,cdr,CDR0264,structured,,System
cdr:CDR0265,CASE002,cdr,CDR0265,structured,,System
cdr:CDR0266,CASE002,cdr,CDR0266,structured,,System
cdr:CDR0267,CASE002,cdr,CDR0267,structured,,System
cdr:CDR0268,CASE002,cdr,CDR0268,structured,,System
cdr:CDR0269,CASE002,cdr,CDR0269,structured,,System
