fir_id,person_id,role,confidence,source
FIR0001,P0981,suspect,0.69,FIR0001
FIR0001,P0520,suspect,0.53,FIR0001
FIR0001,P0536,mentioned_person,0.44,FIR0001
FIR0001,P0624,mentioned_person,0.41,FIR0001
FIR0001,P0144,mentioned_person,0.54,FIR0001
FIR0001,P0887,mentioned_person,0.69,FIR0001
FIR0001,P0607,mentioned_person,0.73,FIR0001
FIR0001,P0201,mentioned_person,0.59,FIR0001
FIR0001,P0914,mentioned_person,0.48,FIR0001
FIR0001,P0469,mentioned_person,0.45,FIR0001
FIR0001,P0163,mentioned_person,0.67,FIR0001
FIR0001,P0019,mentioned_person,0.92,FIR0001
FIR0001,P0635,mentioned_person,0.63,FIR0001
FIR0001,P0745,mentioned_person,0.45,FIR0001
FIR0001,P0107,mentioned_person,0.44,FIR0001
FIR0001,P0076,mentioned_person,0.41,FIR0001
FIR0001,P0270,mentioned_person,0.64,FIR0001
FIR0001,P0493,mentioned_person,0.57,FIR0001
FIR0001,P0824,mentioned_person,0.8,FIR0001
FIR0001,P0980,mentioned_person,0.55,FIR0001
FIR0001,P0013,mentioned_person,0.61,FIR0001
FIR0001,P0269,mentioned_person,0.6,FIR0001
FIR0001,P0867,mentioned_person,0.75,FIR0001
FIR0001,P0344,mentioned_person,0.47,FIR0001
FIR0001,P0172,mentioned_person,0.4,FIR0001
FIR0001,P0508,mentioned_person,0.88,FIR0001
FIR0001,P0119,mentioned_person,0.93,FIR0001
FIR0001,P0212,mentioned_person,0.7,FIR0001
FIR0001,P0338,mentioned_person,0.79,FIR0001
FIR0001,P0083,mentioned_person,0.52,FIR0001
FIR0001,P0286,mentioned_person,0.75,FIR0001
FIR0001,P0236,mentioned_person,0.54,FIR0001
FIR0001,P0321,mentioned_person,0.67,FIR0001
FIR0001,P0861,victim,0.69,FIR0001
FIR0001,P0967,mentioned_person,0.41,FIR0001
FIR0001,P0475,mentioned_person,0.95,FIR0001
FIR0001,P0038,mentioned_person,0.41,FIR0001
FIR0001,P0907,mentioned_person,0.89,FIR0001
FIR0001,P0006,mentioned_person,0.47,FIR0001
FIR0002,P0905,suspect,0.72,FIR0002
FIR0002,P0555,suspect,0.5,FIR0002
FIR0002,P0017,mentioned_person,0.48,FIR0002
FIR0002,P0665,mentioned_person,0.59,FIR0002
FIR0002,P0029,mentioned_person,0.94,FIR0002
FIR0002,P0417,mentioned_person,0.85,FIR0002
FIR0002,P0082,mentioned_person,0.62,FIR0002
FIR0002,P0925,mentioned_person,0.88,FIR0002
FIR0002,P0920,mentioned_person,0.64,FIR0002
FIR0002,P0325,mentioned_person,0.92,FIR0002
FIR0002,P0917,mentioned_person,0.6,FIR0002
FIR0002,P0060,mentioned_person,0.41,FIR0002
FIR0002,P0063,mentioned_person,0.76,FIR0002
FIR0002,P0919,mentioned_person,0.66,FIR0002
FIR0002,P0524,mentioned_person,0.75,FIR0002
FIR0002,P0677,mentioned_person,0.48,FIR0002
FIR0002,P0730,mentioned_person,0.52,FIR0002
FIR0002,P0003,mentioned_person,0.73,FIR0002
FIR0002,P0320,mentioned_person,0.74,FIR0002
FIR0002,P0552,mentioned_person,0.48,FIR0002
FIR0002,P0125,mentioned_person,0.64,FIR0002
FIR0002,P0916,mentioned_person,0.88,FIR0002
FIR0002,P0844,mentioned_person,0.88,FIR0002
FIR0002,P0964,mentioned_person,0.46,FIR0002
FIR0002,P0904,mentioned_person,0.55,FIR0002
FIR0002,P0949,mentioned_person,0.81,FIR0002
FIR0002,P0049,mentioned_person,0.78,FIR0002
FIR0002,P0773,victim,0.69,FIR0002
FIR0002,P0234,mentioned_person,0.89,FIR0002
FIR0002,P0663,mentioned_person,0.6,FIR0002
FIR0002,P0182,mentioned_person,0.81,FIR0002
FIR0003,P0037,suspect,0.9,FIR0003
FIR0003,P0217,suspect,0.51,FIR0003
FIR0003,P0154,mentioned_person,0.5,FIR0003
FIR0003,P0605,mentioned_person,0.65,FIR0003
FIR0003,P0990,mentioned_person,0.91,FIR0003
FIR0003,P0423,victim,0.84,FIR0003
FIR0003,P0019,mentioned_person,0.7,FIR0003
FIR0003,P0539,mentioned_person,0.6,FIR0003
FIR0003,P0584,mentioned_person,0.46,FIR0003
FIR0003,P0001,mentioned_person,0.4,FIR0003
FIR0003,P1000,mentioned_person,0.63,FIR0003
FIR0003,P0894,mentioned_person,0.64,FIR0003
FIR0003,P0351,mentioned_person,0.64,FIR0003
FIR0003,P0421,mentioned_person,0.5,FIR0003
FIR0003,P0173,mentioned_person,0.44,FIR0003
FIR0003,P0523,mentioned_person,0.92,FIR0003
FIR0003,P0607,mentioned_person,0.43,FIR0003
FIR0003,P0784,mentioned_person,0.43,FIR0003
FIR0004,P0662,suspect,0.54,FIR0004
FIR0004,P0595,suspect,0.54,FIR0004
FIR0004,P0257,mentioned_person,0.52,FIR0004
FIR0004,P0726,mentioned_person,0.71,FIR0004
FIR0004,P0841,mentioned_person,0.77,FIR0004
FIR0004,P0976,mentioned_person,0.71,FIR0004
FIR0004,P0081,mentioned_person,0.77,FIR0004
FIR0004,P0179,mentioned_person,0.76,FIR0004
FIR0004,P0792,victim,0.62,FIR0004
FIR0004,P0307,mentioned_person,0.55,FIR0004
FIR0004,P0775,mentioned_person,0.52,FIR0004
FIR0004,P0964,mentioned_person,0.63,FIR0004
FIR0005,P0509,suspect,0.94,FIR0005
FIR0005,P0765,suspect,0.43,FIR0005
FIR0005,P0639,mentioned_person,0.58,FIR0005
FIR0005,P0450,mentioned_person,0.63,FIR0005
FIR0005,P0705,mentioned_person,0.76,FIR0005
FIR0005,P0327,mentioned_person,0.59,FIR0005
FIR0005,P0414,mentioned_person,0.48,FIR0005
FIR0005,P0432,mentioned_person,0.69,FIR0005
FIR0005,P0782,mentioned_person,0.49,FIR0005
FIR0005,P0093,mentioned_person,0.52,FIR0005
FIR0005,P0622,victim,0.65,FIR0005
FIR0006,P0575,suspect,0.43,FIR0006
FIR0006,P0036,suspect,0.47,FIR0006
FIR0006,P0095,victim,0.79,FIR0006
FIR0007,P0207,suspect,0.9,FIR0007
FIR0007,P0303,suspect,0.53,FIR0007
FIR0007,P0586,mentioned_person,0.56,FIR0007
FIR0007,P0918,mentioned_person,0.6,FIR0007
FIR0007,P0267,victim,0.74,FIR0007
FIR0007,P0584,mentioned_person,0.76,FIR0007
FIR0007,P0053,mentioned_person,0.51,FIR0007
FIR0007,P0158,mentioned_person,0.43,FIR0007
FIR0008,P0922,suspect,0.69,FIR0008
FIR0008,P0913,suspect,0.87,FIR0008
FIR0008,P0220,mentioned_person,0.44,FIR0008
FIR0008,P0004,mentioned_person,0.93,FIR0008
FIR0008,P0066,mentioned_person,0.51,FIR0008
FIR0008,P0414,mentioned_person,0.62,FIR0008
FIR0008,P0954,mentioned_person,0.64,FIR0008
FIR0008,P0788,mentioned_person,0.8,FIR0008
FIR0008,P0722,mentioned_person,0.52,FIR0008
FIR0008,P0463,mentioned_person,0.58,FIR0008
FIR0008,P0945,mentioned_person,0.47,FIR0008
FIR0008,P0662,mentioned_person,0.58,FIR0008
FIR0008,P0298,mentioned_person,0.42,FIR0008
FIR0008,P0667,mentioned_person,0.58,FIR0008
FIR0008,P0876,mentioned_person,0.84,FIR0008
FIR0008,P0941,mentioned_person,0.76,FIR0008
FIR0008,P0593,mentioned_person,0.79,FIR0008
FIR0008,P0885,mentioned_person,0.5,FIR0008
FIR0008,P0459,mentioned_person,0.55,FIR0008
FIR0008,P0736,mentioned_person,0.72,FIR0008
FIR0008,P0218,mentioned_person,0.71,FIR0008
FIR0008,P0108,mentioned_person,0.51,FIR0008
FIR0008,P0377,mentioned_person,0.41,FIR0008
FIR0008,P0844,mentioned_person,0.85,FIR0008
