event_id,case_id,person_id,location_id,timestamp,event_type,source
CASE001-LE0001,CASE001,P0981,LOC0233,2026-06-07T00:59:00,co-location,surveillance
CASE001-LE0002,CASE001,P0520,LOC0233,2026-06-08T04:59:00,co-location,surveillance
CASE001-LE0003,CASE001,P0107,LOC0167,2026-06-03T04:59:00,routine,witness
CASE001-LE0004,CASE001,P0520,LOC0137,2026-05-29T04:59:00,routine,witness
CASE001-LE0005,CASE001,P0907,LOC0206,2026-06-08T04:59:00,routine,witness
CASE002-LE0006,CASE002,P0905,LOC0038,2026-04-18T21:17:00,co-location,surveillance
CASE002-LE0007,CASE002,P0555,LOC0038,2026-04-19T20:17:00,co-location,surveillance
CASE002-LE0008,CASE002,P0920,LOC0020,2026-04-10T23:17:00,routine,witness
CASE002-LE0009,CASE002,P0063,LOC0016,2026-04-21T23:17:00,routine,witness
CASE002-LE0010,CASE002,P0730,LOC0089,2026-04-22T23:17:00,routine,witness
CASE003-LE0011,CASE003,P0037,LOC0240,2026-01-07T02:29:00,co-location,surveillance
CASE003-LE0012,CASE003,P0217,LOC0240,2026-01-05T02:29:00,co-location,surveillance
CASE003-LE0013,CASE003,P0539,LOC0072,2025-12-25T06:29:00,routine,witness
CASE003-LE0014,CASE003,P0423,LOC0064,2026-01-05T06:29:00,routine,witness
CASE003-LE0015,CASE003,P1000,LOC0187,2025-12-31T06:29:00,routine,witness
CASE004-LE0016,CASE004,P0662,LOC0220,2026-07-29T16:00:00,co-location,surveillance
CASE004-LE0017,CASE004,P0595,LOC0220,2026-07-29T15:00:00,co-location,surveillance
CASE004-LE0018,CASE004,P0662,LOC0198,2026-07-18T18:00:00,routine,witness
CASE004-LE0019,CASE004,P0792,LOC0133,2026-07-27T18:00:00,routine,witness
CASE004-LE0020,CASE004,P0841,LOC0051,2026-07-20T18:00:00,routine,witness
CASE005-LE0021,CASE005,P0509,LOC0019,2026-04-12T03:48:00,co-location,surveillance
CASE005-LE0022,CASE005,P0765,LOC0019,2026-04-11T03:48:00,co-location,surveillance
CASE005-LE0023,CASE005,P0705,LOC0198,2026-04-09T07:48:00,routine,witness
CASE005-LE0024,CASE005,P0450,LOC0018,2026-04-03T07:48:00,routine,witness
CASE005-LE0025,CASE005,P0639,LOC0123,2026-04-06T07:48:00,routine,witness
CASE006-LE0026,CASE006,P0575,LOC0261,2025-10-31T22:22:00,co-location,surveillance
CASE006-LE0027,CASE006,P0036,LOC0261,2025-10-31T02:22:00,co-location,surveillance
CASE006-LE0028,CASE006,P0036,LOC0074,2025-11-03T03:22:00,routine,witness
