link_id,phone_id,sim_id,device_id,person_id,first_seen,last_seen,is_primary
LNK0001,PH0001,SIM0001,DEV0401,P0001,2025-04-06,2025-10-06,Y
LNK0002,PH0002,SIM0002,DEV0402,P0002,2025-10-22,2025-11-02,Y
LNK0003,PH0003,SIM0003,DEV0403,P0002,2025-01-21,2025-06-13,Y
LNK0004,PH0004,SIM0004,DEV0209,P0003,2025-03-24,2025-07-11,Y
LNK0005,PH0005,SIM0005,DEV0020,P0004,2026-04-28,2026-11-10,Y
LNK0006,PH0006,SIM0006,DEV0404,P0005,2026-04-05,2026-07-18,Y
LNK0007,PH0007,SIM0007,DEV0405,P0006,2025-07-09,2025-08-16,Y
LNK0008,PH0008,SIM0008,DEV0406,P0007,2025-08-02,2025-09-21,Y
LNK0009,PH0009,SIM0009,DEV0100,P0008,2025-02-06,2025-07-03,Y
LNK0010,PH0010,SIM0010,DEV0407,P0009,2025-08-31,2025-10-31,Y
LNK0011,PH0011,SIM0011,DEV0037,P0010,2025-06-11,2025-09-01,Y
LNK0012,PH0012,SIM0012,DEV0408,P0010,2025-09-22,2025-10-08,Y
LNK0013,PH0013,SIM0013,DEV0409,P0011,2025-07-11,2025-09-22,Y
LNK0014,PH0014,SIM0014,DEV0410,P0012,2025-09-13,2026-01-01,Y
LNK0015,PH0014,SIM0015,DEV0411,P0012,2025-01-25,2025-03-16,N
LNK0016,PH0015,SIM0016,DEV0412,P0012,2026-04-05,2026-07-01,Y
LNK0017,PH0016,SIM0017,DEV0285,P0013,2025-08-25,2025-08-28,Y
LNK0018,PH0016,SIM0018,DEV0044,P0013,2025-02-07,2025-02-20,N
LNK0019,PH0017,SIM0019,DEV0413,P0014,2025-09-05,2025-12-07,Y
LNK0020,PH0018,SIM0020,DEV0414,P0015,2025-05-13,2025-10-20,Y
LNK0021,PH0019,SIM0021,DEV0415,P0016,2025-09-27,2025-12-14,Y
LNK0022,PH0020,SIM0022,DEV0321,P0017,2026-04-12,2026-07-11,Y
LNK0023,PH0021,SIM0023,DEV0416,P0018,2025-04-22,2025-09-16,Y
LNK0024,PH0022,SIM0024,DEV0417,P0019,2025-11-29,2026-03-21,Y
LNK0025,PH0022,SIM0025,DEV0130,P0019,2025-09-19,2025-12-16,N
LNK0026,PH0023,SIM0026,DEV0418,P0020,2026-01-21,2026-08-08,Y
LNK0027,PH0024,SIM0027,DEV0327,P0021,2025-08-03,2025-09-29,Y
LNK0028,PH0025,SIM0028,DEV0419,P0022,2025-06-03,2025-12-12,Y
LNK0029,PH0025,SIM0029,DEV0420,P0022,2025-07-27,2025-12-06,N
LNK0030,PH0026,SIM0030,DEV0094,P0023,2025-04-08,2025-06-24,Y
LNK0031,PH0027,SIM0031,DEV0081,P0024,2026-04-24,2026-05-20,Y
LNK0032,PH0028,SIM0032,DEV0421,P0025,2025-02-03,2025-07-30,Y
LNK0033,PH0029,SIM0033,DEV0422,P0026,2025-08-04,2025-09-08,Y
