relationship_id,source_entity,target_entity,relationship_type,timestamp,source_record,confidence
REL0001,P0981,P0520,CALLS,2026-06-11T04:59:00,CDR,0.83
REL0002,P0520,P0536,CALLS,2026-06-11T04:59:00,CDR,0.84
REL0003,P0536,P0624,CALLS,2026-06-11T04:59:00,CDR,0.65
REL0004,P0624,P0144,CALLS,2026-06-11T04:59:00,CDR,0.94
REL0005,P0144,P0887,CALLS,2026-06-11T04:59:00,CDR,0.75
REL0006,P0887,P0607,CALLS,2026-06-11T04:59:00,CDR,0.66
REL0007,P0607,P0201,CALLS,2026-06-11T04:59:00,CDR,0.66
REL0008,P0201,P0914,CALLS,2026-06-11T04:59:00,CDR,0.92
REL0009,P0914,P0469,CALLS,2026-06-11T04:59:00,CDR,0.87
REL0010,P0469,P0163,CALLS,2026-06-11T04:59:00,CDR,0.55
REL0011,P0163,P0019,CALLS,2026-06-11T04:59:00,CDR,0.86
REL0012,P0019,P0635,CALLS,2026-06-11T04:59:00,CDR,0.66
REL0013,P0635,P0745,CALLS,2026-06-11T04:59:00,CDR,0.61
REL0014,P0745,P0107,CALLS,2026-06-11T04:59:00,CDR,0.68
REL0015,P0107,P0076,CALLS,2026-06-11T04:59:00,CDR,0.74
REL0016,P0076,P0270,CALLS,2026-06-11T04:59:00,CDR,0.54
REL0017,P0270,P0493,CALLS,2026-06-11T04:59:00,CDR,0.72
REL0018,P0493,P0824,CALLS,2026-06-11T04:59:00,CDR,0.54
REL0019,P0824,P0980,CALLS,2026-06-11T04:59:00,CDR,0.63
REL0020,P0980,P0013,CALLS,2026-06-11T04:59:00,CDR,0.89
REL0021,P0013,P0269,CALLS,2026-06-11T04:59:00,CDR,0.64
REL0022,P0269,P0867,CALLS,2026-06-11T04:59:00,CDR,0.54
REL0023,P0867,P0344,CALLS,2026-06-11T04:59:00,CDR,0.82
REL0024,P0344,P0172,CALLS,2026-06-11T04:59:00,CDR,0.86
REL0025,P0172,P0508,CALLS,2026-06-11T04:59:00,CDR,0.65
