sim_id,phone_id,imsi,operator,activation_date
SIM0001,PH0001,4051100000002,Airtel,2023-05-12
SIM0002,PH0002,4051100000003,BSNL,2024-05-18
SIM0003,PH0003,4051100000004,Vi,2022-07-18
SIM0004,PH0004,4051100000005,Vi,2023-08-11
SIM0005,PH0005,4051100000006,BSNL,2020-08-30
SIM0006,PH0006,4051100000007,Vi,2024-12-12
SIM0007,PH0007,4051100000008,Jio,2024-04-24
SIM0008,PH0008,4051100000009,BSNL,2021-03-02
SIM0009,PH0009,4051100000010,Jio,2025-02-22
SIM0010,PH0010,4051100000011,Vi,2025-02-01
SIM0011,PH0011,4051100000012,Airtel,2025-03-03
SIM0012,PH0012,4051100000013,Jio,2024-05-04
SIM0013,PH0013,4051100000014,Jio,2024-06-27
SIM0014,PH0014,4051100000015,Vi,2021-06-20
SIM0015,PH0014,4051100000016,Jio,2020-07-01
SIM0016,PH0015,4051100000017,Jio,2020-11-26
SIM0017,PH0016,4051100000018,BSNL,2021-11-06
SIM0018,PH0016,4051100000019,BSNL,2023-01-12
SIM0019,PH0017,4051100000020,Airtel,2021-08-03
SIM0020,PH0018,4051100000021,Jio,2025-01-05
SIM0021,PH0019,4051100000022,BSNL,2022-05-28
SIM0022,PH0020,4051100000023,Jio,2023-01-27
SIM0023,PH0021,4051100000024,Airtel,2023-10-06
SIM0024,PH0022,4051100000025,BSNL,2020-03-05
SIM0025,PH0022,4051100000026,Jio,2023-08-01
SIM0026,PH0023,4051100000027,Vi,2023-01-25
SIM0027,PH0024,4051100000028,BSNL,2025-02-09
SIM0028,PH0025,4051100000029,BSNL,2021-04-08
SIM0029,PH0025,4051100000030,Vi,2020-08-07
SIM0030,PH0026,4051100000031,Airtel,2023-07-31
SIM0031,PH0027,4051100000032,Jio,2025-01-21
SIM0032,PH0028,4051100000033,Airtel,2021-11-24
SIM0033,PH0029,4051100000034,Vi,2022-09-23
SIM0034,PH0030,4051100000035,Airtel,2024-02-09
SIM0035,PH0031,4051100000036,Airtel,2024-05-11
SIM0036,PH0032,4051100000037,Vi,2023-07-30
SIM0037,PH0033,4051100000038,Jio,2023-04-10
SIM0038,PH0034,4051100000039,Airtel,2024-05-25
SIM0039,PH0035,4051100000040,Jio,2025-01-10
SIM0040,PH0036,4051100000041,BSNL,2025-03-23
SIM0041,PH0037,4051100000042,Airtel,2020-07-07
SIM0042,PH0038,4051100000043,BSNL,2025-01-03
SIM0043,PH0039,4051100000044,Vi,2021-07-12
SIM0044,PH0040,4051100000045,BSNL,2023-05-13
SIM0045,PH0041,4051100000046,BSNL,2024-05-31
SIM0046,PH0042,4051100000047,Jio,2022-04-01
SIM0047,PH0043,4051100000048,Jio,2024-03-04
SIM0048,PH0044,4051100000049,Airtel,2024-02-08
SIM0049,PH0045,4051100000050,Airtel,2022-12-23
SIM0050,PH0046,4051100000051,BSNL,2020-10-08
SIM0051,PH0047,4051100000052,Airtel,2023-07-24
SIM0052,PH0048,4051100000053,Airtel,2022-02-25
SIM0053,PH0049,4051100000054,BSNL,2021-07-19
SIM0054,PH0050,4051100000055,BSNL,2025-02-05
SIM0055,PH0051,4051100000056,BSNL,2021-08-16
SIM0056,PH0052,4051100000057,Vi,2024-07-25
SIM0057,PH0053,4051100000058,Airtel,2022-08-16
SIM0058,PH0054,4051100000059,Jio,2023-06-29
SIM0059,PH0055,4051100000060,Airtel,2021-03-14
