transaction_id,case_id,timestamp,sender_account,receiver_account,amount,transaction_type,location,description
TX0001,CASE001,2026-06-08T04:59:00,ACC0358,ACC0361,150000,transfer,Ghaziabad,Fund transfer
TX0002,CASE001,2026-06-08T04:59:00,ACC0361,ACC0255,150000,transfer,Ghaziabad,Fund transfer
TX0003,CASE001,2026-06-06T04:59:00,ACC0255,ACC0088,235000,transfer,Ghaziabad,Fund transfer
TX0004,CASE001,2026-06-06T04:59:00,ACC0088,ACC0377,150000,transfer,Ghaziabad,Fund transfer
TX0005,CASE001,2026-05-20T04:59:00,ACC0321,ACC0616,10493,legitimate transfer,Delhi,Routine payment
TX0006,CASE001,2026-06-08T04:59:00,ACC0753,ACC0169,14561,legitimate transfer,Bengaluru,Routine payment
TX0007,CASE001,2026-05-22T04:59:00,ACC0721,ACC0436,12131,legitimate transfer,Kanpur,Routine payment
TX0008,CASE001,2026-05-30T04:59:00,ACC0315,ACC0068,17019,legitimate transfer,Ranchi,Routine payment
TX0009,CASE001,2026-05-26T04:59:00,ACC0326,ACC0752,2531,legitimate transfer,Faridabad,Routine payment
TX0010,CASE001,2026-06-04T04:59:00,ACC0420,ACC0555,18163,legitimate transfer,Ludhiana,Routine payment
TX0011,CASE001,2026-05-20T04:59:00,ACC0295,ACC0026,15219,legitimate transfer,Indore,Routine payment
TX0012,CASE001,2026-05-22T04:59:00,ACC0356,ACC0742,12304,legitimate transfer,Faridabad,Routine payment
TX0013,CASE001,2026-05-21T04:59:00,ACC0547,ACC0149,16503,legitimate transfer,Ranchi,Routine payment
TX0014,CASE001,2026-05-17T04:59:00,ACC0103,ACC0161,1691,legitimate transfer,Pune,Routine payment
TX0015,CASE001,2026-06-08T04:59:00,ACC0737,ACC0120,11783,legitimate transfer,Hyderabad,Routine payment
TX0016,CASE001,2026-06-11T04:59:00,ACC0377,ACC0696,11598,legitimate transfer,Dehradun,Routine payment
TX0017,CASE001,2026-05-28T04:59:00,ACC0724,ACC0582,10163,legitimate transfer,Ahmedabad,Routine payment
TX0018,CASE001,2026-06-01T04:59:00,ACC0570,ACC0577,13336,legitimate transfer,Gurugram,Routine payment
TX0019,CASE001,2026-06-01T04:59:00,ACC0237,ACC0117,9741,legitimate transfer,Chennai,Routine payment
TX0020,CASE001,2026-05-12T04:59:00,ACC0015,ACC0124,10546,legitimate transfer,Bhubaneswar,Routine payment
TX0021,CASE001,2026-05-31T04:59:00,ACC0539,ACC0057,17351,legitimate transfer,Indore,Routine payment
TX0022,CASE001,2026-06-10T04:59:00,ACC0613,ACC0577,8353,legitimate transfer,Amritsar,Routine payment
TX0023,CASE001,2026-06-09T04:59:00,ACC0198,ACC0366,18600,legitimate transfer,Bengaluru,Routine payment
TX0024,CASE001,2026-06-11T04:59:00,ACC0792,ACC0668,14733,legitimate transfer,Bengaluru,Routine payment
TX0025,CASE001,2026-06-09T04:59:00,ACC0661,ACC0472,1278,legitimate transfer,Haridwar,Routine payment
TX0026,CASE001,2026-05-31T04:59:00,ACC0391,ACC0427,2969,legitimate transfer,Surat,Routine payment
TX0027,CASE001,2026-06-11T04:59:00,ACC0324,ACC0768,14230,legitimate transfer,Agra,Routine payment
TX0028,CASE001,2026-05-31T04:59:00,ACC0590,ACC0206,8299,legitimate transfer,Bhopal,Routine payment
TX0029,CASE001,2026-06-02T04:59:00,ACC0685,ACC0364,14160,legitimate transfer,Hyderabad,Routine payment
TX0030,CASE001,2026-05-13T04:59:00,ACC0455,ACC0542,17493,legitimate transfer,Ludhiana,Routine payment
TX0031,CASE001,2026-06-09T04:59:00,ACC0264,ACC0542,12870,legitimate transfer,Mumbai,Routine payment
TX0032,CASE001,2026-06-02T04:59:00,ACC0602,ACC0361,2333,legitimate transfer,Mumbai,Routine payment
TX0033,CASE001,2026-05-29T04:59:00,ACC0395,ACC0251,16034,legitimate transfer,Hyderabad,Routine payment
TX0034,CASE001,2026-06-11T04:59:00,ACC0621,ACC0097,7250,legitimate transfer,Patna,Routine payment
TX0035,CASE001,2026-05-13T04:59:00,ACC0155,ACC0706,18668,legitimate transfer,Amritsar,Routine payment
TX0036,CASE001,2026-05-30T04:59:00,ACC0019,ACC0474,5579,legitimate transfer,Haridwar,Routine payment
TX0037,CASE001,2026-06-08T04:59:00,ACC0082,ACC0404,13328,legitimate transfer,Bengaluru,Routine payment
TX0038,CASE001,2026-06-04T04:59:00,ACC0307,ACC0094,7223,legitimate transfer,Pune,Routine payment
TX0039,CASE001,2026-05-23T04:59:00,ACC0383,ACC0443,5919,legitimate transfer,Dehradun,Routine payment
TX0040,CASE001,2026-05-26T04:59:00,ACC0165,ACC0769,18383,legitimate transfer,Bhubaneswar,Routine payment
TX0041,CASE001,2026-05-19T04:59:00,ACC0665,ACC0795,8221,legitimate transfer,Jaipur,Routine payment
TX0042,CASE001,2026-05-13T04:59:00,ACC0692,ACC0151,9963,legitimate transfer,Ghaziabad,Routine payment
TX0043,CASE001,2026-05-15T04:59:00,ACC0603,ACC0670,18095,legitimate transfer,Mumbai,Routine payment
TX0044,CASE001,2026-06-01T04:59:00,ACC0373,ACC0319,4039,legitimate transfer,Gurugram,Routine payment
TX0045,CASE001,2026-05-16T04:59:00,ACC0689,ACC0228,17472,legitimate transfer,Bhopal,Routine payment
TX0046,CASE001,2026-06-03T04:59:00,ACC0185,ACC0144,7728,legitimate transfer,Chandigarh,Routine payment
TX0047,CASE001,2026-05-25T04:59:00,ACC0730,ACC0151,8076,legitimate transfer,Ranchi,Routine payment
TX0048,CASE001,2026-05-31T04:59:00,ACC0065,ACC0018,9414,legitimate transfer,Ahmedabad,Routine payment
TX0049,CASE001,2026-06-03T04:59:00,ACC0369,ACC0028,4137,legitimate transfer,Indore,Routine payment
TX0050,CASE002,2026-04-19T23:17:00,ACC0504,ACC0428,82000,transfer,Amritsar,Fund transfer
TX0051,CASE002,2026-04-19T23:17:00,ACC0428,ACC0461,82000,transfer,Amritsar,Fund transfer
TX0052,CASE002,2026-04-10T23:17:00,ACC0232,ACC0710,18598,legitimate transfer,Patna,Routine payment
TX0053,CASE002,2026-04-11T23:17:00,ACC0747,ACC0234,6058,legitimate transfer,Kanpur,Routine payment
TX0054,CASE002,2026-04-14T23:17:00,ACC0312,ACC0130,10360,legitimate transfer,Kanpur,Routine payment
TX0055,CASE002,2026-03-27T23:17:00,ACC0592,ACC0540,10853,legitimate transfer,Chennai,Routine payment
TX0056,CASE002,2026-04-06T23:17:00,ACC0490,ACC0489,13280,legitimate transfer,Ahmedabad,Routine payment
TX0057,CASE002,2026-04-05T23:17:00,ACC0343,ACC0178,4640,legitimate transfer,Patna,Routine payment
TX0058,CASE002,2026-04-07T23:17:00,ACC0336,ACC0621,19768,legitimate transfer,Indore,Routine payment
TX0059,CASE002,2026-03-24T23:17:00,ACC0623,ACC0612,626,legitimate transfer,Indore,Routine payment
TX0060,CASE002,2026-04-02T23:17:00,ACC0682,ACC0412,4144,legitimate transfer,Dehradun,Routine payment
TX0061,CASE002,2026-04-16T23:17:00,ACC0682,ACC0007,17457,legitimate transfer,Ghaziabad,Routine payment
TX0062,CASE002,2026-03-24T23:17:00,ACC0546,ACC0748,5238,legitimate transfer,Lucknow,Routine payment
TX0063,CASE002,2026-04-04T23:17:00,ACC0338,ACC0116,2210,legitimate transfer,Faridabad,Routine payment
TX0064,CASE002,2026-04-10T23:17:00,ACC0479,ACC0475,8078,legitimate transfer,Surat,Routine payment
TX0065,CASE002,2026-03-23T23:17:00,ACC0434,ACC0737,19512,legitimate transfer,Lucknow,Routine payment
TX0066,CASE002,2026-04-08T23:17:00,ACC0186,ACC0602,5089,legitimate transfer,Delhi,Routine payment
TX0067,CASE002,2026-04-12T23:17:00,ACC0413,ACC0296,17346,legitimate transfer,Surat,Routine payment
TX0068,CASE002,2026-03-28T23:17:00,ACC0734,ACC0002,11116,legitimate transfer,Bhopal,Routine payment
TX0069,CASE002,2026-04-14T23:17:00,ACC0422,ACC0297,18636,legitimate transfer,Ludhiana,Routine payment
TX0070,CASE002,2026-04-16T23:17:00,ACC0780,ACC0384,8200,legitimate transfer,Kolkata,Routine payment
TX0071,CASE002,2026-04-21T23:17:00,ACC0504,ACC0314,15374,legitimate transfer,Dehradun,Routine payment
TX0072,CASE002,2026-04-08T23:17:00,ACC0666,ACC0797,10243,legitimate transfer,Bhubaneswar,Routine payment
TX0073,CASE002,2026-04-22T23:17:00,ACC0288,ACC0386,11243,legitimate transfer,Pune,Routine payment
TX0074,CASE002,2026-04-06T23:17:00,ACC0422,ACC0367,14598,legitimate transfer,Chennai,Routine payment
TX0075,CASE002,2026-03-31T23:17:00,ACC0478,ACC0516,7394,legitimate transfer,Ludhiana,Routine payment
TX0076,CASE002,2026-03-23T23:17:00,ACC0699,ACC0467,4766,legitimate transfer,Dehradun,Routine payment
TX0077,CASE002,2026-04-22T23:17:00,ACC0664,ACC0295,6789,legitimate transfer,Faridabad,Routine payment
TX0078,CASE002,2026-03-28T23:17:00,ACC0587,ACC0672,8042,legitimate transfer,Chandigarh,Routine payment
TX0079,CASE002,2026-04-18T23:17:00,ACC0354,ACC0643,13320,legitimate transfer,Faridabad,Routine payment
TX0080,CASE002,2026-04-04T23:17:00,ACC0683,ACC0035,19148,legitimate transfer,Jaipur,Routine payment
TX0081,CASE002,2026-04-08T23:17:00,ACC0066,ACC0391,5146,legitimate transfer,Patna,Routine payment
TX0082,CASE002,2026-04-17T23:17:00,ACC0085,ACC0086,5856,legitimate transfer,Bengaluru,Routine payment
TX0083,CASE002,2026-04-09T23:17:00,ACC0601,ACC0588,18001,legitimate transfer,Kolkata,Routine payment
TX0084,CASE002,2026-03-23T23:17:00,ACC0775,ACC0058,4870,legitimate transfer,Agra,Routine payment
TX0085,CASE002,2026-04-02T23:17:00,ACC0258,ACC0398,1527,legitimate transfer,Surat,Routine payment
TX0086,CASE002,2026-04-14T23:17:00,ACC0376,ACC0330,1543,legitimate transfer,Chandigarh,Routine payment
TX0087,CASE002,2026-04-11T23:17:00,ACC0147,ACC0382,19818,legitimate transfer,Chennai,Routine payment
TX0088,CASE002,2026-04-06T23:17:00,ACC0715,ACC0117,13303,legitimate transfer,Kanpur,Routine payment
TX0089,CASE002,2026-04-16T23:17:00,ACC0744,ACC0471,8325,legitimate transfer,Ranchi,Routine payment
TX0090,CASE002,2026-03-23T23:17:00,ACC0385,ACC0286,1652,legitimate transfer,Lucknow,Routine payment
TX0091,CASE002,2026-03-26T23:17:00,ACC0502,ACC0798,10067,legitimate transfer,Pune,Routine payment
TX0092,CASE002,2026-04-11T23:17:00,ACC0765,ACC0301,4658,legitimate transfer,Pune,Routine payment
TX0093,CASE002,2026-04-08T23:17:00,ACC0684,ACC0676,15693,legitimate transfer,Bhopal,Routine payment
TX0094,CASE002,2026-04-03T23:17:00,ACC0168,ACC0567,19763,legitimate transfer,Haridwar,Routine payment
TX0095,CASE002,2026-04-11T23:17:00,ACC0358,ACC0616,19043,legitimate transfer,Delhi,Routine payment
TX0096,CASE002,2026-04-02T23:17:00,ACC0366,ACC0057,7867,legitimate transfer,Haridwar,Routine payment
TX0097,CASE003,2026-01-06T06:29:00,ACC0049,ACC0032,150000,transfer,Ranchi,Fund transfer
TX0098,CASE003,2026-01-05T06:29:00,ACC0032,ACC0769,235000,transfer,Ranchi,Fund transfer
TX0099,CASE003,2026-01-09T06:29:00,ACC0590,ACC0344,19034,legitimate transfer,Mumbai,Routine payment
TX0100,CASE003,2026-01-02T06:29:00,ACC0122,ACC0218,9310,legitimate transfer,Amritsar,Routine payment
TX0101,CASE003,2025-12-10T06:29:00,ACC0603,ACC0066,1528,legitimate transfer,Ghaziabad,Routine payment
TX0102,CASE003,2026-01-01T06:29:00,ACC0578,ACC0374,5354,legitimate transfer,Ludhiana,Routine payment
TX0103,CASE003,2025-12-22T06:29:00,ACC0328,ACC0354,1201,legitimate transfer,Bhopal,Routine payment
TX0104,CASE003,2026-01-05T06:29:00,ACC0549,ACC0027,7083,legitimate transfer,Amritsar,Routine payment
TX0105,CASE003,2026-01-04T06:29:00,ACC0324,ACC0607,1207,legitimate transfer,Surat,Routine payment
TX0106,CASE003,2025-12-28T06:29:00,ACC0109,ACC0786,17694,legitimate transfer,Haridwar,Routine payment
TX0107,CASE003,2025-12-31T06:29:00,ACC0143,ACC0463,6514,legitimate transfer,Kanpur,Routine payment
TX0108,CASE003,2025-12-13T06:29:00,ACC0127,ACC0411,1433,legitimate transfer,Kanpur,Routine payment
TX0109,CASE003,2025-12-17T06:29:00,ACC0089,ACC0211,2722,legitimate transfer,Indore,Routine payment
TX0110,CASE003,2025-12-23T06:29:00,ACC0640,ACC0735,15251,legitimate transfer,Ranchi,Routine payment
TX0111,CASE003,2025-12-21T06:29:00,ACC0775,ACC0380,18953,legitimate transfer,Ludhiana,Routine payment
TX0112,CASE003,2025-12-14T06:29:00,ACC0584,ACC0160,18829,legitimate transfer,Mumbai,Routine payment
TX0113,CASE003,2026-01-03T06:29:00,ACC0077,ACC0138,17820,legitimate transfer,Kolkata,Routine payment
TX0114,CASE003,2025-12-12T06:29:00,ACC0109,ACC0327,18308,legitimate transfer,Haridwar,Routine payment
TX0115,CASE003,2025-12-28T06:29:00,ACC0393,ACC0786,5492,legitimate transfer,Faridabad,Routine payment
TX0116,CASE003,2025-12-26T06:29:00,ACC0377,ACC0584,12625,legitimate transfer,Ghaziabad,Routine payment
TX0117,CASE003,2025-12-18T06:29:00,ACC0469,ACC0548,16833,legitimate transfer,Noida,Routine payment
TX0118,CASE003,2025-12-22T06:29:00,ACC0443,ACC0068,3221,legitimate transfer,Pune,Routine payment
TX0119,CASE003,2026-01-09T06:29:00,ACC0319,ACC0238,9821,legitimate transfer,Kanpur,Routine payment
TX0120,CASE003,2026-01-05T06:29:00,ACC0662,ACC0254,11968,legitimate transfer,Gurugram,Routine payment
TX0121,CASE003,2025-12-26T06:29:00,ACC0539,ACC0743,3475,legitimate transfer,Gurugram,Routine payment
TX0122,CASE003,2025-12-14T06:29:00,ACC0797,ACC0594,10212,legitimate transfer,Kolkata,Routine payment
TX0123,CASE003,2025-12-16T06:29:00,ACC0224,ACC0134,908,legitimate transfer,Chandigarh,Routine payment
TX0124,CASE003,2026-01-04T06:29:00,ACC0700,ACC0788,3723,legitimate transfer,Bhubaneswar,Routine payment
TX0125,CASE003,2025-12-18T06:29:00,ACC0311,ACC0463,11577,legitimate transfer,Agra,Routine payment
TX0126,CASE003,2025-12-28T06:29:00,ACC0537,ACC0526,16826,legitimate transfer,Lucknow,Routine payment
TX0127,CASE003,2025-12-29T06:29:00,ACC0033,ACC0231,17934,legitimate transfer,Faridabad,Routine payment
TX0128,CASE003,2025-12-29T06:29:00,ACC0789,ACC0418,4933,legitimate transfer,Agra,Routine payment
TX0129,CASE003,2025-12-13T06:29:00,ACC0681,ACC0266,17392,legitimate transfer,Ghaziabad,Routine payment
TX0130,CASE003,2025-12-15T06:29:00,ACC0131,ACC0506,14032,legitimate transfer,Jaipur,Routine payment
TX0131,CASE003,2025-12-21T06:29:00,ACC0692,ACC0303,19107,legitimate transfer,Noida,Routine payment
TX0132,CASE003,2026-01-03T06:29:00,ACC0180,ACC0408,2194,legitimate transfer,Amritsar,Routine payment
TX0133,CASE003,2025-12-19T06:29:00,ACC0773,ACC0466,10216,legitimate transfer,Pune,Routine payment
TX0134,CASE003,2025-12-14T06:29:00,ACC0546,ACC0501,19219,legitimate transfer,Bhubaneswar,Routine payment
TX0135,CASE003,2025-12-18T06:29:00,ACC0438,ACC0669,7308,legitimate transfer,Bengaluru,Routine payment
