transaction_id,case_id,timestamp,sender_account,receiver_account,amount,transaction_type,location,description
TX4785,CASE001,2025-11-25T20:00:00,ACC0361,ACC0358,48000,transfer,N/A,Fan-in consolidation transfer
TX4786,CASE001,2025-11-25T22:00:00,ACC0255,ACC0358,45000,transfer,N/A,Fan-in consolidation transfer
TX4787,CASE001,2025-11-23T14:00:00,ACC0088,ACC0358,49500,transfer,N/A,Fan-in consolidation transfer
TX4788,CASE001,2025-11-24T15:00:00,ACC0377,ACC0358,52000,transfer,N/A,Fan-in consolidation transfer
TX4789,CASE001,2025-11-25T00:00:00,ACC0702,ACC0358,45000,transfer,N/A,Fan-in consolidation transfer
TX4790,CASE002,2025-11-15T07:00:00,ACC0504,ACC0428,35000,transfer,N/A,Fan-out distribution transfer
TX4791,CASE002,2025-11-15T20:00:00,ACC0504,ACC0461,35000,transfer,N/A,Fan-out distribution transfer
TX4792,CASE002,2025-11-15T05:00:00,ACC0504,ACC0402,40000,transfer,N/A,Fan-out distribution transfer
TX4793,CASE002,2025-11-13T18:00:00,ACC0504,ACC0264,30000,transfer,N/A,Fan-out distribution transfer
TX4794,CASE002,2025-11-15T21:00:00,ACC0504,ACC0454,40000,transfer,N/A,Fan-out distribution transfer
TX4795,CASE003,2026-03-03T00:00:00,ACC0049,ACC0032,439980,transfer,N/A,Layering pass-through transfer
TX4796,CASE003,2026-03-03T06:00:00,ACC0032,ACC0769,394034,transfer,N/A,Layering pass-through transfer
TX4797,CASE003,2026-03-03T12:00:00,ACC0769,ACC0082,358001,transfer,N/A,Layering pass-through transfer
TX4798,CASE003,2026-03-03T18:00:00,ACC0082,ACC0401,328007,transfer,N/A,Layering pass-through transfer
TX4799,CASE003,2026-03-04T00:00:00,ACC0401,ACC0121,300925,transfer,N/A,Layering pass-through transfer
TX4800,CASE004,2025-07-28T00:00:00,ACC0736,ACC0367,200000,transfer,N/A,Circular flow transfer
TX4801,CASE004,2025-07-28T10:00:00,ACC0367,ACC0103,200000,transfer,N/A,Circular flow transfer
TX4802,CASE004,2025-07-28T20:00:00,ACC0103,ACC0576,200000,transfer,N/A,Circular flow transfer
TX4803,CASE004,2025-07-29T06:00:00,ACC0576,ACC0736,200000,transfer,N/A,Circular flow transfer
TX4804,CASE005,2024-09-16T00:00:00,ACC0391,ACC0391,2000,transfer,N/A,Pre-dormancy activity
TX4805,CASE005,2025-06-23T00:00:00,ACC0391,ACC0683,278722,transfer,N/A,Post-dormancy burst activity
TX4806,CASE005,2025-06-23T03:00:00,ACC0391,ACC0490,229438,transfer,N/A,Post-dormancy burst activity
TX4807,CASE005,2025-06-23T06:00:00,ACC0391,ACC0724,129541,transfer,N/A,Post-dormancy burst activity
TX4808,CASE005,2025-06-23T09:00:00,ACC0391,ACC0683,244116,transfer,N/A,Post-dormancy burst activity
TX4809,CASE005,2025-06-23T12:00:00,ACC0391,ACC0760,138638,transfer,N/A,Post-dormancy burst activity
TX4810,CASE005,2025-06-23T15:00:00,ACC0391,ACC0683,152226,transfer,N/A,Post-dormancy burst activity
TX4811,CASE006,2026-07-02T09:00:00,ACC0257,ACC0288,45290,transfer,N/A,Sub-threshold structured transfer
TX4812,CASE006,2026-07-02T04:00:00,ACC0257,ACC0288,49612,transfer,N/A,Sub-threshold structured transfer
TX4813,CASE006,2026-07-02T03:00:00,ACC0257,ACC0288,49593,transfer,N/A,Sub-threshold structured transfer
TX4814,CASE006,2026-07-02T04:00:00,ACC0257,ACC0288,48845,transfer,N/A,Sub-threshold structured transfer
TX4815,CASE006,2026-07-02T09:00:00,ACC0257,ACC0288,49403,transfer,N/A,Sub-threshold structured transfer
TX4816,CASE007,2025-06-14T21:00:00,ACC0291,ACC0730,48000,transfer,N/A,Fan-in consolidation transfer
TX4817,CASE007,2025-06-14T14:00:00,ACC0746,ACC0730,52000,transfer,N/A,Fan-in consolidation transfer
TX4818,CASE007,2025-06-16T15:00:00,ACC0079,ACC0730,52000,transfer,N/A,Fan-in consolidation transfer
TX4819,CASE007,2025-06-14T09:00:00,ACC0121,ACC0730,49500,transfer,N/A,Fan-in consolidation transfer
TX4820,CASE007,2025-06-15T13:00:00,ACC0511,ACC0730,52000,transfer,N/A,Fan-in consolidation transfer
TX4821,CASE008,2026-01-28T22:00:00,ACC0232,ACC0563,35000,transfer,N/A,Fan-out distribution transfer
TX4822,CASE008,2026-01-28T12:00:00,ACC0232,ACC0152,35000,transfer,N/A,Fan-out distribution transfer
TX4823,CASE008,2026-01-28T15:00:00,ACC0232,ACC0422,35000,transfer,N/A,Fan-out distribution transfer
TX4824,CASE008,2026-01-29T13:00:00,ACC0232,ACC0724,30000,transfer,N/A,Fan-out distribution transfer
TX4825,CASE008,2026-01-29T08:00:00,ACC0232,ACC0012,40000,transfer,N/A,Fan-out distribution transfer
TX4826,CASE009,2025-11-11T00:00:00,ACC0194,ACC0521,459306,transfer,N/A,Layering pass-through transfer
TX4827,CASE009,2025-11-11T06:00:00,ACC0521,ACC0217,431874,transfer,N/A,Layering pass-through transfer
TX4828,CASE009,2025-11-11T12:00:00,ACC0217,ACC0620,389711,transfer,N/A,Layering pass-through transfer
TX4829,CASE009,2025-11-11T18:00:00,ACC0620,ACC0714,333654,transfer,N/A,Layering pass-through transfer
TX4830,CASE009,2025-11-12T00:00:00,ACC0714,ACC0776,304648,transfer,N/A,Layering pass-through transfer
TX4831,CASE010,2025-06-10T00:00:00,ACC0196,ACC0164,200000,transfer,N/A,Circular flow transfer
TX4832,CASE010,2025-06-10T10:00:00,ACC0164,ACC0599,200000,transfer,N/A,Circular flow transfer
TX4833,CASE010,2025-06-10T20:00:00,ACC0599,ACC0549,200000,transfer,N/A,Circular flow transfer
TX4834,CASE010,2025-06-11T06:00:00,ACC0549,ACC0196,200000,transfer,N/A,Circular flow transfer
TX4835,CASE011,2025-09-07T00:00:00,ACC0760,ACC0545,2000,transfer,N/A,Pre-dormancy activity
