vehicle_id,registration_id,vehicle_type,make,model,color,owner_person_id,registration_city
VEH0001,CH-48-VF-0001,Motorcycle,Bajaj,Platina,Black,P0203,Chennai
VEH0002,BH-28-UC-0002,SUV,Tata,Nexon,Black,P0703,Bhubaneswar
VEH0003,HY-34-RI-0003,Car,Hyundai,i20,Grey,P0781,Hyderabad
VEH0004,DE-54-DD-0004,Motorcycle,Royal Enfield,Bullet,Red,P0310,Delhi
VEH0005,AG-22-NF-0005,Pickup Truck,Tata,Nexon,Grey,P0426,Agra
VEH0006,HA-60-YR-0006,Van,Force,Traveller,White,P0563,Haridwar
VEH0007,AG-81-KV-0007,Motorcycle,Hero,Passion,Grey,P0774,Agra
VEH0008,NO-58-JA-0008,Car,Tata,Nexon,Red,P0711,Noida
VEH0009,FA-59-DE-0009,Car,Honda,Amaze,Grey,P0332,Faridabad
VEH0010,PU-73-CY-0010,SUV,Mahindra,Scorpio,Red,P0150,Pune
VEH0011,NO-81-CP-0011,Motorcycle,Royal Enfield,Bullet,Red,P0075,Noida
VEH0012,FA-30-UY-0012,Motorcycle,Hero,Passion,Silver,P0608,Faridabad
VEH0013,LU-89-OR-0013,Motorcycle,Bajaj,Pulsar,Grey,P0557,Ludhiana
VEH0014,GU-69-EX-0014,SUV,Tata,Ace,Silver,P0651,Gurugram
VEH0015,KO-18-AJ-0015,Car,Honda,City,White,P0860,Kolkata
VEH0016,CH-22-EG-0016,Car,Hyundai,i20,White,P0848,Chandigarh
VEH0017,JA-76-SV-0017,Car,Honda,Amaze,Blue,P0127,Jaipur
VEH0018,KO-69-SE-0018,Motorcycle,Royal Enfield,Classic 350,Silver,P0890,Kolkata
VEH0019,GH-99-DO-0019,Pickup Truck,Mahindra,Scorpio,Grey,P0699,Ghaziabad
VEH0020,AH-98-YU-0020,SUV,Mahindra,Scorpio,Silver,P0181,Ahmedabad
VEH0021,DE-58-LW-0021,Pickup Truck,Tata,Ace,White,P0465,Delhi
VEH0022,AG-52-CH-0022,Motorcycle,Royal Enfield,Bullet,White,P0926,Agra
VEH0023,GH-41-DE-0023,Car,Tata,Tiago,White,P0497,Ghaziabad
VEH0024,NO-16-WF-0024,Van,Maruti Suzuki,Dzire,Red,P0641,Noida
VEH0025,KA-30-DZ-0025,SUV,Tata,Ace,White,P0634,Kanpur
VEH0026,GH-50-DE-0026,Van,Maruti Suzuki,Dzire,Red,P0561,Ghaziabad
VEH0027,HA-92-PB-0027,Motorcycle,Royal Enfield,Bullet,White,P0706,Haridwar
VEH0028,KA-78-VP-0028,Car,Hyundai,i20,White,P0694,Kanpur
VEH0029,HY-34-TK-0029,Car,Honda,Amaze,Black,P0212,Hyderabad
VEH0030,RA-14-GH-0030,Van,Maruti Suzuki,Swift,Blue,P0666,Ranchi
VEH0031,RA-43-PO-0031,Motorcycle,Hero,Splendor,Grey,P0595,Ranchi
VEH0032,DE-53-WN-0032,Pickup Truck,Tata,Tiago,White,P0190,Dehradun
VEH0033,AH-99-GC-0033,SUV,Toyota,Fortuner,Red,P0964,Ahmedabad
VEH0034,KO-88-BH-0034,Motorcycle,Royal Enfield,Classic 350,Grey,P0680,Kolkata
VEH0035,KA-12-UK-0035,Pickup Truck,Tata,Ace,Grey,P0901,Kanpur
VEH0036,PU-60-PZ-0036,Motorcycle,Hero,Passion,Blue,P0736,Pune
VEH0037,LU-27-MF-0037,Car,Hyundai,Creta,Black,P0113,Ludhiana
VEH0038,BH-58-RJ-0038,Pickup Truck,Tata,Ace,Black,P0242,Bhopal
VEH0039,BH-57-FE-0039,Motorcycle,Royal Enfield,Bullet,Red,P0618,Bhubaneswar
VEH0040,AG-58-EG-0040,Pickup Truck,Tata,Tiago,White,P0030,Agra
VEH0041,DE-49-YZ-0041,SUV,Toyota,Fortuner,Black,P0963,Dehradun
VEH0042,AG-67-NN-0042,Van,Force,Traveller,Black,P0346,Agra
VEH0043,PA-46-IK-0043,SUV,Mahindra,Bolero,Red,P0877,Patna
VEH0044,GU-29-TD-0044,Motorcycle,Bajaj,Pulsar,Silver,P0974,Gurugram
VEH0045,BE-45-WN-0045,Motorcycle,Hero,Passion,Silver,P0752,Bengaluru
VEH0046,AH-74-IL-0046,SUV,Toyota,Innova,Black,P0542,Ahmedabad
VEH0047,LU-79-DX-0047,Car,Honda,City,Blue,P0728,Lucknow
VEH0048,GU-69-GD-0048,Motorcycle,Hero,Splendor,Red,P0143,Gurugram
VEH0049,BH-37-DO-0049,Pickup Truck,Ashok Leyland,Dost,Blue,P0304,Bhubaneswar
VEH0050,BH-45-CD-0050,Van,Maruti Suzuki,Swift,Blue,P0249,Bhopal
VEH0051,GU-44-DH-0051,Car,Honda,Amaze,Red,P0818,Gurugram
VEH0052,NO-53-OV-0052,Motorcycle,Hero,Passion,Silver,P0278,Noida
VEH0053,BE-31-FH-0053,Pickup Truck,Mahindra,XUV500,Grey,P0133,Bengaluru
VEH0054,CH-17-NB-0054,Van,Maruti Suzuki,Swift,Black,P0294,Chandigarh
VEH0055,KA-10-VU-0055,Car,Maruti Suzuki,Ertiga,Grey,P0486,Kanpur
VEH0056,LU-35-YL-0056,Van,Tata,Nexon,Grey,P0060,Ludhiana
VEH0057,HA-46-SZ-0057,Van,Tata,Ace,Blue,P0233,Haridwar
VEH0058,DE-11-CE-0058,Car,Honda,Amaze,Black,P0502,Dehradun
VEH0059,JA-38-AV-0059,SUV,Toyota,Fortuner,Red,P0415,Jaipur
VEH0060,IN-69-IG-0060,Pickup Truck,Mahindra,Bolero,Red,P0482,Indore
VEH0061,BE-19-LV-0061,SUV,Toyota,Fortuner,Black,P0889,Bengaluru
VEH0062,NO-52-NK-0062,Pickup Truck,Ashok Leyland,Dost,Blue,P0207,Noida
VEH0063,AG-41-FW-0063,Car,Hyundai,i20,Silver,P0338,Agra
VEH0064,RA-20-TO-0064,Car,Honda,City,Silver,P0918,Ranchi
VEH0065,LU-18-YU-0065,Van,Tata,Tiago,Red,P0934,Ludhiana
VEH0066,KA-15-QG-0066,Car,Honda,Amaze,Red,P0132,Kanpur
VEH0067,AH-40-ZD-0067,Van,Tata,Ace,Grey,P0422,Ahmedabad
VEH0068,PU-77-JM-0068,Van,Force,Traveller,White,P0142,Pune
VEH0069,CH-86-KW-0069,Van,Tata,Tiago,Black,P0923,Chennai
VEH0070,BH-84-KP-0070,SUV,Mahindra,Scorpio,Grey,P0725,Bhopal
VEH0071,LU-74-VF-0071,SUV,Toyota,Innova,Silver,P0527,Lucknow
VEH0072,PA-12-CY-0072,Pickup Truck,Ashok Leyland,Dost,Red,P0600,Patna
VEH0073,MU-46-QL-0073,Van,Force,Traveller,Silver,P0276,Mumbai
VEH0074,GH-35-PI-0074,Motorcycle,Royal Enfield,Classic 350,Blue,P0804,Ghaziabad
VEH0075,RA-66-BH-0075,Car,Honda,City,Grey,P0741,Ranchi
VEH0076,LU-80-HK-0076,Van,Tata,Tiago,Silver,P0780,Ludhiana
VEH0077,GH-65-JY-0077,Pickup Truck,Ashok Leyland,Dost,Blue,P0159,Ghaziabad
VEH0078,HA-31-VS-0078,Motorcycle,Hero,Passion,Black,P0110,Haridwar
VEH0079,NO-28-FL-0079,Pickup Truck,Ashok Leyland,Dost,Silver,P0336,Noida
VEH0080,GH-45-AM-0080,Car,Honda,Amaze,Grey,P0969,Ghaziabad
VEH0081,GH-36-KH-0081,Motorcycle,Bajaj,Pulsar,Grey,P0521,Ghaziabad
VEH0082,KO-32-ED-0082,SUV,Tata,Tiago,Red,P0254,Kolkata
VEH0083,KO-88-BW-0083,Van,Tata,Tiago,Red,P0386,Kolkata
VEH0084,SU-31-ZI-0084,Car,Honda,City,Blue,P0200,Surat
VEH0085,KO-39-BT-0085,Van,Maruti Suzuki,Ertiga,Grey,P0507,Kolkata
VEH0086,AH-86-AY-0086,Pickup Truck,Mahindra,XUV500,Black,P0101,Ahmedabad
VEH0087,KA-79-DV-0087,Pickup Truck,Mahindra,Scorpio,Black,P0624,Kanpur
VEH0088,DE-22-PV-0088,Car,Maruti Suzuki,Swift,Grey,P0710,Delhi
VEH0089,NO-21-DR-0089,Motorcycle,Bajaj,Pulsar,Blue,P0137,Noida
VEH0090,BH-86-IH-0090,Motorcycle,Bajaj,Pulsar,Black,P0712,Bhubaneswar
VEH0091,AG-98-VY-0091,Car,Hyundai,i20,Silver,P0289,Agra
