case_id,anomaly_id,anomaly_type
CASE001,TX0001,financial_chain
CASE001,TX0002,financial_chain
CASE001,TX0003,financial_chain
CASE001,TX0004,financial_chain
CASE001,CASE001-LE0001,co_location
CASE001,CASE001-LE0002,co_location
CASE002,TX0050,financial_chain
CASE002,TX0051,financial_chain
CASE002,CASE002-LE0006,co_location
CASE002,CASE002-LE0007,co_location
CASE003,TX0097,financial_chain
CASE003,TX0098,financial_chain
CASE003,CASE003-LE0011,co_location
CASE003,CASE003-LE0012,co_location
CASE004,TX0144,financial_chain
CASE004,TX0145,financial_chain
CASE004,CASE004-LE0016,co_location
CASE004,CASE004-LE0017,co_location
CASE005,TX0191,financial_chain
CASE005,TX0192,financial_chain
CASE005,CASE005-LE0021,co_location
CASE005,CASE005-LE0022,co_location
CASE006,TX0238,financial_chain
CASE006,TX0239,financial_chain
CASE006,CASE006-LE0026,co_location
CASE006,CASE006-LE0027,co_location
CASE007,TX0285,financial_chain
CASE007,TX0286,financial_chain
CASE007,TX0287,financial_chain
CASE007,CASE007-LE0031,co_location
CASE007,CASE007-LE0032,co_location
CASE007,CASE007-LE0033,co_location
CASE008,TX0333,financial_chain
CASE008,TX0334,financial_chain
CASE008,TX0335,financial_chain
CASE008,CASE008-LE0037,co_location
CASE008,CASE008-LE0038,co_location
CASE009,TX0381,financial_chain
CASE009,TX0382,financial_chain
CASE009,CASE009-LE0042,co_location
CASE009,CASE009-LE0043,co_location
CASE010,TX0428,financial_chain
CASE010,TX0429,financial_chain
CASE010,TX0430,financial_chain
CASE010,TX0431,financial_chain
CASE010,CASE010-LE0047,co_location
CASE010,CASE010-LE0048,co_location
CASE011,TX0477,financial_chain
CASE011,TX0478,financial_chain
CASE011,TX0479,financial_chain
CASE011,CASE011-LE0052,co_location
CASE011,CASE011-LE0053,co_location
CASE012,TX0525,financial_chain
CASE012,TX0526,financial_chain
CASE012,TX0527,financial_chain
CASE012,CASE012-LE0057,co_location
CASE012,CASE012-LE0058,co_location
CASE013,TX0573,financial_chain
CASE013,TX0574,financial_chain
CASE013,CASE013-LE0062,co_location
CASE013,CASE013-LE0063,co_location
CASE014,TX0620,financial_chain
CASE014,TX0621,financial_chain
CASE014,TX0622,financial_chain
CASE014,CASE014-LE0067,co_location
CASE014,CASE014-LE0068,co_location
CASE015,TX0668,financial_chain
CASE015,TX0669,financial_chain
CASE015,CASE015-LE0072,co_location
CASE015,CASE015-LE0073,co_location
CASE016,TX0715,financial_chain
CASE016,TX0716,financial_chain
CASE016,TX0717,financial_chain
CASE016,CASE016-LE0077,co_location
CASE016,CASE016-LE0078,co_location
CASE017,TX0763,financial_chain
CASE017,TX0764,financial_chain
CASE017,TX0765,financial_chain
CASE017,CASE017-LE0082,co_location
CASE017,CASE017-LE0083,co_location
CASE018,TX0811,financial_chain
CASE018,TX0812,financial_chain
CASE018,TX0813,financial_chain
CASE018,CASE018-LE0087,co_location
CASE018,CASE018-LE0088,co_location
CASE019,TX0859,financial_chain
CASE019,TX0860,financial_chain
CASE019,CASE019-LE0092,co_location
CASE019,CASE019-LE0093,co_location
CASE019,CASE019-LE0094,co_location
CASE020,TX0906,financial_chain
CASE020,TX0907,financial_chain
CASE020,TX0908,financial_chain
CASE020,CASE020-LE0098,co_location
CASE020,CASE020-LE0099,co_location
CASE021,TX0954,financial_chain
CASE021,TX0955,financial_chain
CASE021,TX0956,financial_chain
CASE021,CASE021-LE0103,co_location
CASE021,CASE021-LE0104,co_location
CASE022,TX1002,financial_chain
CASE022,TX1003,financial_chain
CASE022,TX1004,financial_chain
CASE022,CASE022-LE0108,co_location
CASE022,CASE022-LE0109,co_location
CASE023,TX1050,financial_chain
CASE023,TX1051,financial_chain
CASE023,TX1052,financial_chain
CASE023,TX1053,financial_chain
CASE023,CASE023-LE0113,co_location
CASE023,CASE023-LE0114,co_location
CASE024,TX1099,financial_chain
CASE024,TX1100,financial_chain
CASE024,CASE024-LE0118,co_location
CASE024,CASE024-LE0119,co_location
CASE025,TX1146,financial_chain
CASE025,TX1147,financial_chain
CASE025,CASE025-LE0123,co_location
CASE025,CASE025-LE0124,co_location
CASE025,CASE025-LE0125,co_location
CASE026,TX1193,financial_chain
CASE026,TX1194,financial_chain
CASE026,TX1195,financial_chain
CASE026,CASE026-LE0129,co_location
CASE026,CASE026-LE0130,co_location
CASE026,CASE026-LE0131,co_location
CASE027,TX1241,financial_chain
CASE027,CASE027-LE0135,co_location
CASE027,CASE027-LE0136,co_location
CASE027,CASE027-LE0137,co_location
CASE028,TX1287,financial_chain
CASE028,TX1288,financial_chain
CASE028,TX1289,financial_chain
CASE028,TX1290,financial_chain
CASE028,CASE028-LE0141,co_location
CASE028,CASE028-LE0142,co_location
CASE029,TX1336,financial_chain
CASE029,TX1337,financial_chain
CASE029,TX1338,financial_chain
CASE029,CASE029-LE0146,co_location
CASE029,CASE029-LE0147,co_location
CASE030,TX1384,financial_chain
CASE030,TX1385,financial_chain
CASE030,TX1386,financial_chain
CASE030,CASE030-LE0151,co_location
CASE030,CASE030-LE0152,co_location
CASE031,TX1432,financial_chain
CASE031,TX1433,financial_chain
CASE031,CASE031-LE0156,co_location
CASE031,CASE031-LE0157,co_location
CASE032,TX1479,financial_chain
CASE032,TX1480,financial_chain
CASE032,CASE032-LE0161,co_location
CASE032,CASE032-LE0162,co_location
CASE033,TX1526,financial_chain
CASE033,TX1527,financial_chain
CASE033,CASE033-LE0166,co_location
CASE033,CASE033-LE0167,co_location
CASE033,CASE033-LE0168,co_location
CASE034,CASE034-LE0172,co_location
CASE034,CASE034-LE0173,co_location
CASE035,TX1618,financial_chain
CASE035,TX1619,financial_chain
CASE035,CASE035-LE0177,co_location
CASE035,CASE035-LE0178,co_location
CASE036,TX1665,financial_chain
CASE036,TX1666,financial_chain
CASE036,TX1667,financial_chain
CASE036,CASE036-LE0182,co_location
CASE036,CASE036-LE0183,co_location
CASE037,TX1713,financial_chain
CASE037,TX1714,financial_chain
CASE037,CASE037-LE0187,co_location
CASE037,CASE037-LE0188,co_location
CASE038,TX1760,financial_chain
CASE038,TX1761,financial_chain
CASE038,TX1762,financial_chain
CASE038,CASE038-LE0192,co_location
CASE038,CASE038-LE0193,co_location
CASE038,CASE038-LE0194,co_location
CASE039,TX1808,financial_chain
CASE039,TX1809,financial_chain
CASE039,TX1810,financial_chain
CASE039,CASE039-LE0198,co_location
CASE039,CASE039-LE0199,co_location
CASE040,TX1856,financial_chain
CASE040,CASE040-LE0203,co_location
CASE040,CASE040-LE0204,co_location
CASE041,TX1902,financial_chain
CASE041,TX1903,financial_chain
CASE041,TX1904,financial_chain
CASE041,CASE041-LE0208,co_location
CASE041,CASE041-LE0209,co_location
