event_id,case_id,true_person_id
CASE001-CCTV0001,CASE001,P0520
CASE002-CCTV0002,CASE002,P0905
CASE002-CCTV0003,CASE002,P0555
CASE002-CCTV0005,CASE002,P0063
CASE002-CCTV0006,CASE002,P0730
CASE004-CCTV0007,CASE004,P0662
CASE005-CCTV0009,CASE005,P0765
CASE005-CCTV0010,CASE005,P0639
CASE006-CCTV0011,CASE006,P0095
CASE008-CCTV0014,CASE008,P0913
CASE009-CCTV0015,CASE009,P0421
CASE010-CCTV0016,CASE010,P0288
CASE011-CCTV0017,CASE011,P0510
CASE012-CCTV0018,CASE012,P0927
CASE014-CCTV0019,CASE014,P0801
CASE016-CCTV0021,CASE016,P0786
CASE017-CCTV0022,CASE017,P0029
CASE019-CCTV0023,CASE019,P0228
CASE020-CCTV0024,CASE020,P0670
CASE020-CCTV0025,CASE020,P0572
CASE021-CCTV0026,CASE021,P0038
CASE022-CCTV0027,CASE022,P0277
CASE024-CCTV0029,CASE024,P0429
CASE026-CCTV0030,CASE026,P0473
CASE028-CCTV0031,CASE028,P0146
CASE029-CCTV0032,CASE029,P0341
CASE029-CCTV0033,CASE029,P0322
CASE030-CCTV0034,CASE030,P0026
CASE030-CCTV0035,CASE030,P0818
CASE033-CCTV0036,CASE033,P0490
CASE033-CCTV0037,CASE033,P0979
CASE036-CCTV0038,CASE036,P0351
CASE036-CCTV0039,CASE036,P0970
CASE039-CCTV0040,CASE039,P0826
CASE041-CCTV0041,CASE041,P0772
CASE041-CCTV0042,CASE041,P0671
CASE041-CCTV0043,CASE041,P0640
CASE042-CCTV0044,CASE042,P0529
CASE044-CCTV0045,CASE044,P0227
CASE044-CCTV0046,CASE044,P0919
CASE045-CCTV0047,CASE045,P0755
CASE046-CCTV0048,CASE046,P0253
CASE046-CCTV0049,CASE046,P0170
CASE046-CCTV0050,CASE046,P0253
CASE047-CCTV0052,CASE047,P0817
CASE049-CCTV0054,CASE049,P0837
CASE051-CCTV0055,CASE051,P0201
CASE051-CCTV0056,CASE051,P0009
CASE053-CCTV0057,CASE053,P0688
CASE055-CCTV0058,CASE055,P0856
CASE055-CCTV0059,CASE055,P0280
CASE056-CCTV0060,CASE056,P0429
CASE056-CCTV0061,CASE056,P0179
CASE056-CCTV0062,CASE056,P0192
CASE058-CCTV0063,CASE058,P0828
CASE058-CCTV0064,CASE058,P0543
CASE060-CCTV0067,CASE060,P0577
CASE060-CCTV0068,CASE060,P0884
CASE062-CCTV0069,CASE062,P0794
CASE062-CCTV0070,CASE062,P0625
CASE062-CCTV0071,CASE062,P0053
CASE063-CCTV0072,CASE063,P0471
CASE064-CCTV0073,CASE064,P0753
CASE064-CCTV0074,CASE064,P0488
CASE065-CCTV0075,CASE065,P0790
CASE065-CCTV0076,CASE065,P0560
CASE067-CCTV0077,CASE067,P0258
CASE067-CCTV0078,CASE067,P0258
CASE068-CCTV0080,CASE068,P0333
CASE071-CCTV0083,CASE071,P0553
CASE072-CCTV0084,CASE072,P0281
CASE074-CCTV0085,CASE074,P0309
CASE074-CCTV0086,CASE074,P0317
CASE075-CCTV0087,CASE075,P0460
CASE077-CCTV0088,CASE077,P0664
CASE077-CCTV0089,CASE077,P0692
CASE078-CCTV0090,CASE078,P0148
CASE079-CCTV0091,CASE079,P0171
CASE081-CCTV0092,CASE081,P0582
CASE081-CCTV0093,CASE081,P0420
CASE082-CCTV0094,CASE082,P0534
CASE085-CCTV0096,CASE085,P0182
CASE085-CCTV0097,CASE085,P0158
CASE086-CCTV0098,CASE086,P0445
CASE086-CCTV0099,CASE086,P0513
CASE087-CCTV0100,CASE087,P0826
CASE087-CCTV0101,CASE087,P0024
CASE088-CCTV0102,CASE088,P0463
CASE090-CCTV0103,CASE090,P0623
CASE090-CCTV0104,CASE090,P0987
CASE091-CCTV0105,CASE091,P0462
CASE091-CCTV0106,CASE091,P0828
CASE091-CCTV0108,CASE091,P0657
CASE092-CCTV0109,CASE092,P0980
CASE093-CCTV0110,CASE093,P0455
CASE094-CCTV0111,CASE094,P0681
CASE094-CCTV0113,CASE094,P0076
CASE095-CCTV0114,CASE095,P0876
CASE096-CCTV0115,CASE096,P0673
CASE096-CCTV0116,CASE096,P0279
CASE096-CCTV0117,CASE096,P0597
CASE098-CCTV0118,CASE098,P0103
CASE099-CCTV0120,CASE099,P0935
CASE100-CCTV0121,CASE100,P0478
CASE019-CCTV0122,CASE019,P0247
CASE039-CCTV0123,CASE039,P0377
CASE071-CCTV0124,CASE071,P0360
CASE011-CCTV0125,CASE011,P0751
CASE009-CCTV0127,CASE009,P0700
CASE045-CCTV0128,CASE045,P0628
CASE054-CCTV0129,CASE054,P0755
CASE025-CCTV0132,CASE025,P0462
CASE086-CCTV0133,CASE086,P0902
CASE040-CCTV0134,CASE040,P0713
CASE083-CCTV0135,CASE083,P0693
CASE042-CCTV0136,CASE042,P0261
CASE055-CCTV0138,CASE055,P0218
CASE022-CCTV0139,CASE022,P0233
CASE032-CCTV0140,CASE032,P0825
CASE003-CCTV0141,CASE003,P0606
CASE057-CCTV0142,CASE057,P0125
CASE046-CCTV0143,CASE046,P0727
CASE062-CCTV0144,CASE062,P0829
CASE096-CCTV0145,CASE096,P0974
CASE011-CCTV0146,CASE011,P0261
CASE090-CCTV0147,CASE090,P0684
CASE018-CCTV0148,CASE018,P0780
CASE004-CCTV0149,CASE004,P0311
CASE014-CCTV0150,CASE014,P0234
CASE036-CCTV0151,CASE036,P0025
CASE092-CCTV0157,CASE092,P0512
CASE045-CCTV0158,CASE045,P0746
CASE065-CCTV0159,CASE065,P0866
CASE026-CCTV0160,CASE026,P0965
CASE091-CCTV0161,CASE091,P0499
CASE012-CCTV0163,CASE012,P0897
CASE034-CCTV0164,CASE034,P0407
CASE087-CCTV0165,CASE087,P0479
CASE012-CCTV0167,CASE012,P0783
CASE025-CCTV0168,CASE025,P0238
CASE059-CCTV0169,CASE059,P0246
CASE098-CCTV0170,CASE098,P0662
CASE065-CCTV0171,CASE065,P0598
CASE038-CCTV0172,CASE038,P0379
CASE006-CCTV0173,CASE006,P0149
CASE012-CCTV0174,CASE012,P0442
CASE052-CCTV0175,CASE052,P0387
CASE028-CCTV0176,CASE028,P0472
CASE002-CCTV0177,CASE002,P0858
CASE007-CCTV0178,CASE007,P0420
CASE021-CCTV0179,CASE021,P0233
CASE004-CCTV0180,CASE004,P0066
CASE028-CCTV0181,CASE028,P0700
CASE088-CCTV0182,CASE088,P0089
CASE086-CCTV0183,CASE086,P0675
CASE028-CCTV0184,CASE028,P0498
CASE074-CCTV0185,CASE074,P0043
CASE026-CCTV0188,CASE026,P0939
CASE056-CCTV0189,CASE056,P0948
CASE061-CCTV0190,CASE061,P0116
CASE047-CCTV0191,CASE047,P0528
CASE039-CCTV0192,CASE039,P0777
CASE081-CCTV0193,CASE081,P0222
