case_id,cdr_id,anomaly_pattern
CASE001,CDR0002,odd_hour_contact
CASE001,CDR0005,burst_calling
CASE001,CDR0006,burst_calling
CASE001,CDR0007,burst_calling
CASE001,CDR0008,burst_calling
CASE001,CDR0009,burst_calling
CASE001,CDR0010,burst_calling
CASE001,CDR0011,burst_calling
CASE001,CDR0012,burst_calling
CASE001,CDR0013,odd_hour_contact|burst_calling
CASE001,CDR0014,burst_calling
CASE001,CDR0015,burst_calling
CASE001,CDR0019,burst_calling
CASE001,CDR0020,burst_calling
CASE001,CDR0021,burst_calling
CASE001,CDR0022,burst_calling
CASE001,CDR0023,burst_calling
CASE001,CDR0024,odd_hour_contact
CASE001,CDR0025,odd_hour_contact
CASE001,CDR0028,odd_hour_contact
CASE001,CDR0034,odd_hour_contact
CASE001,CDR0035,odd_hour_contact
CASE001,CDR0037,burst_calling
CASE001,CDR0038,odd_hour_contact|burst_calling
CASE001,CDR0039,burst_calling
CASE001,CDR0040,burst_calling
CASE001,CDR0041,burst_calling
CASE001,CDR0042,burst_calling
CASE001,CDR0046,burst_calling
CASE001,CDR0047,odd_hour_contact|burst_calling
CASE001,CDR0048,burst_calling
CASE001,CDR0049,odd_hour_contact|burst_calling
CASE001,CDR0050,odd_hour_contact|burst_calling
CASE001,CDR0051,odd_hour_contact
CASE001,CDR0054,burst_calling
CASE001,CDR0055,burst_calling
CASE001,CDR0056,burst_calling
CASE001,CDR0057,burst_calling
CASE001,CDR0058,burst_calling
CASE001,CDR0059,odd_hour_contact|burst_calling
CASE001,CDR0063,burst_calling
CASE001,CDR0064,odd_hour_contact|burst_calling
CASE001,CDR0065,burst_calling
CASE001,CDR0066,burst_calling
CASE001,CDR0067,burst_calling
CASE001,CDR0072,odd_hour_contact|burst_calling
CASE001,CDR0073,burst_calling
CASE001,CDR0074,burst_calling
CASE001,CDR0075,burst_calling
CASE001,CDR0076,burst_calling
CASE001,CDR0079,odd_hour_contact
CASE001,CDR0081,burst_calling
CASE001,CDR0082,burst_calling
CASE001,CDR0083,burst_calling
CASE001,CDR0084,burst_calling
CASE001,CDR0085,odd_hour_contact|burst_calling
CASE001,CDR0086,burst_calling
CASE001,CDR0090,burst_calling
CASE001,CDR0091,burst_calling
CASE001,CDR0092,burst_calling
CASE001,CDR0093,burst_calling
CASE001,CDR0094,burst_calling
CASE001,CDR0095,odd_hour_contact|burst_calling
CASE001,CDR0096,burst_calling
CASE001,CDR0097,burst_calling
CASE001,CDR0098,burst_calling
CASE001,CDR0099,burst_calling
CASE001,CDR0100,burst_calling
CASE001,CDR0105,odd_hour_contact
CASE001,CDR0109,odd_hour_contact
CASE001,CDR0112,burst_calling
CASE001,CDR0113,burst_calling
CASE001,CDR0114,odd_hour_contact|burst_calling
CASE001,CDR0115,burst_calling
CASE001,CDR0116,odd_hour_contact|burst_calling
CASE001,CDR0117,burst_calling
CASE001,CDR0118,odd_hour_contact
CASE001,CDR0120,odd_hour_contact|burst_calling
CASE001,CDR0121,burst_calling
CASE001,CDR0122,burst_calling
CASE001,CDR0123,burst_calling
CASE001,CDR0124,burst_calling
CASE001,CDR0129,odd_hour_contact
CASE001,CDR0133,odd_hour_contact
