device_id,num_links,distinct_persons,is_burner_suspect
DEV0209,2,2,possible
DEV0100,2,2,possible
DEV0037,2,2,possible
DEV0285,2,2,possible
DEV0321,2,2,possible
DEV0130,3,3,Y
DEV0327,2,2,possible
DEV0094,2,2,possible
DEV0081,3,3,Y
DEV0164,3,3,Y
DEV0006,3,3,Y
DEV0170,2,2,possible
DEV0388,2,2,possible
DEV0120,4,4,Y
DEV0382,2,2,possible
DEV0214,3,3,Y
DEV0079,2,2,possible
DEV0137,2,2,possible
DEV0201,2,2,possible
DEV0042,3,3,Y
DEV0343,3,3,Y
DEV0267,3,3,Y
DEV0392,3,3,Y
DEV0308,2,2,possible
DEV0144,3,3,Y
DEV0112,2,2,possible
DEV0237,2,2,possible
DEV0370,2,2,possible
DEV0128,2,2,possible
DEV0185,2,2,possible
DEV0065,2,2,possible
DEV0101,2,2,possible
DEV0235,3,3,Y
DEV0351,4,4,Y
DEV0375,2,2,possible
DEV0309,3,3,Y
DEV0293,2,2,possible
DEV0229,2,2,possible
DEV0082,3,3,Y
DEV0005,2,2,possible
DEV0272,2,2,possible
DEV0199,3,3,Y
DEV0234,3,3,Y
DEV0287,2,2,possible
DEV0186,2,2,possible
DEV0133,3,3,Y
DEV0129,2,2,possible
DEV0168,2,2,possible
DEV0219,2,2,possible
DEV0059,2,2,possible
DEV0312,2,2,possible
DEV0060,3,3,Y
DEV0230,2,2,possible
DEV0358,3,3,Y
DEV0328,2,2,possible
DEV0192,2,2,possible
DEV0154,3,3,Y
DEV0140,3,3,Y
DEV0131,2,2,possible
DEV0251,2,2,possible
DEV0217,4,4,Y
DEV0396,2,2,possible
DEV0244,2,2,possible
DEV0215,2,2,possible
DEV0104,2,2,possible
DEV0400,3,3,Y
DEV0325,2,2,possible
DEV0276,3,3,Y
DEV0329,2,2,possible
DEV0089,2,2,possible
DEV0108,3,3,Y
DEV0283,2,2,possible
DEV0357,2,2,possible
DEV0143,2,2,possible
DEV0317,2,2,possible
DEV0366,2,2,possible
DEV0134,3,3,Y
DEV0029,3,3,Y
DEV0048,2,2,possible
DEV0252,2,2,possible
DEV0315,2,2,possible
DEV0225,2,2,possible
DEV0055,2,2,possible
DEV0239,3,3,Y
DEV0346,3,3,Y
DEV0243,3,3,Y
DEV0363,3,3,Y
DEV0093,2,2,possible
DEV0163,2,2,possible
DEV0205,2,2,possible
DEV0323,2,2,possible
DEV0036,2,2,possible
DEV0091,2,2,possible
DEV0142,2,2,possible
DEV0077,2,2,possible
DEV0196,3,3,Y
DEV0332,2,2,possible
DEV0173,2,2,possible
DEV0167,2,2,possible
DEV0046,2,2,possible
DEV0304,2,2,possible
DEV0368,2,2,possible
DEV0337,3,3,Y
DEV0220,2,2,possible
DEV0156,2,2,possible
DEV0306,3,3,Y
DEV0067,2,2,possible
DEV0095,2,2,possible
DEV0274,2,2,possible
DEV0184,2,2,possible
DEV0023,2,2,possible
DEV0149,2,2,possible
DEV0066,2,2,possible
DEV0233,2,2,possible
DEV0387,2,2,possible
DEV0160,2,2,possible
