case_id,transaction_id,anomaly_pattern
CASE001,TX0001,large_transfer
CASE001,TX0002,large_transfer
CASE001,TX0003,large_transfer
CASE001,TX0004,large_transfer
CASE003,TX0097,large_transfer
CASE003,TX0098,large_transfer
CASE004,TX0144,large_transfer
CASE004,TX0145,large_transfer
CASE007,TX0285,large_transfer
CASE007,TX0286,large_transfer
CASE007,TX0287,large_transfer
CASE008,TX0333,large_transfer
CASE008,TX0334,large_transfer
CASE009,TX0382,large_transfer
CASE010,TX0428,large_transfer
CASE010,TX0429,large_transfer
CASE011,TX0478,large_transfer
CASE012,TX0525,large_transfer
CASE012,TX0527,large_transfer
CASE013,TX0574,large_transfer
CASE014,TX0620,large_transfer
CASE015,TX0668,large_transfer
CASE017,TX0764,large_transfer
CASE017,TX0765,large_transfer
CASE018,TX0811,large_transfer
CASE019,TX0860,large_transfer
CASE020,TX0907,large_transfer
CASE021,TX0954,large_transfer
CASE021,TX0955,large_transfer
CASE021,TX0956,large_transfer
CASE022,TX1003,large_transfer
CASE023,TX1052,large_transfer
CASE024,TX1099,large_transfer
CASE024,TX1100,large_transfer
CASE025,TX1146,large_transfer
CASE025,TX1147,large_transfer
CASE026,TX1193,large_transfer
CASE026,TX1194,large_transfer
CASE027,TX1241,large_transfer
CASE028,TX1288,large_transfer
CASE028,TX1290,large_transfer
CASE030,TX1384,large_transfer
CASE030,TX1385,large_transfer
CASE031,TX1433,large_transfer
CASE032,TX1479,large_transfer
CASE036,TX1665,large_transfer
CASE036,TX1666,large_transfer
CASE036,TX1667,large_transfer
CASE038,TX1762,large_transfer
CASE039,TX1808,large_transfer
CASE039,TX1809,large_transfer
CASE041,TX1902,large_transfer
CASE041,TX1903,large_transfer
CASE042,TX1951,large_transfer
CASE044,TX2048,large_transfer
CASE044,TX2049,large_transfer
CASE045,TX2097,large_transfer
CASE045,TX2098,large_transfer
CASE046,TX2145,large_transfer
CASE047,TX2191,large_transfer
CASE048,TX2239,large_transfer
CASE049,TX2290,large_transfer
CASE050,TX2338,large_transfer
CASE050,TX2339,large_transfer
CASE052,TX2431,large_transfer
CASE052,TX2432,large_transfer
CASE053,TX2478,large_transfer
CASE053,TX2480,large_transfer
CASE053,TX2481,large_transfer
CASE054,TX2528,large_transfer
CASE055,TX2575,large_transfer
CASE056,TX2622,large_transfer
CASE056,TX2623,large_transfer
CASE056,TX2625,large_transfer
CASE058,TX2719,large_transfer
CASE058,TX2720,large_transfer
CASE058,TX2721,large_transfer
CASE059,TX2767,large_transfer
CASE060,TX2813,large_transfer
CASE061,TX2862,large_transfer
CASE062,TX2910,large_transfer
CASE062,TX2912,large_transfer
CASE063,TX2960,large_transfer
CASE064,TX3007,large_transfer
CASE064,TX3009,large_transfer
CASE065,TX3056,large_transfer
CASE066,TX3105,large_transfer
CASE067,TX3152,large_transfer
CASE068,TX3199,large_transfer
CASE068,TX3200,large_transfer
CASE069,TX3246,large_transfer
CASE069,TX3247,large_transfer
CASE070,TX3295,large_transfer
CASE071,TX3342,large_transfer
CASE071,TX3343,large_transfer
CASE072,TX3390,large_transfer
CASE072,TX3391,large_transfer
CASE072,TX3392,large_transfer
CASE073,TX3439,large_transfer
CASE073,TX3440,large_transfer
CASE074,TX3488,large_transfer
CASE075,TX3537,large_transfer
CASE076,TX3584,large_transfer
CASE076,TX3585,large_transfer
CASE077,TX3632,large_transfer
CASE078,TX3680,large_transfer
CASE078,TX3681,large_transfer
CASE079,TX3727,large_transfer
CASE079,TX3728,large_transfer
CASE080,TX3776,large_transfer
CASE081,TX3825,large_transfer
CASE081,TX3826,large_transfer
CASE081,TX3827,large_transfer
CASE082,TX3873,large_transfer
CASE082,TX3874,large_transfer
CASE082,TX3875,large_transfer
CASE083,TX3922,large_transfer
CASE084,TX3969,large_transfer
CASE084,TX3971,large_transfer
CASE086,TX4064,large_transfer
CASE086,TX4065,large_transfer
CASE088,TX4160,large_transfer
CASE088,TX4161,large_transfer
CASE089,TX4208,large_transfer
CASE089,TX4209,large_transfer
CASE090,TX4255,large_transfer
CASE090,TX4256,large_transfer
CASE090,TX4258,large_transfer
CASE091,TX4304,large_transfer
CASE092,TX4353,large_transfer
CASE092,TX4354,large_transfer
CASE093,TX4402,large_transfer
CASE094,TX4448,large_transfer
CASE094,TX4449,large_transfer
CASE094,TX4451,large_transfer
CASE095,TX4497,large_transfer
CASE095,TX4499,large_transfer
CASE096,TX4547,large_transfer
CASE097,TX4596,large_transfer
CASE098,TX4643,large_transfer
CASE099,TX4689,large_transfer
CASE100,TX4739,large_transfer
CASE001,TX4785,fan_in
CASE001,TX4786,fan_in
CASE001,TX4787,fan_in
CASE001,TX4788,fan_in
CASE001,TX4789,fan_in
CASE002,TX4790,fan_out
CASE002,TX4791,fan_out
CASE002,TX4792,fan_out
CASE002,TX4793,fan_out
CASE002,TX4794,fan_out
CASE003,TX4795,layering|large_transfer
CASE003,TX4796,layering|large_transfer
CASE003,TX4797,layering|large_transfer
CASE003,TX4798,layering|large_transfer
CASE003,TX4799,layering|large_transfer
CASE004,TX4800,round_tripping|large_transfer
CASE004,TX4801,round_tripping|large_transfer
CASE004,TX4802,round_tripping|large_transfer
CASE004,TX4803,round_tripping|large_transfer
CASE005,TX4804,dormant_burst
CASE005,TX4805,dormant_burst|large_transfer
CASE005,TX4806,dormant_burst|large_transfer
CASE005,TX4807,dormant_burst|large_transfer
CASE005,TX4808,dormant_burst|large_transfer
CASE005,TX4809,dormant_burst|large_transfer
CASE005,TX4810,dormant_burst|large_transfer
CASE006,TX4811,structuring
CASE006,TX4812,structuring
CASE006,TX4813,structuring
CASE006,TX4814,structuring
CASE006,TX4815,structuring
CASE007,TX4816,fan_in
CASE007,TX4817,fan_in
CASE007,TX4818,fan_in
CASE007,TX4819,fan_in
CASE007,TX4820,fan_in
CASE008,TX4821,fan_out
CASE008,TX4822,fan_out
CASE008,TX4823,fan_out
CASE008,TX4824,fan_out
CASE008,TX4825,fan_out
CASE009,TX4826,layering|large_transfer
CASE009,TX4827,layering|large_transfer
CASE009,TX4828,layering|large_transfer
CASE009,TX4829,layering|large_transfer
CASE009,TX4830,layering|large_transfer
CASE010,TX4831,round_tripping|large_transfer
CASE010,TX4832,round_tripping|large_transfer
CASE010,TX4833,round_tripping|large_transfer
CASE010,TX4834,round_tripping|large_transfer
CASE011,TX4835,dormant_burst
CASE011,TX4836,dormant_burst|large_transfer
CASE011,TX4837,dormant_burst|large_transfer
CASE011,TX4838,dormant_burst|large_transfer
CASE011,TX4839,dormant_burst|large_transfer
CASE011,TX4840,dormant_burst|large_transfer
CASE011,TX4841,dormant_burst
CASE012,TX4842,structuring
CASE012,TX4843,structuring
CASE012,TX4844,structuring
CASE012,TX4845,structuring
CASE012,TX4846,structuring
CASE013,TX4847,fan_in
CASE013,TX4848,fan_in
CASE013,TX4849,fan_in
CASE013,TX4850,fan_in
CASE013,TX4851,fan_in
CASE014,TX4852,fan_out
CASE014,TX4853,fan_out
CASE014,TX4854,fan_out
CASE014,TX4855,fan_out
CASE014,TX4856,fan_out
CASE015,TX4857,layering|large_transfer
CASE015,TX4858,layering|large_transfer
CASE015,TX4859,layering|large_transfer
CASE015,TX4860,layering|large_transfer
CASE015,TX4861,layering|large_transfer
CASE016,TX4862,round_tripping|large_transfer
CASE016,TX4863,round_tripping|large_transfer
CASE016,TX4864,round_tripping|large_transfer
CASE016,TX4865,round_tripping|large_transfer
CASE017,TX4866,dormant_burst
CASE017,TX4867,dormant_burst|large_transfer
CASE017,TX4868,dormant_burst|large_transfer
CASE017,TX4869,dormant_burst|large_transfer
CASE017,TX4870,dormant_burst|large_transfer
CASE017,TX4871,dormant_burst|large_transfer
CASE017,TX4872,dormant_burst|large_transfer
CASE018,TX4873,structuring
CASE018,TX4874,structuring
CASE018,TX4875,structuring
CASE018,TX4876,structuring
CASE018,TX4877,structuring
CASE019,TX4878,fan_in
CASE019,TX4879,fan_in
CASE019,TX4880,fan_in
CASE019,TX4881,fan_in
CASE019,TX4882,fan_in
CASE020,TX4883,fan_out
CASE020,TX4884,fan_out
CASE020,TX4885,fan_out
CASE020,TX4886,fan_out
CASE020,TX4887,fan_out
CASE021,TX4888,layering|large_transfer
CASE021,TX4889,layering|large_transfer
CASE021,TX4890,layering|large_transfer
CASE021,TX4891,layering|large_transfer
CASE021,TX4892,layering|large_transfer
CASE022,TX4893,round_tripping|large_transfer
CASE022,TX4894,round_tripping|large_transfer
CASE022,TX4895,round_tripping|large_transfer
CASE022,TX4896,round_tripping|large_transfer
CASE023,TX4897,dormant_burst
CASE023,TX4898,dormant_burst|large_transfer
CASE023,TX4899,dormant_burst|large_transfer
CASE023,TX4900,dormant_burst|large_transfer
CASE023,TX4901,dormant_burst|large_transfer
CASE023,TX4902,dormant_burst|large_transfer
CASE023,TX4903,dormant_burst|large_transfer
CASE024,TX4904,structuring
CASE024,TX4905,structuring
CASE024,TX4906,structuring
CASE024,TX4907,structuring
CASE024,TX4908,structuring
CASE025,TX4909,fan_in
CASE025,TX4910,fan_in
CASE025,TX4911,fan_in
CASE025,TX4912,fan_in
CASE025,TX4913,fan_in
CASE026,TX4914,fan_out
CASE026,TX4915,fan_out
CASE026,TX4916,fan_out
CASE026,TX4917,fan_out
CASE026,TX4918,fan_out
CASE027,TX4919,layering|large_transfer
CASE027,TX4920,layering|large_transfer
CASE027,TX4921,layering|large_transfer
CASE027,TX4922,layering|large_transfer
CASE027,TX4923,layering|large_transfer
CASE028,TX4924,round_tripping|large_transfer
CASE028,TX4925,round_tripping|large_transfer
CASE028,TX4926,round_tripping|large_transfer
CASE028,TX4927,round_tripping|large_transfer
CASE029,TX4928,dormant_burst
CASE029,TX4929,dormant_burst|large_transfer
CASE029,TX4930,dormant_burst|large_transfer
CASE029,TX4931,dormant_burst|large_transfer
CASE029,TX4932,dormant_burst
CASE029,TX4933,dormant_burst|large_transfer
CASE029,TX4934,dormant_burst|large_transfer
CASE030,TX4935,structuring
CASE030,TX4936,structuring
CASE030,TX4937,structuring
CASE030,TX4938,structuring
CASE030,TX4939,structuring
CASE031,TX4940,fan_in
CASE031,TX4941,fan_in
CASE031,TX4942,fan_in
CASE031,TX4943,fan_in
CASE031,TX4944,fan_in
CASE032,TX4945,fan_out
CASE032,TX4946,fan_out
CASE032,TX4947,fan_out
CASE032,TX4948,fan_out
CASE032,TX4949,fan_out
CASE033,TX4950,layering|large_transfer
CASE033,TX4951,layering|large_transfer
CASE033,TX4952,layering|large_transfer
CASE033,TX4953,layering|large_transfer
CASE033,TX4954,layering|large_transfer
CASE034,TX4955,round_tripping|large_transfer
CASE034,TX4956,round_tripping|large_transfer
CASE034,TX4957,round_tripping|large_transfer
CASE034,TX4958,round_tripping|large_transfer
CASE035,TX4959,dormant_burst
CASE035,TX4960,dormant_burst|large_transfer
CASE035,TX4961,dormant_burst|large_transfer
CASE035,TX4962,dormant_burst|large_transfer
CASE035,TX4963,dormant_burst|large_transfer
CASE035,TX4964,dormant_burst|large_transfer
CASE035,TX4965,dormant_burst|large_transfer
CASE036,TX4966,structuring
CASE036,TX4967,structuring
CASE036,TX4968,structuring
CASE036,TX4969,structuring
CASE036,TX4970,structuring
CASE037,TX4971,fan_in
CASE037,TX4972,fan_in
CASE037,TX4973,fan_in
CASE037,TX4974,fan_in
CASE037,TX4975,fan_in
CASE038,TX4976,fan_out
CASE038,TX4977,fan_out
CASE038,TX4978,fan_out
CASE038,TX4979,fan_out
CASE038,TX4980,fan_out
CASE039,TX4981,layering|large_transfer
CASE039,TX4982,layering|large_transfer
CASE039,TX4983,layering|large_transfer
CASE039,TX4984,layering|large_transfer
CASE039,TX4985,layering|large_transfer
CASE040,TX4986,round_tripping|large_transfer
CASE040,TX4987,round_tripping|large_transfer
CASE040,TX4988,round_tripping|large_transfer
CASE040,TX4989,round_tripping|large_transfer
CASE041,TX4990,dormant_burst
CASE041,TX4991,dormant_burst|large_transfer
CASE041,TX4992,dormant_burst|large_transfer
CASE041,TX4993,dormant_burst|large_transfer
CASE041,TX4994,dormant_burst|large_transfer
CASE041,TX4995,dormant_burst|large_transfer
CASE041,TX4996,dormant_burst|large_transfer
CASE042,TX4997,structuring
CASE042,TX4998,structuring
CASE042,TX4999,structuring
CASE042,TX5000,structuring
CASE042,TX5001,structuring
CASE043,TX5002,fan_in
