case_id,typology,transaction_ids,accounts_involved,description
CASE001,fan_in,TX4785|TX4786|TX4787|TX4788|TX4789,ACC0358|ACC0361|ACC0255|ACC0088|ACC0377|ACC0702,Fan In pattern injected for benchmark evaluation
CASE002,fan_out,TX4790|TX4791|TX4792|TX4793|TX4794,ACC0504|ACC0428|ACC0461|ACC0402|ACC0264|ACC0454,Fan Out pattern injected for benchmark evaluation
CASE003,layering,TX4795|TX4796|TX4797|TX4798|TX4799,ACC0049|ACC0032|ACC0769|ACC0082|ACC0401|ACC0121,Layering pattern injected for benchmark evaluation
CASE004,round_tripping,TX4800|TX4801|TX4802|TX4803,ACC0736|ACC0367|ACC0103|ACC0576|ACC0046|ACC0359,Round Tripping pattern injected for benchmark evaluation
CASE005,dormant_burst,TX4804|TX4805|TX4806|TX4807|TX4808|TX4809|TX4810,ACC0391|ACC0490|ACC0760|ACC0057|ACC0724|ACC0683,Dormant Burst pattern injected for benchmark evaluation
CASE006,structuring,TX4811|TX4812|TX4813|TX4814|TX4815,ACC0257|ACC0288|ACC0270|ACC0591|ACC0643|ACC0238,Structuring pattern injected for benchmark evaluation
CASE007,fan_in,TX4816|TX4817|TX4818|TX4819|TX4820,ACC0730|ACC0291|ACC0746|ACC0079|ACC0121|ACC0511,Fan In pattern injected for benchmark evaluation
CASE008,fan_out,TX4821|TX4822|TX4823|TX4824|TX4825,ACC0232|ACC0563|ACC0152|ACC0422|ACC0724|ACC0012,Fan Out pattern injected for benchmark evaluation
CASE009,layering,TX4826|TX4827|TX4828|TX4829|TX4830,ACC0194|ACC0521|ACC0217|ACC0620|ACC0714|ACC0776,Layering pattern injected for benchmark evaluation
CASE010,round_tripping,TX4831|TX4832|TX4833|TX4834,ACC0196|ACC0164|ACC0599|ACC0549|ACC0333|ACC0127,Round Tripping pattern injected for benchmark evaluation
CASE011,dormant_burst,TX4835|TX4836|TX4837|TX4838|TX4839|TX4840|TX4841,ACC0545|ACC0523|ACC0581|ACC0003|ACC0760|ACC0578,Dormant Burst pattern injected for benchmark evaluation
CASE012,structuring,TX4842|TX4843|TX4844|TX4845|TX4846,ACC0285|ACC0544|ACC0671|ACC0227|ACC0763|ACC0367,Structuring pattern injected for benchmark evaluation
CASE013,fan_in,TX4847|TX4848|TX4849|TX4850|TX4851,ACC0650|ACC0230|ACC0500|ACC0261|ACC0773|ACC0139,Fan In pattern injected for benchmark evaluation
CASE014,fan_out,TX4852|TX4853|TX4854|TX4855|TX4856,ACC0634|ACC0716|ACC0347|ACC0417|ACC0263|ACC0130,Fan Out pattern injected for benchmark evaluation
CASE015,layering,TX4857|TX4858|TX4859|TX4860|TX4861,ACC0026|ACC0512|ACC0546|ACC0271|ACC0672|ACC0165,Layering pattern injected for benchmark evaluation
CASE016,round_tripping,TX4862|TX4863|TX4864|TX4865,ACC0673|ACC0353|ACC0627|ACC0143|ACC0521|ACC0005,Round Tripping pattern injected for benchmark evaluation
CASE017,dormant_burst,TX4866|TX4867|TX4868|TX4869|TX4870|TX4871|TX4872,ACC0087|ACC0104|ACC0376|ACC0022|ACC0068|ACC0642,Dormant Burst pattern injected for benchmark evaluation
CASE018,structuring,TX4873|TX4874|TX4875|TX4876|TX4877,ACC0033|ACC0427|ACC0741|ACC0384|ACC0081|ACC0656,Structuring pattern injected for benchmark evaluation
CASE019,fan_in,TX4878|TX4879|TX4880|TX4881|TX4882,ACC0505|ACC0020|ACC0522|ACC0109|ACC0211|ACC0648,Fan In pattern injected for benchmark evaluation
CASE020,fan_out,TX4883|TX4884|TX4885|TX4886|TX4887,ACC0006|ACC0112|ACC0553|ACC0317|ACC0452|ACC0242,Fan Out pattern injected for benchmark evaluation
CASE021,layering,TX4888|TX4889|TX4890|TX4891|TX4892,ACC0634|ACC0571|ACC0383|ACC0731|ACC0088|ACC0012,Layering pattern injected for benchmark evaluation
CASE022,round_tripping,TX4893|TX4894|TX4895|TX4896,ACC0450|ACC0202|ACC0470|ACC0640|ACC0211|ACC0025,Round Tripping pattern injected for benchmark evaluation
CASE023,dormant_burst,TX4897|TX4898|TX4899|TX4900|TX4901|TX4902|TX4903,ACC0638|ACC0601|ACC0341|ACC0262|ACC0798|ACC0240,Dormant Burst pattern injected for benchmark evaluation
CASE024,structuring,TX4904|TX4905|TX4906|TX4907|TX4908,ACC0214|ACC0762|ACC0290|ACC0196|ACC0496|ACC0122,Structuring pattern injected for benchmark evaluation
CASE025,fan_in,TX4909|TX4910|TX4911|TX4912|TX4913,ACC0545|ACC0767|ACC0281|ACC0222|ACC0076|ACC0236,Fan In pattern injected for benchmark evaluation
CASE026,fan_out,TX4914|TX4915|TX4916|TX4917|TX4918,ACC0301|ACC0459|ACC0270|ACC0608|ACC0609|ACC0612,Fan Out pattern injected for benchmark evaluation
CASE027,layering,TX4919|TX4920|TX4921|TX4922|TX4923,ACC0758|ACC0694|ACC0614|ACC0455|ACC0543|ACC0577,Layering pattern injected for benchmark evaluation
CASE028,round_tripping,TX4924|TX4925|TX4926|TX4927,ACC0647|ACC0566|ACC0004|ACC0337|ACC0639|ACC0712,Round Tripping pattern injected for benchmark evaluation
CASE029,dormant_burst,TX4928|TX4929|TX4930|TX4931|TX4932|TX4933|TX4934,ACC0369|ACC0388|ACC0030|ACC0603|ACC0368|ACC0417,Dormant Burst pattern injected for benchmark evaluation
CASE030,structuring,TX4935|TX4936|TX4937|TX4938|TX4939,ACC0263|ACC0295|ACC0061|ACC0680|ACC0057|ACC0647,Structuring pattern injected for benchmark evaluation
CASE031,fan_in,TX4940|TX4941|TX4942|TX4943|TX4944,ACC0159|ACC0465|ACC0192|ACC0549|ACC0719|ACC0022,Fan In pattern injected for benchmark evaluation
