case_id,person_id,true_role,is_innocent
CASE001,P0981,Coordinator,N
CASE001,P0520,Financial Intermediary,N
CASE001,P0607,False Lead,Y
CASE001,P0236,False Lead,Y
CASE001,P0038,False Lead,Y
CASE001,P0536,Recruiter,N
CASE001,P0624,Unrelated Person,Y
CASE001,P0144,Vehicle Provider,N
CASE001,P0887,Operational Member,N
CASE001,P0201,Operational Member,N
CASE001,P0914,Unrelated Person,Y
CASE001,P0469,Recruiter,N
CASE001,P0163,Vehicle Provider,N
CASE001,P0019,Operational Member,N
CASE001,P0635,Operational Member,N
CASE001,P0745,Vehicle Provider,N
CASE001,P0107,Unrelated Person,Y
CASE001,P0076,Associate,N
CASE001,P0270,Communicator,N
CASE001,P0493,Associate,N
CASE001,P0824,Communicator,N
CASE001,P0980,Document Handler,N
CASE001,P0013,Communicator,N
CASE001,P0269,Vehicle Provider,N
CASE001,P0867,Operational Member,N
CASE001,P0344,Associate,N
CASE001,P0172,Logistics Coordinator,N
CASE001,P0508,Logistics Coordinator,N
CASE001,P0119,Operational Member,N
CASE001,P0212,Operational Member,N
CASE001,P0338,Communicator,N
CASE001,P0083,Communicator,N
CASE001,P0286,Logistics Coordinator,N
CASE001,P0321,Vehicle Provider,N
CASE001,P0861,Recruiter,N
CASE001,P0967,Associate,N
CASE001,P0475,Communicator,N
CASE001,P0907,Document Handler,N
CASE001,P0006,Communicator,N
CASE002,P0905,Coordinator,N
CASE002,P0555,Financial Intermediary,N
CASE002,P0904,False Lead,Y
CASE002,P0665,False Lead,Y
CASE002,P0552,False Lead,Y
CASE002,P0017,Logistics Coordinator,N
CASE002,P0029,Operational Member,N
CASE002,P0417,Document Handler,N
CASE002,P0082,Unrelated Person,Y
CASE002,P0925,Associate,N
CASE002,P0920,Vehicle Provider,N
CASE002,P0325,Operational Member,N
CASE002,P0917,Logistics Coordinator,N
CASE002,P0060,Associate,N
CASE002,P0063,Recruiter,N
CASE002,P0919,Logistics Coordinator,N
CASE002,P0524,Document Handler,N
CASE002,P0677,Associate,N
CASE002,P0730,Associate,N
CASE002,P0003,Logistics Coordinator,N
CASE002,P0320,Communicator,N
CASE002,P0125,Communicator,N
CASE002,P0916,Unrelated Person,Y
CASE002,P0844,Logistics Coordinator,N
CASE002,P0964,Unrelated Person,Y
CASE002,P0949,Unrelated Person,Y
CASE002,P0049,Document Handler,N
CASE002,P0773,Document Handler,N
CASE002,P0234,Recruiter,N
CASE002,P0663,Associate,N
CASE002,P0182,Logistics Coordinator,N
CASE003,P0037,Coordinator,N
CASE003,P0217,Financial Intermediary,N
CASE003,P1000,False Lead,Y
CASE003,P0154,Recruiter,N
CASE003,P0605,Logistics Coordinator,N
CASE003,P0990,Vehicle Provider,N
CASE003,P0423,Communicator,N
CASE003,P0019,Unrelated Person,Y
CASE003,P0539,Recruiter,N
CASE003,P0584,Vehicle Provider,N
CASE003,P0001,Logistics Coordinator,N
CASE003,P0894,Communicator,N
CASE003,P0351,Associate,N
CASE003,P0421,Unrelated Person,Y
CASE003,P0173,Document Handler,N
CASE003,P0523,Operational Member,N
CASE003,P0607,Operational Member,N
CASE003,P0784,Communicator,N
CASE004,P0662,Coordinator,N
CASE004,P0595,Financial Intermediary,N
CASE004,P0307,False Lead,Y
CASE004,P0257,Logistics Coordinator,N
CASE004,P0726,Logistics Coordinator,N
CASE004,P0841,Communicator,N
CASE004,P0976,Communicator,N
CASE004,P0081,Communicator,N
CASE004,P0179,Recruiter,N
CASE004,P0792,Document Handler,N
CASE004,P0775,Logistics Coordinator,N
CASE004,P0964,Logistics Coordinator,N
CASE005,P0509,Coordinator,N
CASE005,P0765,Financial Intermediary,N
CASE005,P0327,False Lead,Y
CASE005,P0639,Communicator,N
CASE005,P0450,Associate,N
CASE005,P0705,Vehicle Provider,N
CASE005,P0414,Unrelated Person,Y
CASE005,P0432,Document Handler,N
CASE005,P0782,Logistics Coordinator,N
CASE005,P0093,Vehicle Provider,N
CASE005,P0622,Logistics Coordinator,N
CASE006,P0575,Coordinator,N
CASE006,P0036,Financial Intermediary,N
CASE006,P0095,False Lead,Y
CASE007,P0207,Coordinator,N
CASE007,P0303,Financial Intermediary,N
CASE007,P0586,False Lead,Y
CASE007,P0158,Bridge / Communicator,N
CASE007,P0918,Communicator,N
CASE007,P0267,Operational Member,N
CASE007,P0584,Associate,N
CASE007,P0053,Vehicle Provider,N
CASE008,P0922,Coordinator,N
CASE008,P0913,Financial Intermediary,N
CASE008,P0229,False Lead,Y
CASE008,P0788,False Lead,Y
CASE008,P0667,False Lead,Y
CASE008,P0408,False Lead,Y
CASE008,P0505,False Lead,Y
CASE008,P0043,False Lead,Y
CASE008,P0085,False Lead,Y
CASE008,P0220,Associate,N
CASE008,P0004,Associate,N
CASE008,P0066,Associate,N
CASE008,P0414,Vehicle Provider,N
CASE008,P0954,Unrelated Person,Y
CASE008,P0722,Logistics Coordinator,N
CASE008,P0463,Operational Member,N
CASE008,P0945,Communicator,N
CASE008,P0662,Operational Member,N
CASE008,P0298,Vehicle Provider,N
CASE008,P0876,Communicator,N
CASE008,P0941,Operational Member,N
CASE008,P0593,Vehicle Provider,N
CASE008,P0885,Associate,N
CASE008,P0459,Vehicle Provider,N
CASE008,P0736,Unrelated Person,Y
CASE008,P0218,Document Handler,N
CASE008,P0108,Operational Member,N
CASE008,P0377,Associate,N
CASE008,P0844,Recruiter,N
CASE008,P0490,Communicator,N
CASE008,P0205,Operational Member,N
CASE008,P0351,Vehicle Provider,N
CASE008,P0135,Recruiter,N
CASE008,P0001,Document Handler,N
CASE008,P0902,Vehicle Provider,N
CASE008,P0926,Communicator,N
CASE008,P0154,Logistics Coordinator,N
CASE008,P0966,Associate,N
CASE008,P0763,Recruiter,N
CASE008,P0195,Vehicle Provider,N
CASE008,P0447,Vehicle Provider,N
CASE008,P0470,Logistics Coordinator,N
CASE008,P0188,Document Handler,N
CASE008,P0806,Recruiter,N
CASE008,P0774,Vehicle Provider,N
CASE008,P0023,Vehicle Provider,N
CASE008,P0555,Vehicle Provider,N
CASE008,P0996,Logistics Coordinator,N
CASE008,P0661,Operational Member,N
CASE008,P0760,Vehicle Provider,N
CASE008,P0212,Recruiter,N
CASE008,P0746,Vehicle Provider,N
CASE008,P0333,Unrelated Person,Y
CASE008,P0669,Logistics Coordinator,N
CASE008,P0908,Document Handler,N
CASE008,P0777,Unrelated Person,Y
CASE008,P0528,Vehicle Provider,N
CASE008,P0586,Recruiter,N
CASE008,P0451,Logistics Coordinator,N
CASE008,P0617,Unrelated Person,Y
CASE008,P0318,Associate,N
CASE008,P0035,Operational Member,N
CASE008,P0674,Vehicle Provider,N
CASE008,P0375,Document Handler,N
CASE008,P0148,Vehicle Provider,N
CASE008,P0860,Unrelated Person,Y
CASE008,P0964,Associate,N
CASE008,P0424,Communicator,N
CASE008,P0289,Operational Member,N
CASE008,P0293,Communicator,N
CASE008,P0805,Associate,N
CASE008,P0049,Operational Member,N
CASE008,P0301,Communicator,N
CASE008,P0171,Associate,N
CASE009,P0763,Coordinator,N
CASE009,P0399,Financial Intermediary,N
CASE009,P0029,False Lead,Y
CASE009,P0440,False Lead,Y
CASE009,P0008,False Lead,Y
CASE009,P0798,False Lead,Y
CASE009,P0083,False Lead,Y
CASE009,P0247,False Lead,Y
CASE009,P0228,False Lead,Y
CASE009,P0967,Associate,N
CASE009,P0979,Recruiter,N
CASE009,P0013,Recruiter,N
CASE009,P0351,Vehicle Provider,N
CASE009,P0838,Logistics Coordinator,N
CASE009,P0016,Operational Member,N
CASE009,P0472,Document Handler,N
CASE009,P0529,Recruiter,N
CASE009,P0137,Unrelated Person,Y
CASE009,P0141,Recruiter,N
CASE009,P0858,Associate,N
CASE009,P0012,Recruiter,N
CASE009,P0871,Document Handler,N
CASE009,P0055,Unrelated Person,Y
CASE009,P0725,Logistics Coordinator,N
CASE009,P0208,Operational Member,N
CASE009,P0124,Logistics Coordinator,N
CASE009,P0430,Logistics Coordinator,N
CASE009,P0547,Unrelated Person,Y
CASE009,P0225,Logistics Coordinator,N
CASE009,P0125,Operational Member,N
CASE009,P0670,Operational Member,N
CASE009,P0340,Vehicle Provider,N
CASE009,P0282,Associate,N
CASE009,P0374,Communicator,N
CASE009,P0517,Vehicle Provider,N
CASE009,P0814,Logistics Coordinator,N
CASE009,P0599,Communicator,N
CASE009,P0905,Unrelated Person,Y
CASE009,P0426,Recruiter,N
CASE009,P0380,Associate,N
CASE009,P0103,Recruiter,N
CASE009,P0964,Vehicle Provider,N
CASE009,P0076,Recruiter,N
CASE009,P0315,Vehicle Provider,N
CASE009,P0255,Operational Member,N
CASE009,P0740,Communicator,N
CASE009,P0505,Associate,N
CASE009,P0332,Recruiter,N
CASE009,P0445,Associate,N
CASE009,P0140,Operational Member,N
CASE009,P0400,Communicator,N
