case_id,merkle_root,n_evidence_items,chain_head_hash
CASE001,79d7f5b226b43ba76ea6eda429fd7b238af91a9ecd0774a85ff002d28cd9bdbe,295,0eb03caa6e2bf752cc9ddf02b73af63f5eb319c87a9857986bda81cb8c1bc34d
CASE002,81cd41608982772974894decd44a023444598e73748cdd4e98ddaedee463f270,273,1badcccc996acfcf7efa5a49cc7834078a5377f54d01bb8bafdccc7de48bf6fc
CASE003,8924309e92c5f5b945cdab91b413df8182c5a0ee4f8dd87ba7678b1dcb0c6014,213,3dfbc93c78f810cde6d6c849e3a5585a12c68230c1cefe945e51c1df4d3fea75
CASE004,d139f16c33b432ab3c1f2a5faf70c1b0e034a7b638b7375882c800e9e5246864,197,ec945a5fa6c06b2954d80d4f27161b19234dbed8969e144679c528f70d4b69d1
CASE005,3883fa51b22369437c1b146aebc60c53bd3d951c4a2d6d47475ebc6c12e22511,194,e36ac42e0657255d460a7b1c9f37fb577c8dd59ebc434c274cf0ed76a84ccab1
CASE006,f6d098f19d1e34bb56139fb1b52b9a0cd9b0b2cc874d80bef4f3d34cca427e71,157,18a2e28708560d5f7ef95b070aef9b9873fabefa6787a225fb80c0cb2c2f5b2a
CASE007,edfbddab2ee40d29e27bc4e5d00baa2d453252585926c2996b72db3b1fac6a8b,181,476798cdbd1a9a6e3d59f69293b0d680cdc12cec824def5d1271e3396c54a9c5
CASE008,45e6a927536abceb72892d5394f513033b5d9b7ea1d5cee1006ab7adbdadc4b3,454,310ed7ffc1f376f4708ea81a0eb354e788544e65da6ebf88a51a594cd02c22a2
CASE009,c64c76402a57722fe0d9c0d311c365ed5d059d412b79a31c13b8588be5114bcd,770,166b975b0d682aac9d49d14effc7d4c5ecf082a9fa4a44c6aa6e7d087e82b8e8
CASE010,774d006c692fa0d367df143a79facd7642ccb2f7047d89a4a4977e6add89fba0,334,3d5448378d818e20153e93647330dc4910910d77ae79db51d145083ded8ab742
CASE011,d73567fc885b686df53a7925d2ab0ea22ceda0b4c637f6b3843b591d06d5243b,237,4dafb2abfa19544907dab0adcd444b7ad4e5e079fd7d8cb6265b9899b95bb1d7
CASE012,698182f6092c57035ca7b9affd5b2c82fc1ae55c87b215b674ce75ee305116a0,173,1f1057a8538aadac270a3d5fc7deffa8d6bb617758959982c0988cde8459d3dc
CASE013,f4829af132d78ea25b6f7132d3ec7ac2e91e4b20e754a574ce5499fccebbff14,170,4adcd4d9408429d4d0cd3024f73e3d1aa31e9cca27c7d7bc6eb714b2643e2d75
CASE014,e3852ab060412f0323c5cfb69803a4c6eba2ff53511bdecea95f639df7e475ee,262,32b9352d31cc476e2aad02b9574a19ac53c426612ac37bffa6fbd4d80fc9f586
CASE015,78c6f979bdd8b725665adffafb1fbff5ca0102e4f35e04327d896763ea292796,166,d90a0b72683731fd76eb1e64792c375409a5e4b257af059b083bd348ff10a5e9
CASE016,5f114185f545b280ebe5bb2158fdf971e7a494ac7bd8e4a959b8c8e624a12760,317,12fa486b30dfef87cf14f335a2ba9dc0e477de55c4f5048125d2fd153f192ee2
CASE017,2fe8d8a76fe4cb38136ee7c53a0fa2d10345134e51b910e99dc1fa1221c8274e,513,76a90dcb4c6a3d15cdcc923b50a0d47ad7b8e4d21839b2a6f1950cbec76127cd
CASE018,2a81b671bad379178429dc32538165da18757efcaa24424539684f3604a47270,366,739381f7ae29a7fd0270478dfeabeef2b30b60828d44e627c45373ef33cb3aed
CASE019,5aa86dedd4bb5385d55fb7cbce3cb71c32e606dc3e41d566c2cd3b0bcfc54cab,384,c259779aff0a76d8db21a5b23e02f2e793e9a74e7044883f7f9a6b8954ab31c8
CASE020,73be0966ee70f147dc117319866094bc70ca2b20dae3d2dde479899600f24b38,457,2511937ebfbdaed870e7ebaf1a1bbce50a68909e16f271afc9143e9220b12f98
