case_id,network_id,topology,difficulty,n_entities
CASE001,NET_CASE001,B_chain,Advanced,39
CASE002,NET_CASE002,E_hub_spoke,Advanced,31
CASE003,NET_CASE003,F_multi_hub,Intermediate,18
CASE004,NET_CASE004,A_hierarchical,Intermediate,12
CASE005,NET_CASE005,E_hub_spoke,Intermediate,11
CASE006,NET_CASE006,B_chain,Basic,3
CASE007,NET_CASE007,G_hidden_bridge,Intermediate,8
CASE008,NET_CASE008,A_hierarchical,Expert,74
CASE009,NET_CASE009,C_dense_cluster,Expert,79
CASE010,NET_CASE010,E_hub_spoke,Advanced,46
CASE011,NET_CASE011,C_dense_cluster,Intermediate,13
CASE012,NET_CASE012,D_two_communities_broker,Intermediate,8
CASE013,NET_CASE013,H_layered,Intermediate,8
CASE014,NET_CASE014,B_chain,Advanced,29
CASE015,NET_CASE015,B_chain,Basic,5
CASE016,NET_CASE016,E_hub_spoke,Advanced,44
CASE017,NET_CASE017,C_dense_cluster,Advanced,44
CASE018,NET_CASE018,E_hub_spoke,Expert,54
CASE019,NET_CASE019,I_cross_case,Expert,58
CASE020,NET_CASE020,D_two_communities_broker,Expert,75
CASE021,NET_CASE021,D_two_communities_broker,Advanced,26
CASE022,NET_CASE022,H_layered,Intermediate,8
CASE023,NET_CASE023,D_two_communities_broker,Expert,77
CASE024,NET_CASE024,H_layered,Expert,79
CASE025,NET_CASE025,C_dense_cluster,Intermediate,8
CASE026,NET_CASE026,I_cross_case,Advanced,27
CASE027,NET_CASE027,B_chain,Advanced,32
CASE028,NET_CASE028,D_two_communities_broker,Intermediate,13
CASE029,NET_CASE029,J_decoy_heavy,Intermediate,19
CASE030,NET_CASE030,J_decoy_heavy,Advanced,34
CASE031,NET_CASE031,J_decoy_heavy,Expert,77
CASE032,NET_CASE032,H_layered,Intermediate,18
CASE033,NET_CASE033,I_cross_case,Intermediate,14
CASE034,NET_CASE034,B_chain,Basic,3
CASE035,NET_CASE035,E_hub_spoke,Expert,52
CASE036,NET_CASE036,B_chain,Intermediate,8
CASE037,NET_CASE037,F_multi_hub,Intermediate,17
CASE038,NET_CASE038,B_chain,Basic,8
CASE039,NET_CASE039,C_dense_cluster,Expert,51
CASE040,NET_CASE040,B_chain,Basic,3
CASE041,NET_CASE041,C_dense_cluster,Advanced,26
CASE042,NET_CASE042,A_hierarchical,Intermediate,19
CASE043,NET_CASE043,A_hierarchical,Basic,5
CASE044,NET_CASE044,F_multi_hub,Intermediate,19
CASE045,NET_CASE045,G_hidden_bridge,Intermediate,14
CASE046,NET_CASE046,F_multi_hub,Basic,4
CASE047,NET_CASE047,B_chain,Basic,4
CASE048,NET_CASE048,H_layered,Advanced,37
CASE049,NET_CASE049,J_decoy_heavy,Advanced,27
CASE050,NET_CASE050,A_hierarchical,Advanced,44
CASE051,NET_CASE051,A_hierarchical,Basic,3
CASE052,NET_CASE052,H_layered,Basic,4
CASE053,NET_CASE053,I_cross_case,Intermediate,12
CASE054,NET_CASE054,H_layered,Basic,8
CASE055,NET_CASE055,J_decoy_heavy,Intermediate,17
CASE056,NET_CASE056,C_dense_cluster,Advanced,31
CASE057,NET_CASE057,B_chain,Basic,3
CASE058,NET_CASE058,G_hidden_bridge,Intermediate,14
CASE059,NET_CASE059,D_two_communities_broker,Advanced,48
CASE060,NET_CASE060,A_hierarchical,Advanced,39
CASE061,NET_CASE061,B_chain,Expert,74
CASE062,NET_CASE062,I_cross_case,Advanced,44
CASE063,NET_CASE063,F_multi_hub,Expert,58
CASE064,NET_CASE064,A_hierarchical,Basic,7
CASE065,NET_CASE065,F_multi_hub,Basic,7
CASE066,NET_CASE066,B_chain,Expert,71
CASE067,NET_CASE067,J_decoy_heavy,Basic,3
CASE068,NET_CASE068,B_chain,Advanced,31
CASE069,NET_CASE069,E_hub_spoke,Intermediate,16
CASE070,NET_CASE070,B_chain,Advanced,24
CASE071,NET_CASE071,I_cross_case,Advanced,43
CASE072,NET_CASE072,E_hub_spoke,Expert,68
CASE073,NET_CASE073,G_hidden_bridge,Advanced,39
CASE074,NET_CASE074,D_two_communities_broker,Expert,72
CASE075,NET_CASE075,H_layered,Basic,7
CASE076,NET_CASE076,J_decoy_heavy,Basic,6
CASE077,NET_CASE077,C_dense_cluster,Advanced,26
CASE078,NET_CASE078,D_two_communities_broker,Expert,56
CASE079,NET_CASE079,E_hub_spoke,Advanced,33
CASE080,NET_CASE080,A_hierarchical,Intermediate,15
CASE081,NET_CASE081,C_dense_cluster,Advanced,39
CASE082,NET_CASE082,I_cross_case,Advanced,31
CASE083,NET_CASE083,E_hub_spoke,Advanced,28
CASE084,NET_CASE084,C_dense_cluster,Advanced,26
CASE085,NET_CASE085,I_cross_case,Intermediate,9
CASE086,NET_CASE086,B_chain,Intermediate,14
CASE087,NET_CASE087,D_two_communities_broker,Basic,7
CASE088,NET_CASE088,G_hidden_bridge,Intermediate,13
CASE089,NET_CASE089,G_hidden_bridge,Basic,5
CASE090,NET_CASE090,D_two_communities_broker,Expert,75
CASE091,NET_CASE091,I_cross_case,Intermediate,8
CASE092,NET_CASE092,D_two_communities_broker,Intermediate,13
CASE093,NET_CASE093,F_multi_hub,Intermediate,8
CASE094,NET_CASE094,B_chain,Expert,53
CASE095,NET_CASE095,F_multi_hub,Advanced,22
CASE096,NET_CASE096,B_chain,Expert,67
CASE097,NET_CASE097,I_cross_case,Advanced,22
CASE098,NET_CASE098,C_dense_cluster,Basic,4
CASE099,NET_CASE099,F_multi_hub,Expert,78
CASE100,NET_CASE100,I_cross_case,Intermediate,16
