case_id,person_id,true_role
CASE001,P0981,Coordinator
CASE001,P0520,Financial Intermediary
CASE001,P0607,False Lead
CASE001,P0236,False Lead
CASE001,P0038,False Lead
CASE001,P0536,Recruiter
CASE001,P0624,Unrelated Person
CASE001,P0144,Vehicle Provider
CASE001,P0887,Operational Member
CASE001,P0201,Operational Member
CASE001,P0914,Unrelated Person
CASE001,P0469,Recruiter
CASE001,P0163,Vehicle Provider
CASE001,P0019,Operational Member
CASE001,P0635,Operational Member
CASE001,P0745,Vehicle Provider
CASE001,P0107,Unrelated Person
CASE001,P0076,Associate
CASE001,P0270,Communicator
CASE001,P0493,Associate
CASE001,P0824,Communicator
CASE001,P0980,Document Handler
CASE001,P0013,Communicator
CASE001,P0269,Vehicle Provider
CASE001,P0867,Operational Member
CASE001,P0344,Associate
CASE001,P0172,Logistics Coordinator
CASE001,P0508,Logistics Coordinator
CASE001,P0119,Operational Member
CASE001,P0212,Operational Member
CASE001,P0338,Communicator
CASE001,P0083,Communicator
CASE001,P0286,Logistics Coordinator
CASE001,P0321,Vehicle Provider
CASE001,P0861,Recruiter
CASE001,P0967,Associate
CASE001,P0475,Communicator
CASE001,P0907,Document Handler
CASE001,P0006,Communicator
CASE002,P0905,Coordinator
CASE002,P0555,Financial Intermediary
CASE002,P0904,False Lead
CASE002,P0665,False Lead
CASE002,P0552,False Lead
CASE002,P0017,Logistics Coordinator
CASE002,P0029,Operational Member
CASE002,P0417,Document Handler
CASE002,P0082,Unrelated Person
CASE002,P0925,Associate
CASE002,P0920,Vehicle Provider
CASE002,P0325,Operational Member
CASE002,P0917,Logistics Coordinator
CASE002,P0060,Associate
CASE002,P0063,Recruiter
CASE002,P0919,Logistics Coordinator
CASE002,P0524,Document Handler
CASE002,P0677,Associate
CASE002,P0730,Associate
CASE002,P0003,Logistics Coordinator
CASE002,P0320,Communicator
CASE002,P0125,Communicator
CASE002,P0916,Unrelated Person
CASE002,P0844,Logistics Coordinator
CASE002,P0964,Unrelated Person
CASE002,P0949,Unrelated Person
CASE002,P0049,Document Handler
CASE002,P0773,Document Handler
CASE002,P0234,Recruiter
CASE002,P0663,Associate
CASE002,P0182,Logistics Coordinator
CASE003,P0037,Coordinator
CASE003,P0217,Financial Intermediary
CASE003,P1000,False Lead
CASE003,P0154,Recruiter
CASE003,P0605,Logistics Coordinator
CASE003,P0990,Vehicle Provider
CASE003,P0423,Communicator
CASE003,P0019,Unrelated Person
CASE003,P0539,Recruiter
CASE003,P0584,Vehicle Provider
CASE003,P0001,Logistics Coordinator
CASE003,P0894,Communicator
CASE003,P0351,Associate
CASE003,P0421,Unrelated Person
CASE003,P0173,Document Handler
CASE003,P0523,Operational Member
CASE003,P0607,Operational Member
CASE003,P0784,Communicator
CASE004,P0662,Coordinator
CASE004,P0595,Financial Intermediary
CASE004,P0307,False Lead
CASE004,P0257,Logistics Coordinator
CASE004,P0726,Logistics Coordinator
CASE004,P0841,Communicator
CASE004,P0976,Communicator
CASE004,P0081,Communicator
CASE004,P0179,Recruiter
CASE004,P0792,Document Handler
CASE004,P0775,Logistics Coordinator
CASE004,P0964,Logistics Coordinator
CASE005,P0509,Coordinator
CASE005,P0765,Financial Intermediary
CASE005,P0327,False Lead
CASE005,P0639,Communicator
CASE005,P0450,Associate
CASE005,P0705,Vehicle Provider
CASE005,P0414,Unrelated Person
CASE005,P0432,Document Handler
CASE005,P0782,Logistics Coordinator
CASE005,P0093,Vehicle Provider
CASE005,P0622,Logistics Coordinator
CASE006,P0575,Coordinator
CASE006,P0036,Financial Intermediary
CASE006,P0095,False Lead
CASE007,P0207,Coordinator
CASE007,P0303,Financial Intermediary
CASE007,P0586,False Lead
CASE007,P0158,Bridge / Communicator
CASE007,P0918,Communicator
CASE007,P0267,Operational Member
CASE007,P0584,Associate
CASE007,P0053,Vehicle Provider
CASE008,P0922,Coordinator
CASE008,P0913,Financial Intermediary
CASE008,P0229,False Lead
CASE008,P0788,False Lead
