event_id,case_id,timestamp,person_ids,location_id,event_type,description
CASE001-EVT001,CASE001,2026-06-06T21:59:00,P0981|P0520,LOC0002,phone_call,Interaction preceding the reported incident.
CASE001-EVT002,CASE001,2026-06-05T01:59:00,P0520|P0536,LOC0073,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT003,CASE001,2026-06-09T10:59:00,P0536|P0624,LOC0058,meeting,Interaction preceding the reported incident.
CASE001-EVT004,CASE001,2026-06-01T19:59:00,P0624|P0144,LOC0095,meeting,Interaction preceding the reported incident.
CASE001-EVT005,CASE001,2026-06-01T17:59:00,P0144|P0887,LOC0231,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT006,CASE001,2026-06-08T20:59:00,P0887|P0607,LOC0222,phone_call,Interaction preceding the reported incident.
CASE001-EVT007,CASE001,2026-06-04T02:59:00,P0607|P0201,LOC0191,meeting,Interaction preceding the reported incident.
CASE001-EVT008,CASE001,2026-06-10T02:59:00,P0201|P0914,LOC0132,phone_call,Interaction preceding the reported incident.
CASE001-EVT009,CASE001,2026-06-02T09:59:00,P0914|P0469,LOC0100,phone_call,Interaction preceding the reported incident.
CASE001-EVT010,CASE001,2026-06-02T19:59:00,P0469|P0163,LOC0287,phone_call,Interaction preceding the reported incident.
CASE001-EVT011,CASE001,2026-06-09T18:59:00,P0163|P0019,LOC0219,meeting,Interaction preceding the reported incident.
CASE001-EVT012,CASE001,2026-06-01T03:59:00,P0019|P0635,LOC0254,meeting,Interaction preceding the reported incident.
CASE001-EVT013,CASE001,2026-06-05T18:59:00,P0635|P0745,LOC0185,meeting,Interaction preceding the reported incident.
CASE001-EVT014,CASE001,2026-06-07T13:59:00,P0745|P0107,LOC0132,meeting,Interaction preceding the reported incident.
CASE001-EVT015,CASE001,2026-06-01T13:59:00,P0107|P0076,LOC0231,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT016,CASE001,2026-06-04T23:59:00,P0076|P0270,LOC0273,meeting,Interaction preceding the reported incident.
CASE001-EVT017,CASE001,2026-06-04T02:59:00,P0270|P0493,LOC0031,phone_call,Interaction preceding the reported incident.
CASE001-EVT018,CASE001,2026-06-01T14:59:00,P0493|P0824,LOC0008,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT019,CASE001,2026-06-02T21:59:00,P0824|P0980,LOC0127,meeting,Interaction preceding the reported incident.
CASE001-EVT020,CASE001,2026-06-01T10:59:00,P0980|P0013,LOC0061,phone_call,Interaction preceding the reported incident.
CASE001-EVT021,CASE001,2026-06-09T11:59:00,P0013|P0269,LOC0025,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT022,CASE001,2026-06-03T11:59:00,P0269|P0867,LOC0202,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT023,CASE001,2026-06-05T11:59:00,P0867|P0344,LOC0011,meeting,Interaction preceding the reported incident.
CASE001-EVT024,CASE001,2026-06-06T13:59:00,P0344|P0172,LOC0276,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT025,CASE001,2026-06-09T03:59:00,P0172|P0508,LOC0278,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT026,CASE001,2026-06-02T18:59:00,P0508|P0119,LOC0127,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT027,CASE001,2026-06-08T02:59:00,P0119|P0212,LOC0288,phone_call,Interaction preceding the reported incident.
CASE001-EVT028,CASE001,2026-06-04T12:59:00,P0212|P0338,LOC0239,phone_call,Interaction preceding the reported incident.
CASE001-EVT029,CASE001,2026-06-03T02:59:00,P0338|P0083,LOC0024,phone_call,Interaction preceding the reported incident.
CASE001-EVT030,CASE001,2026-06-07T02:59:00,P0083|P0286,LOC0023,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT031,CASE001,2026-06-05T04:59:00,P0286|P0236,LOC0037,phone_call,Interaction preceding the reported incident.
CASE001-EVT032,CASE001,2026-06-03T15:59:00,P0236|P0321,LOC0267,meeting,Interaction preceding the reported incident.
CASE001-EVT033,CASE001,2026-06-02T14:59:00,P0321|P0861,LOC0004,meeting,Interaction preceding the reported incident.
CASE001-EVT034,CASE001,2026-05-31T08:59:00,P0861|P0967,LOC0266,phone_call,Interaction preceding the reported incident.
CASE001-EVT035,CASE001,2026-06-10T03:59:00,P0967|P0475,LOC0168,vehicle_movement,Interaction preceding the reported incident.
CASE001-EVT036,CASE001,2026-06-04T03:59:00,P0475|P0038,LOC0049,meeting,Interaction preceding the reported incident.
CASE001-EVT037,CASE001,2026-06-02T14:59:00,P0038|P0907,LOC0140,meeting,Interaction preceding the reported incident.
CASE001-EVT038,CASE001,2026-06-03T21:59:00,P0907|P0006,LOC0142,meeting,Interaction preceding the reported incident.
CASE001-EVT039,CASE001,2026-06-11T04:59:00,P0981,LOC0208,incident,Reported courier-based criminal network incident.
CASE002-EVT001,CASE002,2026-04-17T04:17:00,P0905|P0555,LOC0173,meeting,Interaction preceding the reported incident.
CASE002-EVT002,CASE002,2026-04-18T08:17:00,P0905|P0017,LOC0250,meeting,Interaction preceding the reported incident.
CASE002-EVT003,CASE002,2026-04-19T14:17:00,P0905|P0665,LOC0064,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT004,CASE002,2026-04-13T13:17:00,P0905|P0029,LOC0085,phone_call,Interaction preceding the reported incident.
