case_id,source,target,type
CASE001,P0981,P0520,TRUE_NETWORK_EDGE
CASE001,P0520,P0536,TRUE_NETWORK_EDGE
CASE001,P0536,P0624,TRUE_NETWORK_EDGE
CASE001,P0624,P0144,TRUE_NETWORK_EDGE
CASE001,P0144,P0887,TRUE_NETWORK_EDGE
CASE001,P0887,P0607,TRUE_NETWORK_EDGE
CASE001,P0607,P0201,TRUE_NETWORK_EDGE
CASE001,P0201,P0914,TRUE_NETWORK_EDGE
CASE001,P0914,P0469,TRUE_NETWORK_EDGE
CASE001,P0469,P0163,TRUE_NETWORK_EDGE
CASE001,P0163,P0019,TRUE_NETWORK_EDGE
CASE001,P0019,P0635,TRUE_NETWORK_EDGE
CASE001,P0635,P0745,TRUE_NETWORK_EDGE
CASE001,P0745,P0107,TRUE_NETWORK_EDGE
CASE001,P0107,P0076,TRUE_NETWORK_EDGE
CASE001,P0076,P0270,TRUE_NETWORK_EDGE
CASE001,P0270,P0493,TRUE_NETWORK_EDGE
CASE001,P0493,P0824,TRUE_NETWORK_EDGE
CASE001,P0824,P0980,TRUE_NETWORK_EDGE
CASE001,P0980,P0013,TRUE_NETWORK_EDGE
CASE001,P0013,P0269,TRUE_NETWORK_EDGE
CASE001,P0269,P0867,TRUE_NETWORK_EDGE
CASE001,P0867,P0344,TRUE_NETWORK_EDGE
CASE001,P0344,P0172,TRUE_NETWORK_EDGE
CASE001,P0172,P0508,TRUE_NETWORK_EDGE
CASE001,P0508,P0119,TRUE_NETWORK_EDGE
CASE001,P0119,P0212,TRUE_NETWORK_EDGE
CASE001,P0212,P0338,TRUE_NETWORK_EDGE
CASE001,P0338,P0083,TRUE_NETWORK_EDGE
CASE001,P0083,P0286,TRUE_NETWORK_EDGE
CASE001,P0286,P0236,TRUE_NETWORK_EDGE
CASE001,P0236,P0321,TRUE_NETWORK_EDGE
CASE001,P0321,P0861,TRUE_NETWORK_EDGE
CASE001,P0861,P0967,TRUE_NETWORK_EDGE
CASE001,P0967,P0475,TRUE_NETWORK_EDGE
CASE001,P0475,P0038,TRUE_NETWORK_EDGE
CASE001,P0038,P0907,TRUE_NETWORK_EDGE
CASE001,P0907,P0006,TRUE_NETWORK_EDGE
CASE002,P0905,P0555,TRUE_NETWORK_EDGE
CASE002,P0905,P0017,TRUE_NETWORK_EDGE
CASE002,P0905,P0665,TRUE_NETWORK_EDGE
CASE002,P0905,P0029,TRUE_NETWORK_EDGE
CASE002,P0905,P0417,TRUE_NETWORK_EDGE
CASE002,P0905,P0082,TRUE_NETWORK_EDGE
CASE002,P0905,P0925,TRUE_NETWORK_EDGE
CASE002,P0905,P0920,TRUE_NETWORK_EDGE
CASE002,P0905,P0325,TRUE_NETWORK_EDGE
CASE002,P0905,P0917,TRUE_NETWORK_EDGE
CASE002,P0905,P0060,TRUE_NETWORK_EDGE
CASE002,P0905,P0063,TRUE_NETWORK_EDGE
CASE002,P0905,P0919,TRUE_NETWORK_EDGE
CASE002,P0905,P0524,TRUE_NETWORK_EDGE
CASE002,P0905,P0677,TRUE_NETWORK_EDGE
CASE002,P0905,P0730,TRUE_NETWORK_EDGE
CASE002,P0905,P0003,TRUE_NETWORK_EDGE
CASE002,P0905,P0320,TRUE_NETWORK_EDGE
CASE002,P0905,P0552,TRUE_NETWORK_EDGE
CASE002,P0905,P0125,TRUE_NETWORK_EDGE
CASE002,P0905,P0916,TRUE_NETWORK_EDGE
CASE002,P0905,P0844,TRUE_NETWORK_EDGE
CASE002,P0905,P0964,TRUE_NETWORK_EDGE
CASE002,P0905,P0904,TRUE_NETWORK_EDGE
CASE002,P0905,P0949,TRUE_NETWORK_EDGE
CASE002,P0905,P0049,TRUE_NETWORK_EDGE
CASE002,P0905,P0773,TRUE_NETWORK_EDGE
CASE002,P0905,P0234,TRUE_NETWORK_EDGE
CASE002,P0905,P0663,TRUE_NETWORK_EDGE
CASE002,P0905,P0182,TRUE_NETWORK_EDGE
CASE003,P0037,P0154,TRUE_NETWORK_EDGE
CASE003,P0217,P0605,TRUE_NETWORK_EDGE
CASE003,P0037,P0990,TRUE_NETWORK_EDGE
CASE003,P0217,P0423,TRUE_NETWORK_EDGE
CASE003,P0217,P0019,TRUE_NETWORK_EDGE
CASE003,P0217,P0539,TRUE_NETWORK_EDGE
CASE003,P0037,P0584,TRUE_NETWORK_EDGE
CASE003,P0037,P0001,TRUE_NETWORK_EDGE
CASE003,P0037,P1000,TRUE_NETWORK_EDGE
CASE003,P0217,P0894,TRUE_NETWORK_EDGE
CASE003,P0217,P0351,TRUE_NETWORK_EDGE
CASE003,P0037,P0421,TRUE_NETWORK_EDGE
CASE003,P0037,P0173,TRUE_NETWORK_EDGE
CASE003,P0037,P0523,TRUE_NETWORK_EDGE
CASE003,P0037,P0607,TRUE_NETWORK_EDGE
CASE003,P0217,P0784,TRUE_NETWORK_EDGE
CASE004,P0662,P0595,TRUE_NETWORK_EDGE
CASE004,P0662,P0257,TRUE_NETWORK_EDGE
CASE004,P0662,P0726,TRUE_NETWORK_EDGE
CASE004,P0662,P0841,TRUE_NETWORK_EDGE
CASE004,P0662,P0976,TRUE_NETWORK_EDGE
CASE004,P0662,P0081,TRUE_NETWORK_EDGE
CASE004,P0662,P0179,TRUE_NETWORK_EDGE
CASE004,P0662,P0792,TRUE_NETWORK_EDGE
CASE004,P0662,P0307,TRUE_NETWORK_EDGE
CASE004,P0662,P0775,TRUE_NETWORK_EDGE
CASE004,P0662,P0964,TRUE_NETWORK_EDGE
CASE005,P0509,P0765,TRUE_NETWORK_EDGE
CASE005,P0509,P0639,TRUE_NETWORK_EDGE
CASE005,P0509,P0450,TRUE_NETWORK_EDGE
CASE005,P0509,P0705,TRUE_NETWORK_EDGE
CASE005,P0509,P0327,TRUE_NETWORK_EDGE
CASE005,P0509,P0414,TRUE_NETWORK_EDGE
CASE005,P0509,P0432,TRUE_NETWORK_EDGE
CASE005,P0509,P0782,TRUE_NETWORK_EDGE
CASE005,P0509,P0093,TRUE_NETWORK_EDGE
CASE005,P0509,P0622,TRUE_NETWORK_EDGE
CASE006,P0575,P0036,TRUE_NETWORK_EDGE
CASE006,P0036,P0095,TRUE_NETWORK_EDGE
CASE007,P0207,P0303,TRUE_NETWORK_EDGE
CASE007,P0303,P0586,TRUE_NETWORK_EDGE
CASE007,P0586,P0918,TRUE_NETWORK_EDGE
CASE007,P0267,P0584,TRUE_NETWORK_EDGE
CASE007,P0584,P0053,TRUE_NETWORK_EDGE
CASE007,P0053,P0158,TRUE_NETWORK_EDGE
CASE007,P0918,P0267,TRUE_NETWORK_EDGE
CASE008,P0922,P0913,TRUE_NETWORK_EDGE
CASE008,P0922,P0220,TRUE_NETWORK_EDGE
CASE008,P0922,P0004,TRUE_NETWORK_EDGE
CASE008,P0922,P0066,TRUE_NETWORK_EDGE
CASE008,P0922,P0414,TRUE_NETWORK_EDGE
CASE008,P0922,P0954,TRUE_NETWORK_EDGE
CASE008,P0922,P0788,TRUE_NETWORK_EDGE
CASE008,P0922,P0722,TRUE_NETWORK_EDGE
CASE008,P0922,P0463,TRUE_NETWORK_EDGE
CASE008,P0922,P0945,TRUE_NETWORK_EDGE
CASE008,P0922,P0662,TRUE_NETWORK_EDGE
CASE008,P0922,P0298,TRUE_NETWORK_EDGE
CASE008,P0922,P0667,TRUE_NETWORK_EDGE
CASE008,P0922,P0876,TRUE_NETWORK_EDGE
CASE008,P0922,P0941,TRUE_NETWORK_EDGE
CASE008,P0922,P0593,TRUE_NETWORK_EDGE
CASE008,P0922,P0885,TRUE_NETWORK_EDGE
CASE008,P0922,P0459,TRUE_NETWORK_EDGE
CASE008,P0922,P0736,TRUE_NETWORK_EDGE
CASE008,P0922,P0218,TRUE_NETWORK_EDGE
CASE008,P0922,P0108,TRUE_NETWORK_EDGE
CASE008,P0922,P0377,TRUE_NETWORK_EDGE
CASE008,P0922,P0844,TRUE_NETWORK_EDGE
CASE008,P0922,P0490,TRUE_NETWORK_EDGE
CASE008,P0922,P0205,TRUE_NETWORK_EDGE
CASE008,P0922,P0351,TRUE_NETWORK_EDGE
CASE008,P0922,P0135,TRUE_NETWORK_EDGE
CASE008,P0922,P0001,TRUE_NETWORK_EDGE
CASE008,P0922,P0902,TRUE_NETWORK_EDGE
