case_id,timestamp,event_type,source_table,source_id,description,entities_involved
CASE001,2025-11-23T14:00:00,transaction,transactions,TX4787,transfer amount=49500,ACC0088|ACC0358
CASE001,2025-11-24T15:00:00,transaction,transactions,TX4788,transfer amount=52000,ACC0377|ACC0358
CASE001,2025-11-25T00:00:00,transaction,transactions,TX4789,transfer amount=45000,ACC0702|ACC0358
CASE001,2025-11-25T20:00:00,transaction,transactions,TX4785,transfer amount=48000,ACC0361|ACC0358
CASE001,2025-11-25T22:00:00,transaction,transactions,TX4786,transfer amount=45000,ACC0255|ACC0358
CASE001,2026-05-12T04:59:00,transaction,transactions,TX0020,legitimate transfer amount=10546,ACC0015|ACC0124
CASE001,2026-05-13T04:59:00,transaction,transactions,TX0030,legitimate transfer amount=17493,ACC0455|ACC0542
CASE001,2026-05-13T04:59:00,transaction,transactions,TX0035,legitimate transfer amount=18668,ACC0155|ACC0706
CASE001,2026-05-13T04:59:00,transaction,transactions,TX0042,legitimate transfer amount=9963,ACC0692|ACC0151
CASE001,2026-05-15T04:59:00,transaction,transactions,TX0043,legitimate transfer amount=18095,ACC0603|ACC0670
CASE001,2026-05-16T04:59:00,transaction,transactions,TX0045,legitimate transfer amount=17472,ACC0689|ACC0228
CASE001,2026-05-17T04:59:00,transaction,transactions,TX0014,legitimate transfer amount=1691,ACC0103|ACC0161
CASE001,2026-05-19T04:59:00,transaction,transactions,TX0041,legitimate transfer amount=8221,ACC0665|ACC0795
CASE001,2026-05-20T04:59:00,transaction,transactions,TX0005,legitimate transfer amount=10493,ACC0321|ACC0616
CASE001,2026-05-20T04:59:00,transaction,transactions,TX0011,legitimate transfer amount=15219,ACC0295|ACC0026
CASE001,2026-05-21T04:59:00,transaction,transactions,TX0013,legitimate transfer amount=16503,ACC0547|ACC0149
CASE001,2026-05-21T13:59:00,cdr_voice,cdr,CDR0175,voice 195s,P0861|P0899
CASE001,2026-05-22T04:59:00,transaction,transactions,TX0007,legitimate transfer amount=12131,ACC0721|ACC0436
CASE001,2026-05-22T04:59:00,transaction,transactions,TX0012,legitimate transfer amount=12304,ACC0356|ACC0742
