vehicle_id:ID(Vehicle),registration_id
VEH0001,CH-48-VF-0001
VEH0002,BH-28-UC-0002
VEH0003,HY-34-RI-0003
VEH0004,DE-54-DD-0004
VEH0005,AG-22-NF-0005
VEH0006,HA-60-YR-0006
VEH0007,AG-81-KV-0007
VEH0008,NO-58-JA-0008
VEH0009,FA-59-DE-0009
VEH0010,PU-73-CY-0010
VEH0011,NO-81-CP-0011
VEH0012,FA-30-UY-0012
VEH0013,LU-89-OR-0013
VEH0014,GU-69-EX-0014
VEH0015,KO-18-AJ-0015
VEH0016,CH-22-EG-0016
VEH0017,JA-76-SV-0017
VEH0018,KO-69-SE-0018
VEH0019,GH-99-DO-0019
VEH0020,AH-98-YU-0020
VEH0021,DE-58-LW-0021
VEH0022,AG-52-CH-0022
VEH0023,GH-41-DE-0023
VEH0024,NO-16-WF-0024
VEH0025,KA-30-DZ-0025
VEH0026,GH-50-DE-0026
VEH0027,HA-92-PB-0027
VEH0028,KA-78-VP-0028
VEH0029,HY-34-TK-0029
VEH0030,RA-14-GH-0030
VEH0031,RA-43-PO-0031
VEH0032,DE-53-WN-0032
VEH0033,AH-99-GC-0033
VEH0034,KO-88-BH-0034
VEH0035,KA-12-UK-0035
VEH0036,PU-60-PZ-0036
VEH0037,LU-27-MF-0037
VEH0038,BH-58-RJ-0038
VEH0039,BH-57-FE-0039
VEH0040,AG-58-EG-0040
VEH0041,DE-49-YZ-0041
VEH0042,AG-67-NN-0042
VEH0043,PA-46-IK-0043
VEH0044,GU-29-TD-0044
VEH0045,BE-45-WN-0045
VEH0046,AH-74-IL-0046
VEH0047,LU-79-DX-0047
VEH0048,GU-69-GD-0048
VEH0049,BH-37-DO-0049
VEH0050,BH-45-CD-0050
VEH0051,GU-44-DH-0051
VEH0052,NO-53-OV-0052
VEH0053,BE-31-FH-0053
VEH0054,CH-17-NB-0054
VEH0055,KA-10-VU-0055
VEH0056,LU-35-YL-0056
VEH0057,HA-46-SZ-0057
VEH0058,DE-11-CE-0058
VEH0059,JA-38-AV-0059
VEH0060,IN-69-IG-0060
VEH0061,BE-19-LV-0061
VEH0062,NO-52-NK-0062
VEH0063,AG-41-FW-0063
VEH0064,RA-20-TO-0064
VEH0065,LU-18-YU-0065
VEH0066,KA-15-QG-0066
VEH0067,AH-40-ZD-0067
VEH0068,PU-77-JM-0068
VEH0069,CH-86-KW-0069
VEH0070,BH-84-KP-0070
VEH0071,LU-74-VF-0071
VEH0072,PA-12-CY-0072
VEH0073,MU-46-QL-0073
VEH0074,GH-35-PI-0074
VEH0075,RA-66-BH-0075
VEH0076,LU-80-HK-0076
VEH0077,GH-65-JY-0077
VEH0078,HA-31-VS-0078
VEH0079,NO-28-FL-0079
VEH0080,GH-45-AM-0080
VEH0081,GH-36-KH-0081
VEH0082,KO-32-ED-0082
VEH0083,KO-88-BW-0083
VEH0084,SU-31-ZI-0084
VEH0085,KO-39-BT-0085
VEH0086,AH-86-AY-0086
VEH0087,KA-79-DV-0087
VEH0088,DE-22-PV-0088
VEH0089,NO-21-DR-0089
VEH0090,BH-86-IH-0090
VEH0091,AG-98-VY-0091
VEH0092,CH-57-EU-0092
VEH0093,SU-88-FR-0093
VEH0094,CH-14-WW-0094
VEH0095,DE-52-VW-0095
VEH0096,CH-81-TC-0096
VEH0097,HY-83-WZ-0097
VEH0098,GH-14-CG-0098
VEH0099,AG-67-VE-0099
VEH0100,CH-56-SD-0100
VEH0101,GU-66-QG-0101
VEH0102,LU-89-RC-0102
VEH0103,HY-92-LH-0103
VEH0104,MU-57-LM-0104
VEH0105,BH-96-ZD-0105
VEH0106,BH-20-ZL-0106
VEH0107,CH-10-TX-0107
VEH0108,PU-76-XQ-0108
VEH0109,HY-70-PH-0109
VEH0110,AM-71-DK-0110
VEH0111,HY-55-AE-0111
VEH0112,SU-27-FW-0112
VEH0113,CH-90-NZ-0113
VEH0114,PU-22-YM-0114
VEH0115,KO-31-ST-0115
