:START_ID(Person),:END_ID(Person),confidence,source_record
P0981,P0520,0.83,CDR
P0520,P0536,0.84,CDR
P0536,P0624,0.65,CDR
P0624,P0144,0.94,CDR
P0144,P0887,0.75,CDR
P0887,P0607,0.66,CDR
P0607,P0201,0.66,CDR
P0201,P0914,0.92,CDR
P0914,P0469,0.87,CDR
P0469,P0163,0.55,CDR
P0163,P0019,0.86,CDR
P0019,P0635,0.66,CDR
P0635,P0745,0.61,CDR
P0745,P0107,0.68,CDR
P0107,P0076,0.74,CDR
P0076,P0270,0.54,CDR
P0270,P0493,0.72,CDR
P0493,P0824,0.54,CDR
P0824,P0980,0.63,CDR
P0980,P0013,0.89,CDR
P0013,P0269,0.64,CDR
P0269,P0867,0.54,CDR
P0867,P0344,0.82,CDR
P0344,P0172,0.86,CDR
P0172,P0508,0.65,CDR
P0508,P0119,0.66,CDR
P0119,P0212,0.91,CDR
P0212,P0338,0.57,CDR
P0338,P0083,0.69,CDR
P0083,P0286,0.62,CDR
P0286,P0236,0.55,CDR
P0236,P0321,0.69,CDR
P0321,P0861,0.62,CDR
P0861,P0967,0.93,CDR
P0967,P0475,0.76,CDR
P0475,P0038,0.75,CDR
P0038,P0907,0.55,CDR
P0907,P0006,0.69,CDR
P0607,P0607,0.3,SHARED_ORG
P0905,P0555,0.94,CDR
P0905,P0017,0.94,CDR
P0905,P0665,0.67,CDR
P0905,P0029,0.73,CDR
P0905,P0417,0.84,CDR
P0905,P0082,0.7,CDR
P0905,P0925,0.8,CDR
P0905,P0920,0.9,CDR
P0905,P0325,0.57,CDR
P0905,P0917,0.78,CDR
P0905,P0060,0.63,CDR
P0905,P0063,0.89,CDR
P0905,P0919,0.6,CDR
P0905,P0524,0.72,CDR
P0905,P0677,0.51,CDR
P0905,P0730,0.55,CDR
P0905,P0003,0.88,CDR
P0905,P0320,0.75,CDR
P0905,P0552,0.63,CDR
P0905,P0125,0.69,CDR
P0905,P0916,0.76,CDR
P0905,P0844,0.57,CDR
P0905,P0964,0.52,CDR
P0905,P0904,0.65,CDR
P0905,P0949,0.6,CDR
P0905,P0049,0.8,CDR
P0905,P0773,0.86,CDR
P0905,P0234,0.71,CDR
P0905,P0663,0.81,CDR
P0905,P0182,0.68,CDR
P0904,P0905,0.3,SHARED_ORG
P0037,P0154,0.91,CDR
P0217,P0605,0.71,CDR
P0037,P0990,0.67,CDR
P0217,P0423,0.68,CDR
P0217,P0019,0.84,CDR
P0217,P0539,0.63,CDR
P0037,P0584,0.81,CDR
P0037,P0001,0.85,CDR
P0037,P1000,0.72,CDR
P0217,P0894,0.77,CDR
P0217,P0351,0.86,CDR
P0037,P0421,0.52,CDR
P0037,P0173,0.51,CDR
P0037,P0523,0.61,CDR
P0037,P0607,0.52,CDR
P0217,P0784,0.77,CDR
P1000,P0539,0.3,SHARED_ORG
P0662,P0595,0.5,CDR
P0662,P0257,0.55,CDR
P0662,P0726,0.53,CDR
P0662,P0841,0.75,CDR
P0662,P0976,0.86,CDR
P0662,P0081,0.74,CDR
P0662,P0179,0.58,CDR
P0662,P0792,0.7,CDR
P0662,P0307,0.57,CDR
P0662,P0775,0.89,CDR
P0662,P0964,0.61,CDR
P0307,P0841,0.3,SHARED_ORG
P0509,P0765,0.57,CDR
P0509,P0639,0.54,CDR
P0509,P0450,0.81,CDR
P0509,P0705,0.59,CDR
P0509,P0327,0.72,CDR
P0509,P0414,0.52,CDR
